source_number	filter	x_image	y_image	nmad_flux_error	redshift_bin	pointing
372	F606W	7391.1943	279.0268	0	z8-10	nircam6
753	F606W	7140.4692	452.0004	0	z8-10	nircam6
2269	F606W	7816.9819	1135.7485	0	z8-10	nircam6
2386	F606W	8413.2705	1188.8995	0	z8-10	nircam6
2400	F606W	6796.2354	1178.5886	0	z8-10	nircam6
2567	F606W	838.3987	1275.0569	0	z8-10	nircam6
3250	F606W	9075.9609	1510.8035	0	z8-10	nircam6
3958	F606W	7944.6553	1762.7839	0	z8-10	nircam6
4538	F606W	6592.4277	1933.5952	0	z8-10	nircam6
5570	F606W	10277.6494	2260.8145	0	z8-10	nircam6
5890	F606W	6579.208	2368.8511	0	z8-10	nircam6
5956	F606W	7700.5728	2386.9067	0	z8-10	nircam6
6166	F606W	9479.8799	2561.2585	0	z8-10	nircam6
6262	F606W	7169.7812	2494.3865	0	z8-10	nircam6
7051	F606W	4478.3252	2763.8889	0	z8-10	nircam6
7155	F606W	7850.2266	2805.8562	0	z8-10	nircam6
7466	F606W	4467.7593	2910.0105	0	z8-10	nircam6
8168	F606W	3972.2197	3147.2214	0	z8-10	nircam6
9965	F606W	7753.8374	3772.9141	0	z8-10	nircam6
11740	F606W	6561.2188	4101.0107	0	z8-10	nircam6
372	F814W	7391.1943	279.0268	0	z8-10	nircam6
753	F814W	7140.4692	452.0004	0	z8-10	nircam6
2269	F814W	7816.9819	1135.7485	0	z8-10	nircam6
2386	F814W	8413.2705	1188.8995	0	z8-10	nircam6
2400	F814W	6796.2354	1178.5886	0	z8-10	nircam6
2567	F814W	838.3987	1275.0569	0	z8-10	nircam6
3250	F814W	9075.9609	1510.8035	0	z8-10	nircam6
3958	F814W	7944.6553	1762.7839	0	z8-10	nircam6
4538	F814W	6592.4277	1933.5952	0	z8-10	nircam6
5570	F814W	10277.6494	2260.8145	0	z8-10	nircam6
5890	F814W	6579.208	2368.8511	0	z8-10	nircam6
5956	F814W	7700.5728	2386.9067	0	z8-10	nircam6
6166	F814W	9479.8799	2561.2585	0	z8-10	nircam6
6262	F814W	7169.7812	2494.3865	0	z8-10	nircam6
7051	F814W	4478.3252	2763.8889	0	z8-10	nircam6
7155	F814W	7850.2266	2805.8562	0	z8-10	nircam6
7466	F814W	4467.7593	2910.0105	0	z8-10	nircam6
8168	F814W	3972.2197	3147.2214	0	z8-10	nircam6
9965	F814W	7753.8374	3772.9141	0	z8-10	nircam6
11740	F814W	6561.2188	4101.0107	0	z8-10	nircam6
372	F115W	7391.1943	279.0268	0	z8-10	nircam6
753	F115W	7140.4692	452.0004	0	z8-10	nircam6
2269	F115W	7816.9819	1135.7485	0	z8-10	nircam6
2386	F115W	8413.2705	1188.8995	0	z8-10	nircam6
2400	F115W	6796.2354	1178.5886	0	z8-10	nircam6
2567	F115W	838.3987	1275.0569	0	z8-10	nircam6
3250	F115W	9075.9609	1510.8035	0	z8-10	nircam6
3958	F115W	7944.6553	1762.7839	0	z8-10	nircam6
4538	F115W	6592.4277	1933.5952	0	z8-10	nircam6
5570	F115W	10277.6494	2260.8145	0	z8-10	nircam6
5890	F115W	6579.208	2368.8511	0	z8-10	nircam6
5956	F115W	7700.5728	2386.9067	0	z8-10	nircam6
6166	F115W	9479.8799	2561.2585	0	z8-10	nircam6
6262	F115W	7169.7812	2494.3865	0	z8-10	nircam6
7051	F115W	4478.3252	2763.8889	0	z8-10	nircam6
7155	F115W	7850.2266	2805.8562	0	z8-10	nircam6
7466	F115W	4467.7593	2910.0105	0	z8-10	nircam6
8168	F115W	3972.2197	3147.2214	0	z8-10	nircam6
9965	F115W	7753.8374	3772.9141	0	z8-10	nircam6
11740	F115W	6561.2188	4101.0107	0	z8-10	nircam6
372	F150W	7391.1943	279.0268	0	z8-10	nircam6
753	F150W	7140.4692	452.0004	0	z8-10	nircam6
2269	F150W	7816.9819	1135.7485	0	z8-10	nircam6
2386	F150W	8413.2705	1188.8995	0	z8-10	nircam6
2400	F150W	6796.2354	1178.5886	0	z8-10	nircam6
2567	F150W	838.3987	1275.0569	0	z8-10	nircam6
3250	F150W	9075.9609	1510.8035	0	z8-10	nircam6
3958	F150W	7944.6553	1762.7839	0	z8-10	nircam6
4538	F150W	6592.4277	1933.5952	0	z8-10	nircam6
5570	F150W	10277.6494	2260.8145	0	z8-10	nircam6
5890	F150W	6579.208	2368.8511	0	z8-10	nircam6
5956	F150W	7700.5728	2386.9067	0	z8-10	nircam6
6166	F150W	9479.8799	2561.2585	0	z8-10	nircam6
6262	F150W	7169.7812	2494.3865	0	z8-10	nircam6
7051	F150W	4478.3252	2763.8889	0	z8-10	nircam6
7155	F150W	7850.2266	2805.8562	0	z8-10	nircam6
7466	F150W	4467.7593	2910.0105	0	z8-10	nircam6
8168	F150W	3972.2197	3147.2214	0	z8-10	nircam6
9965	F150W	7753.8374	3772.9141	0	z8-10	nircam6
11740	F150W	6561.2188	4101.0107	0	z8-10	nircam6
372	F200W	7391.1943	279.0268	0	z8-10	nircam6
753	F200W	7140.4692	452.0004	0	z8-10	nircam6
2269	F200W	7816.9819	1135.7485	0	z8-10	nircam6
2386	F200W	8413.2705	1188.8995	0	z8-10	nircam6
