source_number	x_image	y_image	class_star	mag_aper_F606W	magerr_aper_F606W	flux_aper_F606W	fluxerr_aper_F606W	snr_F606W	nmad_F606W	mag_aper_F814W	magerr_aper_F814W	flux_aper_F814W	fluxerr_aper_F814W	snr_F814W	nmad_F814W	mag_aper_F115W	magerr_aper_F115W	flux_aper_F115W	fluxerr_aper_F115W	snr_F115W	nmad_F115W	mag_aper_F150W	magerr_aper_F150W	flux_aper_F150W	fluxerr_aper_F150W	snr_F150W	nmad_F150W	mag_aper_F200W	magerr_aper_F200W	flux_aper_F200W	fluxerr_aper_F200W	snr_F200W	nmad_F200W	mag_aper_F277W	magerr_aper_F277W	flux_aper_F277W	fluxerr_aper_F277W	snr_F277W	nmad_F277W	mag_aper_F356W	magerr_aper_F356W	flux_aper_F356W	fluxerr_aper_F356W	snr_F356W	nmad_F356W	mag_aper_F410M	magerr_aper_F410M	flux_aper_F410M	fluxerr_aper_F410M	snr_F410M	nmad_F410M	mag_aper_F444W	magerr_aper_F444W	flux_aper_F444W	fluxerr_aper_F444W	snr_F444W	nmad_F444W
72	4310.228	154.0986	0.642	31.0144	0.2176	0.00780120835350331	0.0015628922151688168	4.991520386235117	0.001981717361259665	31.1844	0.2051	0.011443548058694124	0.002160915519488866	5.295694327467709	0.0028681352816138017	29.0847	0.0699	0.010333743352997278	0.0006651128225137044	15.536827742911775	0.0030026364863155884	28.8302	0.0655	0.012975484268162096	0.0007829259407856348	16.57306724968356	0.0024530834613017793	29.2916	0.0796	0.008534403123280921	0.0006251628753359464	13.651487412291962	0.0022599341631849446	28.9397	0.0478	0.013688807830736827	0.0006023408227024465	22.72601708999397	0.0016449512696925068	29.3235	0.0716	0.010439823702554798	0.0006885763012576191	15.161462402187606	0.0019556307673000485	28.7903	0.0968	0.01788079369147106	0.0015938252527980298	11.218791809252957	0.0038210161576064925	28.9189	0.0872	0.016222574685672873	0.0013032276907847886	12.447997230555949	0.003229680762279369
87	1829.8116	168.1714	0.001	99.0	99.0	-0.0027730653366494396	0.001564088488839734	-1.7729593667085575	0.001979219977685669	32.4628	0.6662	0.0035251900158208764	0.0021625687958171124	1.6300938137271634	0.003151567555317097	28.891	0.0585	0.012352026789220026	0.0006656215071622638	18.557132929613818	0.00234238310206873	28.7059	0.0585	0.014549796944260554	0.0007835249145874228	18.56966724781429	0.002651825132123484	28.752	0.0484	0.014028938623733294	0.0006256411485255554	22.423299133689028	0.002114967949870291	28.416	0.0295	0.022172417429277867	0.0006028015508806052	36.78228331842743	0.001575464533450103	28.1669	0.0247	0.03029260951289599	0.0006891031395178487	43.95947105115659	0.0016392594503168946	28.0908	0.0509	0.034055542304999055	0.001595044777088069	21.35083779100623	0.003984739998865954	28.0829	0.0404	0.03503548130596647	0.0013042246250126869	26.86307299682036	0.002907022386191618
115	239.787	166.0801	0.358	32.7562	1.0828	0.001568269661999014	0.0015636905022412856	1.00292843101059	0.0027154868378817076	99.0	99.0	-0.0012407023121318078	0.0021620170421325358	-0.5738633359282052	0.003257988239930807	29.7186	0.1254	0.005763591420438554	0.0006654520319915262	8.661167361965388	0.002707076106260284	29.3306	0.1039	0.008184327062089389	0.0007833251708529202	10.448185972599246	0.003688249083701233	29.3027	0.0804	0.00844789445669479	0.0006254818967596595	13.506217366896683	0.0019778786185558335	29.4871	0.0792	0.008267839239694218	0.0006026480749359904	13.71918302497254	0.0019007822340646307	29.0421	0.0553	0.013529686059690295	0.0006889276355029858	19.638762276987592	0.002055562800454321	28.6629	0.0861	0.020107145200811864	0.0015946382689913893	12.609220280113846	0.004277684166199685	29.2341	0.1167	0.012134679930090488	0.001303892197207097	9.306505519461389	0.004243519501577216
121	347.57	171.8816	0.004	30.3697	0.1203	0.014126175661209855	0.0015644864754381824	9.029273108451376	0.0021165640871747392	30.8394	0.1494	0.015723731618113714	0.0021631185647762053	7.269010526818016	0.0028119257984426924	27.899	0.0235	0.030799054472664993	0.0006657912414693481	46.259326579145046	0.002571686672341621	27.77	0.0247	0.03445278260156753	0.0007837244009202055	43.96032911711693	0.0020324431475830184	27.7668	0.0196	0.034761734405697194	0.0006258004002914511	55.547638495449625	0.002041211706751454	27.7443	0.0159	0.041164440859187086	0.00060295502682522	68.27116290236937	0.0017705905613775044	27.8584	0.0186	0.040247376654521556	0.0006892786435327117	58.39057546922459	0.0016422438585786002	27.9907	0.0464	0.03734428169873123	0.001595450943294003	23.406725136674783	0.0037157614614341363	28.2066	0.0453	0.03126287616616483	0.0013045567036294053	23.964367420127026	0.00267572158227392
142	363.6074	150.1427	0.39	31.3549	0.2979	0.00570104811368268	0.0015636905022412856	3.6458929088020886	0.0022269058485360287	31.4856	0.2708	0.008670854801812976	0.0021620170421325358	4.010539525285313	0.0025787296326496194	29.5718	0.1095	0.0065978161045317785	0.0006654520319915262	9.914788425525154	0.002693325942127792	29.0456	0.0799	0.0106412110327114	0.0007833251708529202	13.584666277383585	0.0023884543127008512	29.1487	0.0698	0.00973502160731646	0.0006254818967596595	15.564034159500427	0.0019930855547269006	29.1003	0.0554	0.011805907276093966	0.0006026480749359904	19.590052249561932	0.0019268777938436935	29.5664	0.0896	0.008347179724889204	0.0006889276355029858	12.116192317927457	0.0018036972385135532	28.8414	0.1015	0.0170585156778098	0.0015946382689913893	10.697420229729802	0.0033874657030801905	29.8471	0.2052	0.006899486726688408	0.001303892197207097	5.291454877532765	0.002689680351029292
172	512.5605	174.3251	0.007	31.7309	0.421	0.004032449963803314	0.0015632913587050512	2.5794615580448066	0.0024968933062328794	32.3088	0.5778	0.004062506807226562	0.0021614652884479582	1.8795151737753089	0.0024785899110079824	28.6992	0.049	0.014739159718599444	0.0006652825568207886	22.154736461202344	0.0021729743150670513	28.3773	0.0432	0.019691965153463515	0.0007831256845201374	25.145344537549967	0.0022971382566860476	28.1901	0.0289	0.023538260342151472	0.0006253223860478028	37.64180024150309	0.00235491420505426	27.9647	0.0195	0.03360080992293711	0.0006024942986470613	55.769506862371706	0.002212763364653257	27.9026	0.0194	0.03864138443226973	0.0006887521314881231	56.103469834323214	0.0019420575595364383	27.6626	0.0343	0.05051722956470057	0.0015942317608947094	31.687506674907453	0.004302487492832247	28.0251	0.0383	0.03695120129233989	0.0013035601185903782	28.346372956160668	0.003436611300310114
176	353.2031	181.2865	0.331	99.0	99.0	-0.004256084880935478	0.0015624942285703686	-2.7239043851250937	0.0023450460707744552	33.5361	1.7885	0.0013117854538170313	0.0021603637658042887	0.6072058208811248	0.002729624236040541	29.0884	0.0701	0.010298487853029621	0.0006649430882066202	15.487773368402221	0.002477901290565578	28.8506	0.0668	0.012734424983627333	0.0007827261970511323	16.269322569761194	0.002090677385970561	28.8592	0.0534	0.012710295160221905	0.0006250033646240897	20.336362777609292	0.0022128229150683272	28.809	0.0424	0.015439962351905543	0.0006021870464135174	25.639811490237594	0.001922898689909496	28.8233	0.0452	0.016549930736878046	0.0006884007972427563	24.04112662734455	0.0016199889253968693	28.8331	0.1007	0.017188393134299845	0.0015934187447013502	10.787116187415892	0.0032627869944174027	29.2348	0.1167	0.012127175861243716	0.001302894913790327	9.307869524153599	0.0025539013547258263
189	4182.77	167.0799	0.723	99.0	99.0	-0.0003436148031673521	0.001564088488839734	-0.21969012982267458	0.0021490881383699765	33.1304	1.2322	0.0019060563246592534	0.0021625687958171124	0.8813852897285807	0.0024051322916521806	32.9455	2.4498	0.00029506896993512256	0.0006656215071622638	0.4432984312557546	0.0018641384742210084	29.7524	0.1533	0.0055497535363104285	0.0007835249145874228	7.083059431789399	0.0024159267958034575	30.3256	0.2063	0.0032929122051879645	0.0006256411485255554	5.2632602777939885	0.0023534834855627545	29.7131	0.0975	0.00671402294680283	0.0006028015508806052	11.138031972536602	0.0015353136655450747	30.2134	0.1627	0.004599963491712707	0.0006891031395178487	6.675290283731993	0.0016805524069976152	28.8374	0.1012	0.01712076714479334	0.001595044777088069	10.733721956100316	0.004021323088147376	29.01	0.095	0.014916618782235694	0.0013042246250126869	11.43715468651774	0.0026298915365103896
191	384.546	163.7049	0.419	31.3883	0.3076	0.005528261769191222	0.001565681592171314	3.530897851027637	0.002392668718476187	31.5787	0.2954	0.007958596367337681	0.002164769856378968	3.6764168458304862	0.002942249533382075	99.0	99.0	-0.0012668743232148887	0.0006662994078452142	-1.9013589210771025	0.0022318927942417597	29.6713	0.1424	0.005979928438340499	0.0007843226025168343	7.624322465209268	0.002513597568313633	29.9499	0.1461	0.004654307646828455	0.0006262784145350994	7.431690984086452	0.0016757580861543851	30.2263	0.1566	0.004185258975214492	0.0006034154546590645	6.935949258341757	0.0016064072375801119	29.8057	0.1119	0.0066960294714524865	0.0006898048293616593	9.707136260047564	0.0017562971360992568	28.8178	0.0995	0.017433528798992275	0.0015966687581303132	10.918688494542101	0.0032937279561582426	29.8844	0.2127	0.006666403155016895	0.0013055525902906896	5.106192737538499	0.002850407891447192
206	3072.8684	171.7311	0.692	31.8212	0.4581	0.003710655817139899	0.0015652836055728653	2.370596487389815	0.0025979575987650004	33.1757	1.2856	0.001828204276710542	0.0021642200874198753	0.8447404620895455	0.002961565753052222	32.0087	1.0345	0.0006993035312327986	0.0006661299326744766	1.049800492263021	0.002972113362007651	29.7321	0.1506	0.005654361595204542	0.0007841233735857712	7.211061148894626	0.003133063805810792	29.6692	0.1128	0.006027482540226019	0.0006261191627692036	9.626733852973983	0.0023551986194189326	29.4166	0.0743	0.008822100644216853	0.0006032619787144497	14.623995801984298	0.0020635244947428467	29.5599	0.0892	0.008397540895548186	0.0006896293253467964	12.176890667062752	0.0015642976051536363	27.8012	0.039	0.04446295986106524	0.0015962629338151248	27.854408518274116	0.003487619856918816	28.8978	0.0857	0.01654122699028537	0.0013052208608628423	12.673124898839314	0.003012000029493996
