NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,CLASS_STAR,FILTER,SEX_FLUX,SEX_FLUXERR,SEX_SNR,NMAD_FLUX,NMAD_FLUXERR,NMAD_SNR,SNR_DIFF,SNR_RATIO
10249,8832.0527,4017.7241,214.7799314,52.7493556,0.0,F606W,0.194997,0.05592583,3.4867073050145163,0.010343298002767232,0.0028195097269742356,3.668473956238899,-0.1817666512243825,0.9504516991553789
10249,8832.0527,4017.7241,214.7799314,52.7493556,0.0,F814W,0.2743219,0.03804895,7.209710123406823,0.0,0.0,0.0,7.209710123406823,
10249,8832.0527,4017.7241,214.7799314,52.7493556,0.0,F115W,1.44993,0.07162783,20.24255097494926,0.0,0.0,0.0,20.24255097494926,
10249,8832.0527,4017.7241,214.7799314,52.7493556,0.0,F150W,2.070672,0.08719828,23.7467069304578,0.0,0.0,0.0,23.7467069304578,
10249,8832.0527,4017.7241,214.7799314,52.7493556,0.0,F200W,3.180534,0.0740872,42.92960187454783,0.0,0.0,0.0,42.92960187454783,
10249,8832.0527,4017.7241,214.7799314,52.7493556,0.0,F277W,2.50404,0.06666192,37.56327450514476,0.0,0.0,0.0,37.56327450514476,
10249,8832.0527,4017.7241,214.7799314,52.7493556,0.0,F356W,2.62323,0.06686071,39.23425282202357,0.0,0.0,0.0,39.23425282202357,
10249,8832.0527,4017.7241,214.7799314,52.7493556,0.0,F410M,2.397948,0.1495957,16.029524912815006,0.0,0.0,0.0,16.029524912815006,
10249,8832.0527,4017.7241,214.7799314,52.7493556,0.0,F444W,2.004359,0.1237023,16.203085957172988,0.0,0.0,0.0,16.203085957172988,
1794,6422.6782,956.5013,214.8335277,52.7481771,0.001,F606W,0.0513081,0.03135087,1.6365765926113054,-0.0028960975716459253,0.004270896972417405,-0.6781005466415364,2.314677139252842,
1794,6422.6782,956.5013,214.8335277,52.7481771,0.001,F814W,0.03272008,0.02132946,1.5340322727345181,0.0,0.0,0.0,1.5340322727345181,
1794,6422.6782,956.5013,214.8335277,52.7481771,0.001,F115W,0.5086187,0.04015309,12.666987771053234,0.0,0.0,0.0,12.666987771053234,
1794,6422.6782,956.5013,214.8335277,52.7481771,0.001,F150W,0.5331047,0.04888157,10.906047002991107,0.0,0.0,0.0,10.906047002991107,
1794,6422.6782,956.5013,214.8335277,52.7481771,0.001,F200W,0.732583,0.04153176,17.639103182720884,0.0,0.0,0.0,17.639103182720884,
1794,6422.6782,956.5013,214.8335277,52.7481771,0.001,F277W,0.359172,0.0373693,9.61141899901791,0.0,0.0,0.0,9.61141899901791,
