NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,CLASS_STAR,FILTER,SEX_FLUX,SEX_FLUXERR,SEX_SNR,NMAD_FLUX,NMAD_FLUXERR,NMAD_SNR,SNR_DIFF,SNR_RATIO,pointing
5745,2351.2581,2343.8469,215.0104749,52.9960078,0.02,F200W,0.01655926,0.0825678,0.20055348453028904,0.0,0.0,0.0,0.20055348453028904,,nircam1
5745,2351.2581,2343.8469,215.0104749,52.9960078,0.02,F277W,5.320908,0.0685882,77.57760081180145,0.0,0.0,0.0,77.57760081180145,,nircam1
5745,2351.2581,2343.8469,215.0104749,52.9960078,0.02,F356W,5.880178,0.07218949,81.45476578377269,0.0,0.0,0.0,81.45476578377269,,nircam1
5745,2351.2581,2343.8469,215.0104749,52.9960078,0.02,F410M,3.345338,0.1594336,20.982641049314573,0.0,0.0,0.0,20.982641049314573,,nircam1
5745,2351.2581,2343.8469,215.0104749,52.9960078,0.02,F444W,3.425107,0.1276399,26.834140421607977,0.0,0.0,0.0,26.834140421607977,,nircam1
5994,8925.4033,2453.0293,214.9503299,52.9548925,0.0,F606W,1.369199,0.04905931,27.90905538622537,0.04547581140854227,0.001932629142413482,23.530542104809477,4.378513281415891,1.1860778753805656,nircam1
5994,8925.4033,2453.0293,214.9503299,52.9548925,0.0,F814W,1.192103,0.03954025,30.149101232288615,0.0,0.0,0.0,30.149101232288615,,nircam1
5994,8925.4033,2453.0293,214.9503299,52.9548925,0.0,F115W,9.082833,0.09321143,97.44333929862465,0.0,0.0,0.0,97.44333929862465,,nircam1
5994,8925.4033,2453.0293,214.9503299,52.9548925,0.0,F150W,1.184572,0.1104616,10.723835251345264,0.0,0.0,0.0,10.723835251345264,,nircam1
5994,8925.4033,2453.0293,214.9503299,52.9548925,0.0,F200W,-0.002610199,0.08767713,-0.029770579853606066,0.0,0.0,0.0,-0.029770579853606066,,nircam1
5994,8925.4033,2453.0293,214.9503299,52.9548925,0.0,F277W,12.81971,0.07283247,176.0164113615809,0.0,0.0,0.0,176.0164113615809,,nircam1
5994,8925.4033,2453.0293,214.9503299,52.9548925,0.0,F356W,11.28788,0.0766566,147.25255229164873,0.0,0.0,0.0,147.25255229164873,,nircam1
5994,8925.4033,2453.0293,214.9503299,52.9548925,0.0,F410M,10.39565,0.1692995,61.4039025513956,0.0,0.0,0.0,61.4039025513956,,nircam1
5994,8925.4033,2453.0293,214.9503299,52.9548925,0.0,F444W,8.186198,0.1355383,60.3976735727097,0.0,0.0,0.0,60.3976735727097,,nircam1
8518,8154.8545,3365.9453,214.9476207,52.9647131,0.298,F606W,-0.0149306,0.008494582,-1.757661530608569,-0.007321223789458975,0.0021326658374431037,-3.4328977662232063,1.6752362356146373,,nircam1
8518,8154.8545,3365.9453,214.9476207,52.9647131,0.298,F814W,-0.003329725,0.006846365,-0.48634932551799387,0.0,0.0,0.0,-0.48634932551799387,,nircam1
8518,8154.8545,3365.9453,214.9476207,52.9647131,0.298,F115W,-0.000250796,0.01613949,-0.015539276643809689,0.0,0.0,0.0,-0.015539276643809689,,nircam1
8518,8154.8545,3365.9453,214.9476207,52.9647131,0.298,F150W,0.03645048,0.01912635,1.9057729258326863,0.0,0.0,0.0,1.9057729258326863,,nircam1
8518,8154.8545,3365.9453,214.9476207,52.9647131,0.298,F200W,0.01800891,0.01518123,1.186261587499827,0.0,0.0,0.0,1.186261587499827,,nircam1
8518,8154.8545,3365.9453,214.9476207,52.9647131,0.298,F277W,0.0182125,0.01261089,1.4441883166057272,0.0,0.0,0.0,1.4441883166057272,,nircam1
8518,8154.8545,3365.9453,214.9476207,52.9647131,0.298,F356W,0.07589094,0.01327303,5.717680137843431,0.0,0.0,0.0,5.717680137843431,,nircam1
8518,8154.8545,3365.9453,214.9476207,52.9647131,0.298,F410M,0.05610986,0.02931407,1.9140931300225454,0.0,0.0,0.0,1.9140931300225454,,nircam1
8518,8154.8545,3365.9453,214.9476207,52.9647131,0.298,F444W,0.1139061,0.02346836,4.853602893427576,0.0,0.0,0.0,4.853602893427576,,nircam1
495,7043.6792,257.6595,214.9903258,52.9549703,0.347,F606W,0.06237361,0.02338811,2.666893990151406,0.009253267085693198,0.002295144676851589,4.0316704994765535,-1.3647765093251474,0.6614860987517851,nircam1
495,7043.6792,257.6595,214.9903258,52.9549703,0.347,F814W,0.006894896,0.01885008,0.36577542376477973,0.0,0.0,0.0,0.36577542376477973,,nircam1
495,7043.6792,257.6595,214.9903258,52.9549703,0.347,F115W,0.05361561,0.04443681,1.206558481583174,0.0,0.0,0.0,1.206558481583174,,nircam1
495,7043.6792,257.6595,214.9903258,52.9549703,0.347,F150W,-0.3735723,0.05266051,-7.0939742133146835,0.0,0.0,0.0,-7.0939742133146835,,nircam1
495,7043.6792,257.6595,214.9903258,52.9549703,0.347,F200W,0.8050404,0.04179843,19.260063117203206,0.0,0.0,0.0,19.260063117203206,,nircam1
495,7043.6792,257.6595,214.9903258,52.9549703,0.347,F277W,0.6093357,0.03472152,17.54922307548748,0.0,0.0,0.0,17.54922307548748,,nircam1
495,7043.6792,257.6595,214.9903258,52.9549703,0.347,F356W,0.4380741,0.0365446,11.98738254078578,0.0,0.0,0.0,11.98738254078578,,nircam1
495,7043.6792,257.6595,214.9903258,52.9549703,0.347,F410M,1.286558,0.08071036,15.940431934636399,0.0,0.0,0.0,15.940431934636399,,nircam1
495,7043.6792,257.6595,214.9903258,52.9549703,0.347,F444W,0.7347518,0.06461535,11.371164901219291,0.0,0.0,0.0,11.371164901219291,,nircam1
777,168.0144,328.5039,215.051323,52.9989504,0.447,F606W,-0.00122316,0.006102688,-0.20042971228416068,0.005743663917036879,0.0024417497341775378,2.352273796385417,-2.5527035086695777,-0.08520679548109907,nircam1
777,168.0144,328.5039,215.051323,52.9989504,0.447,F814W,0.01490308,0.004918573,3.029960112414719,0.0,0.0,0.0,3.029960112414719,,nircam1
777,168.0144,328.5039,215.051323,52.9989504,0.447,F115W,0.01394158,0.01159495,1.20238379639412,0.0,0.0,0.0,1.20238379639412,,nircam1
777,168.0144,328.5039,215.051323,52.9989504,0.447,F150W,-0.09023295,0.01374077,-6.566804480389382,0.0,0.0,0.0,-6.566804480389382,,nircam1
777,168.0144,328.5039,215.051323,52.9989504,0.447,F200W,9.006461e-05,0.01090652,0.00825786868772074,0.0,0.0,0.0,0.00825786868772074,,nircam1
777,168.0144,328.5039,215.051323,52.9989504,0.447,F277W,0.0001847862,0.009059928,0.020395989901906504,0.0,0.0,0.0,0.020395989901906504,,nircam1
777,168.0144,328.5039,215.051323,52.9989504,0.447,F356W,0.08373842,0.009535627,8.781637536787041,0.0,0.0,0.0,8.781637536787041,,nircam1
777,168.0144,328.5039,215.051323,52.9989504,0.447,F410M,0.1560119,0.02105985,7.408025223351543,0.0,0.0,0.0,7.408025223351543,,nircam1
777,168.0144,328.5039,215.051323,52.9989504,0.447,F444W,-3.266644e-05,0.01686016,-0.0019374928826298209,0.0,0.0,0.0,-0.0019374928826298209,,nircam1
1136,764.1192,509.5078,215.0440588,52.996151,0.0,F606W,0.1132923,0.03587763,3.1577420247658496,0.011033087449647651,0.0025635797150259914,4.303781694393611,-1.1460396696277613,0.7337133360828529,nircam1
1136,764.1192,509.5078,215.0440588,52.996151,0.0,F814W,0.1092559,0.02891623,3.778359073779673,0.0,0.0,0.0,3.778359073779673,,nircam1
1136,764.1192,509.5078,215.0440588,52.996151,0.0,F115W,0.9194454,0.06816658,13.4882137258463,0.0,0.0,0.0,13.4882137258463,,nircam1
1136,764.1192,509.5078,215.0440588,52.996151,0.0,F150W,0.8732225,0.08078184,10.80963865145929,0.0,0.0,0.0,10.80963865145929,,nircam1
1136,764.1192,509.5078,215.0440588,52.996151,0.0,F200W,1.691791,0.06411927,26.38506333587391,0.0,0.0,0.0,26.38506333587391,,nircam1
1136,764.1192,509.5078,215.0440588,52.996151,0.0,F277W,1.949542,0.05326321,36.60203731618879,0.0,0.0,0.0,36.60203731618879,,nircam1
1136,764.1192,509.5078,215.0440588,52.996151,0.0,F356W,1.698002,0.05605984,30.28909822075839,0.0,0.0,0.0,30.28909822075839,,nircam1
1136,764.1192,509.5078,215.0440588,52.996151,0.0,F410M,2.335899,0.1238106,18.86671254319097,0.0,0.0,0.0,18.86671254319097,,nircam1
1136,764.1192,509.5078,215.0440588,52.996151,0.0,F444W,2.350375,0.09912071,23.712249438084132,0.0,0.0,0.0,23.712249438084132,,nircam1
415,3650.5427,237.3977,215.020994,52.9763798,0.349,F606W,-0.02030024,0.014066,-1.4432134224370823,-0.0004814352483344374,0.0026409338460465083,-0.1822973525274586,-1.2609160699096238,,nircam1
415,3650.5427,237.3977,215.020994,52.9763798,0.349,F814W,-0.01882218,0.01133675,-1.6602800626281784,0.0,0.0,0.0,-1.6602800626281784,,nircam1
415,3650.5427,237.3977,215.020994,52.9763798,0.349,F115W,0.06696711,0.02672504,2.505781469363563,0.0,0.0,0.0,2.505781469363563,,nircam1
415,3650.5427,237.3977,215.020994,52.9763798,0.349,F150W,-0.03791595,0.03167092,-1.1971849886267907,0.0,0.0,0.0,-1.1971849886267907,,nircam1
415,3650.5427,237.3977,215.020994,52.9763798,0.349,F200W,0.02995576,0.02513828,1.1916392052280427,0.0,0.0,0.0,1.1916392052280427,,nircam1
415,3650.5427,237.3977,215.020994,52.9763798,0.349,F277W,0.1635118,0.0208821,7.8302373803401,0.0,0.0,0.0,7.8302373803401,,nircam1
415,3650.5427,237.3977,215.020994,52.9763798,0.349,F356W,0.1879677,0.02197853,8.552332662830498,0.0,0.0,0.0,8.552332662830498,,nircam1
415,3650.5427,237.3977,215.020994,52.9763798,0.349,F410M,0.3326325,0.04854056,6.852671250599498,0.0,0.0,0.0,6.852671250599498,,nircam1
415,3650.5427,237.3977,215.020994,52.9763798,0.349,F444W,0.2180376,0.03886076,5.610739470869844,0.0,0.0,0.0,5.610739470869844,,nircam1
8796,4626.4409,3481.0959,214.9780619,52.9877234,0.371,F606W,0.005083518,0.006102688,0.8329965418517218,0.0023441526342385423,0.0020176386423717747,1.1618297672386686,-0.3288332253869468,0.7169695297371423,nircam1
8796,4626.4409,3481.0959,214.9780619,52.9877234,0.371,F814W,0.002294605,0.004918573,0.46651843939288895,0.0,0.0,0.0,0.46651843939288895,,nircam1
8796,4626.4409,3481.0959,214.9780619,52.9877234,0.371,F115W,0.0001113365,0.01159495,0.009602154386176742,0.0,0.0,0.0,0.009602154386176742,,nircam1
8796,4626.4409,3481.0959,214.9780619,52.9877234,0.371,F150W,0.05606643,0.01374077,4.080297537910903,0.0,0.0,0.0,4.080297537910903,,nircam1
8796,4626.4409,3481.0959,214.9780619,52.9877234,0.371,F200W,0.7526605,0.01090652,69.01014255692925,0.0,0.0,0.0,69.01014255692925,,nircam1
8796,4626.4409,3481.0959,214.9780619,52.9877234,0.371,F277W,-8.369969e-06,0.009059928,-0.0009238449797835037,0.0,0.0,0.0,-0.0009238449797835037,,nircam1
8796,4626.4409,3481.0959,214.9780619,52.9877234,0.371,F356W,-4.441742e-05,0.009535627,-0.004658049229484333,0.0,0.0,0.0,-0.004658049229484333,,nircam1
8796,4626.4409,3481.0959,214.9780619,52.9877234,0.371,F410M,0.0001853279,0.02105985,0.008800057930137203,0.0,0.0,0.0,0.008800057930137203,,nircam1
8796,4626.4409,3481.0959,214.9780619,52.9877234,0.371,F444W,-2.247083e-05,0.01686016,-0.0013327767945262678,0.0,0.0,0.0,-0.0013327767945262678,,nircam1
8123,9956.1699,3233.9773,214.9328635,52.9525677,0.083,F606W,0.239224,0.01953813,12.243955793108142,0.01739210690721504,0.00295199945079159,5.891636227286993,6.3523195658211495,2.0781927669601377,nircam1
8123,9956.1699,3233.9773,214.9328635,52.9525677,0.083,F814W,0.1046225,0.01574712,6.6439132997017865,0.0,0.0,0.0,6.6439132997017865,,nircam1
8123,9956.1699,3233.9773,214.9328635,52.9525677,0.083,F115W,0.9561852,0.03712196,25.75793950534939,0.0,0.0,0.0,25.75793950534939,,nircam1
8123,9956.1699,3233.9773,214.9328635,52.9525677,0.083,F150W,0.8436802,0.04399194,19.17806307246282,0.0,0.0,0.0,19.17806307246282,,nircam1
8123,9956.1699,3233.9773,214.9328635,52.9525677,0.083,F200W,0.9979787,0.03491789,28.58072752964168,0.0,0.0,0.0,28.58072752964168,,nircam1
8123,9956.1699,3233.9773,214.9328635,52.9525677,0.083,F277W,0.6335095,0.02900592,21.840696657785717,0.0,0.0,0.0,21.840696657785717,,nircam1
8123,9956.1699,3233.9773,214.9328635,52.9525677,0.083,F356W,0.4987585,0.0305289,16.337257483892312,0.0,0.0,0.0,16.337257483892312,,nircam1
8123,9956.1699,3233.9773,214.9328635,52.9525677,0.083,F410M,-0.01988957,0.06742442,-0.29499059836183983,0.0,0.0,0.0,-0.29499059836183983,,nircam1
8123,9956.1699,3233.9773,214.9328635,52.9525677,0.083,F444W,0.498052,0.05397886,9.226797305463657,0.0,0.0,0.0,9.226797305463657,,nircam1
5408,6645.2183,2342.363,214.9719447,52.9687631,0.001,F606W,4.432195,0.08599432,51.540555236671445,0.04706744542913333,0.0024789464624701187,18.986874521781118,32.553680714890326,2.7145360431779233,nircam1
5408,6645.2183,2342.363,214.9719447,52.9687631,0.001,F814W,4.035611,0.06930871,58.226606728072134,0.0,0.0,0.0,58.226606728072134,,nircam1
5408,6645.2183,2342.363,214.9719447,52.9687631,0.001,F115W,55.56115,0.163387,340.0585725914546,0.0,0.0,0.0,340.0585725914546,,nircam1
5408,6645.2183,2342.363,214.9719447,52.9687631,0.001,F150W,85.3281,0.1936243,440.68900442764675,0.0,0.0,0.0,440.68900442764675,,nircam1
5408,6645.2183,2342.363,214.9719447,52.9687631,0.001,F200W,104.6174,0.1536861,680.721288392379,0.0,0.0,0.0,680.721288392379,,nircam1
5408,6645.2183,2342.363,214.9719447,52.9687631,0.001,F277W,131.6841,0.1276654,1031.47838020325,0.0,0.0,0.0,1031.47838020325,,nircam1
5408,6645.2183,2342.363,214.9719447,52.9687631,0.001,F356W,136.3201,0.1343686,1014.523482420744,0.0,0.0,0.0,1014.523482420744,,nircam1
5408,6645.2183,2342.363,214.9719447,52.9687631,0.001,F410M,140.7767,0.296759,474.3805579611739,0.0,0.0,0.0,474.3805579611739,,nircam1
5408,6645.2183,2342.363,214.9719447,52.9687631,0.001,F444W,152.6093,0.2375803,642.3482923457879,0.0,0.0,0.0,642.3482923457879,,nircam1
