NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,CLASS_STAR,FILTER,SEX_FLUX,SEX_FLUXERR,SEX_SNR,NMAD_FLUX,NMAD_FLUXERR,NMAD_SNR,SNR_DIFF,SNR_RATIO
13124,7343.7461,4020.8584,214.9879269,52.8855453,1.0,F606W,0.02257452,0.01522144,1.4830738747450964,0.004018006752480555,0.002656843608043805,1.5123233977023414,-0.029249522957244922,0.9806592141590328
13124,7343.7461,4020.8584,214.9879269,52.8855453,1.0,F814W,0.01389763,0.009222382,1.5069458194206227,0.0,0.0,0.0,1.5069458194206227,
13124,7343.7461,4020.8584,214.9879269,52.8855453,1.0,F115W,0.167362,0.02032897,8.232684685943264,0.0,0.0,0.0,8.232684685943264,
13124,7343.7461,4020.8584,214.9879269,52.8855453,1.0,F150W,0.1537121,8.694145e-05,1767.9955878352614,0.0,0.0,0.0,1767.9955878352614,
13124,7343.7461,4020.8584,214.9879269,52.8855453,1.0,F200W,0.1826547,6.659804e-05,2742.643777504563,0.0,0.0,0.0,2742.643777504563,
13124,7343.7461,4020.8584,214.9879269,52.8855453,1.0,F277W,0.1598744,4.304824e-05,3713.8428888149665,0.0,0.0,0.0,3713.8428888149665,
13124,7343.7461,4020.8584,214.9879269,52.8855453,1.0,F356W,0.2100234,0.01817442,11.555989131977801,0.0,0.0,0.0,11.555989131977801,
13124,7343.7461,4020.8584,214.9879269,52.8855453,1.0,F410M,-0.003494908,5.944394e-05,-58.793343779029456,0.0,0.0,0.0,-58.793343779029456,
13124,7343.7461,4020.8584,214.9879269,52.8855453,1.0,F444W,0.1357869,3.594505e-05,3777.624457331399,0.0,0.0,0.0,3777.624457331399,
2384,2310.0637,1143.6738,215.0632844,52.9019025,0.291,F606W,0.9963061,0.06961676,14.311296590073999,0.05920954220329963,0.002905529426796208,20.37822837285363,-6.066931782779632,0.7022836494039124
2384,2310.0637,1143.6738,215.0632844,52.9019025,0.291,F814W,1.02588,0.04217947,24.32178498212519,0.0,0.0,0.0,24.32178498212519,
2384,2310.0637,1143.6738,215.0632844,52.9019025,0.291,F115W,6.440143,0.09297655,69.26631500093303,0.0,0.0,0.0,69.26631500093303,
2384,2310.0637,1143.6738,215.0632844,52.9019025,0.291,F150W,8.799443,0.0003976353,22129.43116468784,0.0,0.0,0.0,22129.43116468784,
2384,2310.0637,1143.6738,215.0632844,52.9019025,0.291,F200W,16.60042,0.0003045927,54500.38691012622,0.0,0.0,0.0,54500.38691012622,
2384,2310.0637,1143.6738,215.0632844,52.9019025,0.291,F277W,17.05405,0.0001968854,86619.17033970015,0.0,0.0,0.0,86619.17033970015,
2384,2310.0637,1143.6738,215.0632844,52.9019025,0.291,F356W,14.80093,0.08312252,178.0616131464734,0.0,0.0,0.0,178.0616131464734,
2384,2310.0637,1143.6738,215.0632844,52.9019025,0.291,F410M,13.60209,0.0002718728,50031.080711273804,0.0,0.0,0.0,50031.080711273804,
2384,2310.0637,1143.6738,215.0632844,52.9019025,0.291,F444W,15.48457,0.0001643983,94189.35597265908,0.0,0.0,0.0,94189.35597265908,
14680,9600.8389,4558.1519,214.9620703,52.8741287,1.0,F606W,0.01164599,0.01511682,0.7703994623207792,-0.0002243024702347935,0.0025744930279897986,-0.08712490878638429,0.8575243711071634,
14680,9600.8389,4558.1519,214.9620703,52.8741287,1.0,F814W,0.02349959,0.009158997,2.56573836632985,0.0,0.0,0.0,2.56573836632985,
14680,9600.8389,4558.1519,214.9620703,52.8741287,1.0,F115W,0.1813449,0.02018925,8.982250455068911,0.0,0.0,0.0,8.982250455068911,
14680,9600.8389,4558.1519,214.9620703,52.8741287,1.0,F150W,0.0552942,8.634391e-05,640.3949045161378,0.0,0.0,0.0,640.3949045161378,
14680,9600.8389,4558.1519,214.9620703,52.8741287,1.0,F200W,0.189963,6.614032e-05,2872.1209694782247,0.0,0.0,0.0,2872.1209694782247,
14680,9600.8389,4558.1519,214.9620703,52.8741287,1.0,F277W,0.1604932,4.275237e-05,3754.0187830522614,0.0,0.0,0.0,3754.0187830522614,
14680,9600.8389,4558.1519,214.9620703,52.8741287,1.0,F356W,0.02255847,0.01804951,1.249810659679958,0.0,0.0,0.0,1.249810659679958,
14680,9600.8389,4558.1519,214.9620703,52.8741287,1.0,F410M,0.1911156,5.903539e-05,3237.305622949217,0.0,0.0,0.0,3237.305622949217,
14680,9600.8389,4558.1519,214.9620703,52.8741287,1.0,F444W,0.05200895,3.569801e-05,1456.9145450964916,0.0,0.0,0.0,1456.9145450964916,
15531,9834.4727,4937.4526,214.9559916,52.8746951,0.89,F606W,0.3617703,0.0551413,6.560786561071284,0.002083878654355622,0.002139164856237027,0.9741552402003005,5.586631320870984,6.734847065773922
15531,9834.4727,4937.4526,214.9559916,52.8746951,0.89,F814W,0.2623001,0.03340907,7.851164369436203,0.0,0.0,0.0,7.851164369436203,
15531,9834.4727,4937.4526,214.9559916,52.8746951,0.89,F115W,2.484236,0.07364388,33.733094997167456,0.0,0.0,0.0,33.733094997167456,
15531,9834.4727,4937.4526,214.9559916,52.8746951,0.89,F150W,2.881194,0.0003149548,9147.960278744758,0.0,0.0,0.0,9147.960278744758,
15531,9834.4727,4937.4526,214.9559916,52.8746951,0.89,F200W,1.970908,0.0002412586,8169.275623749786,0.0,0.0,0.0,8169.275623749786,
15531,9834.4727,4937.4526,214.9559916,52.8746951,0.89,F277W,3.315898,0.0001559469,21262.994006293167,0.0,0.0,0.0,21262.994006293167,
15531,9834.4727,4937.4526,214.9559916,52.8746951,0.89,F356W,4.571093,0.06583881,69.4285482984884,0.0,0.0,0.0,69.4285482984884,
15531,9834.4727,4937.4526,214.9559916,52.8746951,0.89,F410M,3.973786,0.0002153421,18453.363276386735,0.0,0.0,0.0,18453.363276386735,
15531,9834.4727,4937.4526,214.9559916,52.8746951,0.89,F444W,3.612098,0.0001302148,27739.534983734568,0.0,0.0,0.0,27739.534983734568,
3456,353.3704,1533.5438,215.0767453,52.916412,0.0,F606W,1.903117,0.04538545,41.93231531250654,0.11350559276741874,0.0035546586977712458,31.93150240797695,10.000812904529589,1.313195814489181
3456,353.3704,1533.5438,215.0767453,52.916412,0.0,F814W,1.388126,0.02749818,50.48064999210857,0.0,0.0,0.0,50.48064999210857,
3456,353.3704,1533.5438,215.0767453,52.916412,0.0,F115W,14.44638,0.06061446,238.33223953492285,0.0,0.0,0.0,238.33223953492285,
3456,353.3704,1533.5438,215.0767453,52.916412,0.0,F150W,-6.490619e-08,0.0002592315,-0.0002503792556074397,0.0,0.0,0.0,-0.0002503792556074397,
3456,353.3704,1533.5438,215.0767453,52.916412,0.0,F200W,-1.538672e-07,0.000198574,-0.0007748607571988277,0.0,0.0,0.0,-0.0007748607571988277,
3456,353.3704,1533.5438,215.0767453,52.916412,0.0,F277W,7.077874e-09,0.000128356,5.514252547601983e-05,0.0,0.0,0.0,5.514252547601983e-05,
3456,353.3704,1533.5438,215.0767453,52.916412,0.0,F356W,21.44756,0.0541903,395.7822709968389,0.0,0.0,0.0,395.7822709968389,
3456,353.3704,1533.5438,215.0767453,52.916412,0.0,F410M,3.313902e-09,0.0001772428,1.8696962584657882e-05,0.0,0.0,0.0,1.8696962584657882e-05,
3456,353.3704,1533.5438,215.0767453,52.916412,0.0,F444W,-4.053263e-10,0.0001071766,-3.7818544346433828e-06,0.0,0.0,0.0,-3.7818544346433828e-06,
13744,9165.0693,4318.856,214.9684864,52.8756009,0.962,F606W,3.686561,0.08003037,46.06452525460022,0.11723748070681074,0.0023075846566636008,50.805278310489996,-4.740753055889776,0.9066877849400358
13744,9165.0693,4318.856,214.9684864,52.8756009,0.962,F814W,2.352722,0.04848889,48.52084673416942,0.0,0.0,0.0,48.52084673416942,
13744,9165.0693,4318.856,214.9684864,52.8756009,0.962,F115W,18.47758,0.1068844,172.87443256452764,0.0,0.0,0.0,172.87443256452764,
13744,9165.0693,4318.856,214.9684864,52.8756009,0.962,F150W,28.30995,0.0004571156,61931.708303107574,0.0,0.0,0.0,61931.708303107574,
13744,9165.0693,4318.856,214.9684864,52.8756009,0.962,F200W,35.29757,0.0003501552,100805.49996116008,0.25699647963605987,0.002341667836313014,109.74933150241502,100695.75062965766,918.5067333092765
13744,9165.0693,4318.856,214.9684864,52.8756009,0.962,F277W,25.07269,0.0002263365,110776.16734375588,0.0,0.0,0.0,110776.16734375588,
13744,9165.0693,4318.856,214.9684864,52.8756009,0.962,F356W,29.07545,0.09555639,304.2753080144614,0.0,0.0,0.0,304.2753080144614,
13744,9165.0693,4318.856,214.9684864,52.8756009,0.962,F410M,29.39893,0.0003125408,94064.29496564929,0.0,0.0,0.0,94064.29496564929,
13744,9165.0693,4318.856,214.9684864,52.8756009,0.962,F444W,27.87213,0.0001889898,147479.54651520876,0.0,0.0,0.0,147479.54651520876,
5541,9956.6738,2106.1174,214.9846555,52.8586227,1.0,F606W,0.07703049,0.04120702,1.8693535713089662,0.008257597171398364,0.003251366125666662,2.5397315627458665,-0.6703779914369004,0.7360437609744426
5541,9956.6738,2106.1174,214.9846555,52.8586227,1.0,F814W,0.06695999,0.02496655,2.6819881000779042,0.0,0.0,0.0,2.6819881000779042,
5541,9956.6738,2106.1174,214.9846555,52.8586227,1.0,F115W,0.9983492,0.05503396,18.14060263880702,0.0,0.0,0.0,18.14060263880702,
5541,9956.6738,2106.1174,214.9846555,52.8586227,1.0,F150W,0.8188442,0.0002353652,3479.036832972759,0.0,0.0,0.0,3479.036832972759,
5541,9956.6738,2106.1174,214.9846555,52.8586227,1.0,F200W,1.499172,0.0001802922,8315.234935288383,0.0,0.0,0.0,8315.234935288383,
5541,9956.6738,2106.1174,214.9846555,52.8586227,1.0,F277W,0.7001204,0.0001165389,6007.611192485942,0.0,0.0,0.0,6007.611192485942,
5541,9956.6738,2106.1174,214.9846555,52.8586227,1.0,F356W,0.780796,0.04920124,15.869437436942647,0.0,0.0,0.0,15.869437436942647,
5541,9956.6738,2106.1174,214.9846555,52.8586227,1.0,F410M,0.5211471,0.0001609248,3238.451127483147,0.0,0.0,0.0,3238.451127483147,
5541,9956.6738,2106.1174,214.9846555,52.8586227,1.0,F444W,0.3392459,9.730935e-05,3486.2621115031598,0.0,0.0,0.0,3486.2621115031598,
1320,2564.0271,827.9516,215.0643234,52.8985846,0.019,F606W,0.008702499,0.00776553,1.1206574438576635,0.0012962782162175917,0.0024507523160803577,0.5289307318867746,0.5917267119708889,2.1187225023966967
1320,2564.0271,827.9516,215.0643234,52.8985846,0.019,F814W,-0.002856635,0.004704987,-0.6071504554635326,0.0,0.0,0.0,-0.6071504554635326,
1320,2564.0271,827.9516,215.0643234,52.8985846,0.019,F115W,-0.01102656,0.01037124,-1.063186272808266,0.0,0.0,0.0,-1.063186272808266,
1320,2564.0271,827.9516,215.0643234,52.8985846,0.019,F150W,-0.04598972,4.435497e-05,-1036.8560727242063,0.0,0.0,0.0,-1036.8560727242063,
1320,2564.0271,827.9516,215.0643234,52.8985846,0.019,F200W,-0.007513795,3.397636e-05,-221.14773330633417,0.0,0.0,0.0,-221.14773330633417,
1320,2564.0271,827.9516,215.0643234,52.8985846,0.019,F277W,0.02716495,2.196194e-05,1236.9103093806832,0.0,0.0,0.0,1236.9103093806832,
1320,2564.0271,827.9516,215.0643234,52.8985846,0.019,F356W,0.02306134,0.009272055,2.487187576001221,0.0,0.0,0.0,2.487187576001221,
1320,2564.0271,827.9516,215.0643234,52.8985846,0.019,F410M,0.1000451,3.032655e-05,3298.927837159189,0.0,0.0,0.0,3298.927837159189,
1320,2564.0271,827.9516,215.0643234,52.8985846,0.019,F444W,0.3142309,1.833811e-05,17135.402721436396,0.0,0.0,0.0,17135.402721436396,
16656,10304.1084,5408.8389,214.9468327,52.8742607,0.001,F606W,-0.002606306,0.01296977,-0.20095236846914016,-0.0014810897720586777,0.0029313857167766987,-0.5052524352500628,0.30430006678092264,
16656,10304.1084,5408.8389,214.9468327,52.8742607,0.001,F814W,0.009669372,0.007858137,1.2304916547013627,0.0,0.0,0.0,1.2304916547013627,
16656,10304.1084,5408.8389,214.9468327,52.8742607,0.001,F115W,0.18959,0.01732175,10.945198955070937,0.0,0.0,0.0,10.945198955070937,
16656,10304.1084,5408.8389,214.9468327,52.8742607,0.001,F150W,-9.626543e-09,7.408041e-05,-0.00012994721546492522,0.0,0.0,0.0,-0.00012994721546492522,
16656,10304.1084,5408.8389,214.9468327,52.8742607,0.001,F200W,6.553377e-09,5.674635e-05,0.0001154854365082512,0.0,0.0,0.0,0.0001154854365082512,
16656,10304.1084,5408.8389,214.9468327,52.8742607,0.001,F277W,-4.183463e-09,3.668022e-05,-0.00011405228758169932,0.0,0.0,0.0,-0.00011405228758169932,
16656,10304.1084,5408.8389,214.9468327,52.8742607,0.001,F356W,0.9207497,0.01548592,59.45721662000062,0.0,0.0,0.0,59.45721662000062,
16656,10304.1084,5408.8389,214.9468327,52.8742607,0.001,F410M,8.333822e-09,5.065054e-05,0.0001645356989283826,0.0,0.0,0.0,0.0001645356989283826,
16656,10304.1084,5408.8389,214.9468327,52.8742607,0.001,F444W,-4.315357e-11,3.062779e-05,-1.4089678034229699e-06,0.0,0.0,0.0,-1.4089678034229699e-06,
373,8671.1963,520.3099,215.0128216,52.8582042,0.001,F606W,1.283638,0.04446705,28.867172434420542,0.06742161387281154,0.0033087339633291074,20.376861548873144,8.490310885547398,1.416664306482316
373,8671.1963,520.3099,215.0128216,52.8582042,0.001,F814W,0.7822449,0.02694174,29.03468372866786,0.0,0.0,0.0,29.03468372866786,
