NUMBER,FILTER,SEX_SNR,NMAD_SNR,SNR_DIFF,SNR_RATIO
10,F115W,134.4508507541357,0.0,134.4508507541357,
10,F150W,155.61739349183713,0.0,155.61739349183713,
10,F200W,283.2519519596921,0.0,283.2519519596921,
10,F277W,356.332965094371,0.0,356.332965094371,
10,F356W,355.7237725866558,0.0,355.7237725866558,
10,F410M,158.2860417069381,119.42921989089153,38.856821816046576,1.3253543969519812
10,F444W,176.9028125822081,0.0,176.9028125822081,
10,F606W,25.192171207075393,0.0,25.192171207075393,
10,F814W,31.01648640089955,0.0,31.01648640089955,
41,F115W,16.56718680723151,0.0,16.56718680723151,
41,F150W,26.082950680077463,0.0,26.082950680077463,
41,F200W,18.688916307340225,0.0,18.688916307340225,
41,F277W,40.28121920675145,0.0,40.28121920675145,
41,F356W,86.43339981660294,0.0,86.43339981660294,
41,F410M,0.5715114026244498,0.0,0.5715114026244498,
41,F444W,0.009522950831565387,0.0,0.009522950831565387,
41,F606W,-0.1939048334064917,0.2177258698181056,-0.41163070322459727,-0.8905916121427616
41,F814W,6.23079869062684,0.0,6.23079869062684,
69,F115W,69.33229987296292,0.0,69.33229987296292,
69,F150W,45.9030786515923,0.0,45.9030786515923,
69,F200W,31.558291465445652,0.0,31.558291465445652,
69,F277W,-3.093849149145446,0.0,-3.093849149145446,
69,F356W,10.657060518731988,0.0,10.657060518731988,
69,F410M,-0.0055390459944952555,-0.00042006788009607576,-0.00511897811439918,
69,F444W,0.07647794717284624,0.0,0.07647794717284624,
69,F606W,1.7924973445976906,0.0,1.7924973445976906,
69,F814W,-1.8424080812174752,0.0,-1.8424080812174752,
179,F115W,-1.484849869986503,0.0,-1.484849869986503,
179,F150W,-1.0605402753994135,0.0,-1.0605402753994135,
179,F200W,-4.90519890854278,-3.8686048816648064,-1.0365940268779736,
179,F277W,-0.22536934068350215,0.0,-0.22536934068350215,
179,F356W,1.838378325830069,0.0,1.838378325830069,
179,F410M,10.324218833467475,0.0,10.324218833467475,
179,F444W,9.363902833662314,0.0,9.363902833662314,
179,F606W,0.7564779651196325,0.0,0.7564779651196325,
179,F814W,1.0360582225779713,0.0,1.0360582225779713,
218,F115W,-3.063956146141151,0.0,-3.063956146141151,
218,F150W,5.165377547088407,0.0,5.165377547088407,
218,F200W,-10.310645440032198,0.0,-10.310645440032198,
218,F277W,5.271675416337826,0.0,5.271675416337826,
218,F356W,5.045755503575122,0.0,5.045755503575122,
218,F410M,11.413063127553292,0.0,11.413063127553292,
218,F444W,15.160349795536565,6.203556895146526,8.956792900390038,2.44381570956455
218,F606W,-0.1427157440631509,0.0,-0.1427157440631509,
218,F814W,0.6571535333618865,0.0,0.6571535333618865,
276,F115W,253.57064842713558,0.0,253.57064842713558,
276,F150W,234.20814479638008,0.0,234.20814479638008,
276,F200W,317.73015138061714,0.0,317.73015138061714,
276,F277W,353.36262299303013,0.0,353.36262299303013,
276,F356W,230.68437315549514,0.0,230.68437315549514,
276,F410M,79.07765121065215,0.0,79.07765121065215,
276,F444W,94.76173153874136,0.0,94.76173153874136,
