NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,CLASS_STAR,FILTER,SEX_FLUX,SEX_FLUXERR,SEX_SNR,NMAD_FLUX,NMAD_FLUXERR,NMAD_SNR,SNR_DIFF,SNR_RATIO,REDSHIFT_BIN
788,7972.3989,1909.2806,214.8924106,52.8856455,0.351,F606W,0.006564681,0.01200351,0.5468967826910629,-0.00237633,0.00211619,-1.1229284705059563,1.6698252531970192,,redshift_z10-15
788,7972.3989,1909.2806,214.8924106,52.8856455,0.351,F814W,-0.002780873,0.008948561,-0.3107620320183323,0.00107975,0.0032508,0.33214900947459086,-0.6429110414929231,-0.9356102928318543,redshift_z10-15
788,7972.3989,1909.2806,214.8924106,52.8856455,0.351,F115W,-0.04931311,0.02162416,-2.28046361107206,-0.00050063,0.00157559,-0.3177412905641696,-1.9627223205078905,,redshift_z10-15
788,7972.3989,1909.2806,214.8924106,52.8856455,0.351,F150W,-0.002298327,0.02562532,-0.08968968972875266,0.00017948,0.0022365,0.08025039123630673,-0.1699400809650594,-1.117623083788474,redshift_z10-15
788,7972.3989,1909.2806,214.8924106,52.8856455,0.351,F200W,0.05948901,0.02045975,2.907611774337419,0.00129906,0.0017855,0.7275609073088771,2.180050867028542,3.9963826328879812,redshift_z10-15
788,7972.3989,1909.2806,214.8924106,52.8856455,0.351,F277W,0.0378199,0.01662362,2.2750700509275354,0.00113923,0.00155014,0.7349207168384791,1.5401493340890564,3.095667326830236,redshift_z10-15
788,7972.3989,1909.2806,214.8924106,52.8856455,0.351,F356W,0.06294902,0.01791715,3.513338895973969,0.00116855,0.00153701,0.760274819292002,2.7530640766819667,4.621143311369603,redshift_z10-15
788,7972.3989,1909.2806,214.8924106,52.8856455,0.351,F410M,0.2355815,0.03970866,5.9327486749741745,0.00902129,0.00271295,3.3252695405370534,2.607479134437121,1.7841406847325814,redshift_z10-15
788,7972.3989,1909.2806,214.8924106,52.8856455,0.351,F444W,0.1989387,0.03170771,6.274142787353612,0.00836976,0.00307877,2.7185401962472024,3.5556025911064095,2.3079087798719056,redshift_z10-15
1455,2689.3545,2196.428,214.936667,52.9207366,0.399,F606W,0.03036999,0.02429568,1.250016052236447,0.00119317,0.00267293,0.44639029080447296,0.803625761431974,2.8002760767571817,redshift_z10-15
1455,2689.3545,2196.428,214.936667,52.9207366,0.399,F814W,0.04639844,0.01811233,2.561704650920119,0.00536369,0.00287058,1.8685039260358534,0.6932007248842655,1.370992383384997,redshift_z10-15
1455,2689.3545,2196.428,214.936667,52.9207366,0.399,F115W,-0.2432966,0.04376836,-5.55873238110818,0.00032231,0.00231095,0.13947078041498087,-5.6982031615231605,-39.85589214148474,redshift_z10-15
1455,2689.3545,2196.428,214.936667,52.9207366,0.399,F150W,0.05726158,0.05186691,1.1040098590797098,0.00428838,0.00289706,1.4802523938061345,-0.37624253472642466,0.7458254171378152,redshift_z10-15
1455,2689.3545,2196.428,214.936667,52.9207366,0.399,F200W,0.754979,0.04141153,18.231130315639145,0.00723053,0.00251579,2.8740594405733386,15.357070875065807,6.343337948501951,redshift_z10-15
1455,2689.3545,2196.428,214.936667,52.9207366,0.399,F277W,0.479436,0.03364702,14.248988469112568,0.0090202,0.00193832,4.653617565727021,9.595370903385547,3.0619165128766848,redshift_z10-15
1455,2689.3545,2196.428,214.936667,52.9207366,0.399,F356W,0.4155511,0.03626518,11.458680199574358,0.00839913,0.00176867,4.748839523483747,6.709840676090611,2.412943234427992,redshift_z10-15
1455,2689.3545,2196.428,214.936667,52.9207366,0.399,F410M,0.7362822,0.08037227,9.160898404387483,0.01295008,0.00332017,3.9004267853754477,5.260471619012035,2.3486912864858898,redshift_z10-15
1455,2689.3545,2196.428,214.936667,52.9207366,0.399,F444W,0.3704352,0.06417796,5.772000231855297,0.00400871,0.00242849,1.650700641139144,4.121299590716153,3.496697152714532,redshift_z10-15
2259,8880.2412,2505.6458,214.8780169,52.8830972,0.349,F606W,-0.004483944,0.01771247,-0.2531518190291924,-0.00011716,0.0022946,-0.05105900810598797,-0.20209281092320447,,redshift_z10-15
2259,8880.2412,2505.6458,214.8780169,52.8830972,0.349,F814W,-0.001360918,0.01320457,-0.10306416642117085,-0.00072298,0.00273778,-0.2640752726661748,0.16101110624500398,,redshift_z10-15
2259,8880.2412,2505.6458,214.8780169,52.8830972,0.349,F115W,0.07610891,0.03190878,2.3852027561066267,0.00124395,0.00164669,0.7554245182760568,1.6297782378305699,3.1574335997855387,redshift_z10-15
2259,8880.2412,2505.6458,214.8780169,52.8830972,0.349,F150W,0.1085221,0.03781293,2.8699733133613288,0.00091908,0.00227237,0.40445878092036064,2.465514532440968,7.095836334250428,redshift_z10-15
