source_number	x_image	y_image	class_star	mag_aper_F606W	magerr_aper_F606W	flux_aper_F606W	fluxerr_aper_F606W	snr_F606W	nmad_F606W	mag_aper_F444W	magerr_aper_F444W	flux_aper_F444W	fluxerr_aper_F444W	snr_F444W	nmad_F444W	mag_aper_F814W	magerr_aper_F814W	flux_aper_F814W	fluxerr_aper_F814W	snr_F814W	nmad_F814W	mag_aper_F115W	magerr_aper_F115W	flux_aper_F115W	fluxerr_aper_F115W	snr_F115W	nmad_F115W	mag_aper_F150W	magerr_aper_F150W	flux_aper_F150W	fluxerr_aper_F150W	snr_F150W	nmad_F150W	mag_aper_F200W	magerr_aper_F200W	flux_aper_F200W	fluxerr_aper_F200W	snr_F200W	nmad_F200W	mag_aper_F277W	magerr_aper_F277W	flux_aper_F277W	fluxerr_aper_F277W	snr_F277W	nmad_F277W	mag_aper_F356W	magerr_aper_F356W	flux_aper_F356W	fluxerr_aper_F356W	snr_F356W	nmad_F356W	mag_aper_F410M	magerr_aper_F410M	flux_aper_F410M	fluxerr_aper_F410M	snr_F410M	nmad_F410M
6618	9046.085	4044.5168	0.348	31.8536	0.4722	0.003601534602084526	0.0015660136333159494	2.2998105032192284	0.002168020666727436																																																
5828	3337.2546	3813.4341	0.347	34.308	4.5198	0.00037560390156786584	0.0015632300410023832	0.2402742345758779	0.002045871662168863																																																
3005	6843.4829	2797.5088	0.552	30.3654	0.1199	0.014182275574462066	0.0015656168036552874	9.058586712502272	0.002576365919697516																																																
1154	6129.9834	2066.002	0.346	99.0	99.0	-0.00522878032467221	0.001560840964473907	-3.349976354852148	0.002571015544444963																																																
644	6647.8359	1874.6364	0.347	99.0	99.0	-9.543620291079193e-05	0.0015644240007977284	-0.06100405188243549	0.002009445969864349																																																
7895	4314.9648	4471.4541	0.355	30.579	0.1457	0.011649900731788756	0.0015632300410023832	7.452454486045151	0.0026296814158632393																																																
13203	2958.4773	5599.0347	0.348	99.0	99.0	-0.00201891081297229	0.0015620360812070382	-1.2924866699700106	0.002661755837667591																																																
1697	7359.1187	2302.2112	0.353	31.3534	0.2972	0.005709121225554693	0.0015624340678054866	3.653991770400544	0.0023691359648149945																																																
3707	6020.8315	3045.3618	0.347	99.0	99.0	-8.229976438690935e-05	0.001562832054403935	-0.0526606580374361	0.002199243365216142																																																
13086	7310.3018	5779.2666	0.357	99.0	99.0	-0.003837170434872808	0.0015648219873961766	-2.4521450144356423	0.002285109077193129																																																
8397	7379.4126	4679.5815	0.348	31.385	0.3059	0.005545409901058085	0.0015620360812070382	3.5501163947333145	0.001905253241181198																																																
2026	1751.1621	2441.9146	0.356	31.3132	0.2864	0.005924479409764475	0.0015624340678054866	3.791826824466065	0.002193896695414883																																																
9365	8938.8301	5015.9785	0.337	31.2004	0.2582	0.006572717436053989	0.001562832054403935	4.205645397106235	0.0023931103697820573																																																
1418	3325.8511	2190.3306	0.354	30.8046	0.1793	0.009463778857516644	0.001562832054403935	6.05553157861619	0.002175150325079104																																																
15	10358.5576	2117.8191	0.029	25.1845	0.001	1.6753245861682566	0.0015632300410023832	1071.7070055114827	0.0034876516802848524																																																
12208	7925.7095	6222.4316	0.356	99.0	99.0	-0.0059864137602724235	0.0015616380946085902	-3.833419395274717	0.0028623681690206687	29.251	0.1132	0.011946896630708033	0.0012450517772399354	9.59550184908152	0.0036947348411796475																																										
1600	1509.6815	2281.3442	0.356	30.0618	0.0905	0.01875930656666368	0.0015636280276008316	11.997294903601345	0.0028712401740534845																																																
2642	6629.8037	2661.3958	0.353	33.1784	1.5925	0.0010630721841678604	0.0015588464037305208	0.6819608279711147	0.0021202049448043963																																																
4561	959.0167	3416.0405	0.089	29.082	0.0367	0.04625043910328378	0.0015632300410023832	29.58645745678404	0.0017105437375886164																																																
5418	10352.1289	3667.8315	0.019	33.6226	2.4035	0.0007061503982775638	0.001562832054403935	0.4518402321527056	0.0022261280173392017																																																
11530	4444.7925	5898.8823	0.004													29.5469	0.0419	0.05170710036875829	0.0019966636078765647	25.89675104247949	0.003929209119540344																																				
12007	1693.1869	6161.3765	0.35													99.0	99.0	-0.002793135929367272	0.001998701920948725	-1.397474981182513	0.0037586451869882267																																				
3918	9139.7461	3170.8928	0.002													29.1901	0.0302	0.07182300765118232	0.0020002281748459903	35.907407242032484	0.0030251234365713544																																				
6187	6001.5918	3922.6277	0.348													33.511	1.6169	0.0013424286229286352	0.001998701920948725	0.6716502390168434	0.0031910988162624737																																				
9746	3134.4836	5122.6318	0.348													31.6873	0.3014	0.0072007944371789805	0.001998191846499314	3.603655199471585	0.003914512204237573																																				
6914	8959.2988	4130.5142	0.347													32.6468	0.7311	0.0029755937278451283	0.0020032786979150364	1.4853618375426514	0.0031350927171671554																																				
8616	4478.8052	4759.0327	0.352													31.2238	0.1966	0.01103587750536015	0.001998191846499314	5.522931907010931	0.0035009295749106714																																				
1058	9981.1152	2046.0623	0.474													30.044	0.0665	0.0327120469562191	0.002001754428743255	16.34168831426362	0.00344997073932024																																				
2198	4135.2231	2696.2947	0.029													25.945	0.0015	1.4266290138107562	0.001995645443703227	714.8709798687621	0.0032693481972523157																																				
7920	5999.1812	4487.0498	0.347													33.7908	2.0922	0.0010374821018923402	0.001998701920948725	0.5190779530545895	0.003411968415722903																																				
917	8560.8564	2026.6274	0.089													29.2124	0.0308	0.07036520693586355	0.001998701920948725	35.20545319857563	0.0027382316695462776																																				
2771	1643.2477	2730.0549	0.352													30.3959	0.0918	0.023657292658195085	0.0019997200851220634	11.830302067877184	0.0030506335397920956																																				
3219	6453.915	2890.7271	0.368													30.8566	0.1405	0.015477012377911999	0.002001754428743255	7.731723809712665	0.002688725725830622																																				
10648	8027.6982	5383.6519	0.019													36.4662	24.6218	8.826931629156312e-05	0.002001246339019328	0.04410717190109529	0.004268316714340026																																				
5748	7635.6699	3804.1064	0.569													30.2458	0.0801	0.027163469003878383	0.002002262518467182	13.566387400925423	0.0028706271112620193																																				
1160	2237.7161	2069.5413	0.346													99.0	99.0	-0.001908407231995158	0.002001754428743255	-0.953367308493129	0.0029507354717422216																																				
6285	2109.7427	4017.5015	0.255													29.2409	0.0317	0.0685384457530525	0.002001246339019328	34.24788064153983	0.003087273739639162																																				
5589	3401.8096	3739.4102	0.289													30.1582	0.0736	0.029447352160185004	0.001995645443703227	14.755803568764659	0.0032338422177106457																																				
5443	2146.1575	3678.7227	0.354													31.5266	0.2598	0.008349801638055649	0.001997683756775387	4.179741467955718	0.0027031197347601077																																				
4254	8918.8799	3254.0166	0.35													31.9643	0.3891	0.005579484097578957	0.0019992100106726524	2.790844417441512	0.003052503712292929																																				
11308	156.6672	6030.5522	0.357																			31.2357	0.4806	0.0014251180064140812	0.0006306114093149246	2.259898862220527	0.0028838879294435325																														
8726	1474.7825	4794.0933	0.084																			29.0118	0.0619	0.011051804986958184	0.0006299687511751246	17.54341777483801	0.0020980264147393074																														
8332	10271.5293	4636.0542	0.099																			30.4226	0.2274	0.0030136727884150943	0.0006309327383848246	4.776535762163868	0.001480760002190372																														
12687	2374.8184	5587.6206	0.0																			28.8627	0.054	0.012677859648825566	0.0006306114093149246	20.104075919905053	0.002873524135066504																														
