NUMBER,X_IMAGE,Y_IMAGE,MAG_AUTO,MAGERR_AUTO,MAG_APER,MAGERR_APER,CLASS_STAR,FLUX_AUTO,FLUXERR_AUTO,FLUX_APER,FLUXERR_APER,ALPHA_J2000,DELTA_J2000,SNR,pointing
210,1415.4386,165.9381,30.5431,0.1358,30.1512,0.146,0.359,0.1040782,0.01301133,0.1493284,0.02007035,215.041824,52.9901638,7.999043910192117,nircam1
341,3598.1597,213.912,29.3977,0.0806,29.5694,0.0854,0.091,0.2989085,0.0221922,0.2551891,0.02006524,215.0217117,52.9765849,13.469079226034374,nircam1
484,6849.1846,246.4043,30.6637,0.1267,29.9421,0.1201,0.098,0.09313908,0.01086247,0.18104,0.02002941,214.9921892,52.9561431,8.57439238037021,nircam1
490,7422.2915,259.1452,28.3579,0.0474,28.7716,0.041,0.005,0.7788068,0.03397473,0.5320503,0.02008568,214.9869139,52.9525767,22.92311962449738,nircam1
495,7043.6792,257.6595,28.6244,0.0619,29.4749,0.0783,0.102,0.6093357,0.03472152,0.2783986,0.02008057,214.9903258,52.9549703,17.54922307548748,nircam1
531,6938.2891,264.6849,28.804,0.08,29.6582,0.0929,0.13,0.5164077,0.03803552,0.2351325,0.02011121,214.9911973,52.9556767,13.576985407324521,nircam1
594,6926.4268,271.4919,29.4304,0.1049,30.0815,0.1368,0.528,0.2900322,0.02801628,0.1592282,0.02005501,214.9912321,52.9557888,10.352273749405702,nircam1
1058,2257.3237,458.2407,30.1367,0.1408,30.1483,0.1455,0.073,0.1513289,0.01961532,0.1497163,0.02006012,215.0311817,52.9864076,7.714832080231166,nircam1
1221,1880.6211,526.2188,29.6312,0.0803,29.3836,0.072,0.595,0.2410652,0.01783449,0.30281,0.02007035,215.03385,52.9891635,13.516798069358865,nircam1
1496,7640.9072,631.385,29.3537,0.0981,29.5453,0.0835,0.337,0.3112762,0.02810769,0.2609169,0.02004989,214.9810335,52.9532014,11.074414154987478,nircam1
1612,211.7443,676.4327,30.5697,0.1493,30.2061,0.1536,0.355,0.1015588,0.01396229,0.1419553,0.02007546,215.0472654,53.0005554,7.273792479600409,nircam1
2247,3598.9536,966.6725,28.3499,0.0536,28.7373,0.0397,0.0,0.7846268,0.03870403,0.5491629,0.02007035,215.013777,52.98065,20.272483253035922,nircam1
2793,10231.873,1180.0938,28.9768,0.0722,29.4729,0.0783,0.081,0.440461,0.02927002,0.2789116,0.0201061,214.9520258,52.9397264,15.048196072295132,nircam1
2940,9576.0205,1247.0514,28.921,0.0673,29.281,0.0655,0.091,0.4636609,0.0287394,0.3328314,0.02007035,214.9571992,52.9442499,16.13328392381191,nircam1
3185,614.8829,1341.0951,29.0664,0.0755,29.6371,0.0911,0.371,0.4055683,0.0281988,0.2397473,0.02012141,215.0366406,53.001595,14.382466629785664,nircam1
3191,7805.8276,1347.8276,28.5619,0.0604,29.1504,0.058,0.013,0.6454442,0.03588406,0.3753423,0.02006012,214.9720098,52.9560263,17.98693347408292,nircam1
3217,3480.8584,1365.444,28.2474,0.0458,28.6701,0.0373,0.002,0.8622658,0.036381,0.5842147,0.02007546,215.0106372,52.9835548,23.70099227618812,nircam1
3339,8863.4287,1405.142,28.4332,0.0523,28.9225,0.0471,0.777,0.7266557,0.03501577,0.4630373,0.02007035,214.9619226,52.9496256,20.75224106167021,nircam1
3410,3727.4629,1429.541,28.5264,0.0686,29.5989,0.0878,0.389,0.6668859,0.0421311,0.2483474,0.02008057,215.0077477,52.9823375,15.828827160933374,nircam1
3468,4305.4331,1456.5333,30.2241,0.1566,30.1741,0.1491,0.07,0.1396305,0.0201316,0.1462062,0.02007035,215.0022741,52.9788179,6.935886864432037,nircam1
3698,8114.7603,1537.4685,30.5002,0.1507,30.1259,0.1425,0.351,0.1082713,0.01502419,0.1528375,0.02006012,214.967242,52.9550908,7.206465040711014,nircam1
3812,7571.7295,1577.4165,30.57,0.1235,29.8907,0.1149,0.47,0.1015307,0.01154919,0.1898223,0.02007546,214.9716913,52.958752,8.791153318977347,nircam1
3818,659.4434,1584.2246,29.5606,0.1094,29.4825,0.0789,0.069,0.2572611,0.02592391,0.2764419,0.02008057,215.0336787,53.0026275,9.923699781398717,nircam1
3827,8165.29,1600.0115,29.4428,0.0924,29.4459,0.0762,0.041,0.2867286,0.0243946,0.285917,0.02005501,214.9661302,52.9551081,11.753773376075033,nircam1
4100,8543.6816,1681.9484,29.7094,0.1052,29.8209,0.1077,0.185,0.2243071,0.02172494,0.2024086,0.02007546,214.9618742,52.9531498,10.32486625969968,nircam1
4143,2327.2283,1702.5598,29.3346,0.0581,29.091,0.055,0.009,0.3168002,0.01694957,0.3964681,0.02008057,215.0174471,52.992693,18.690751446791865,nircam1
4415,3240.3206,1807.0153,29.7689,0.117,29.6507,0.0921,0.082,0.2123519,0.0228752,0.2367672,0.02007546,215.0081458,52.9874675,9.28306200601525,nircam1
4467,10139.7754,1854.8657,26.4575,0.0172,27.4419,0.012,0.001,4.483391,0.07104971,1.810696,0.02006524,214.9457452,52.9439552,63.10217170485284,nircam1
4573,6037.2983,1865.8412,29.7849,0.1146,29.8153,0.1071,0.536,0.2092366,0.02207631,0.2034721,0.02006524,214.9824187,52.970045,9.477879228910991,nircam1
4770,10218.0986,1943.8937,30.0097,0.1012,29.7975,0.1057,0.341,0.1701072,0.01585487,0.2068235,0.02012141,214.9441056,52.9439389,10.729018907124434,nircam1
4785,7135.957,1951.6071,29.3845,0.0813,30.0502,0.133,0.216,0.3025652,0.02264982,0.163874,0.02007546,214.9716587,52.9635384,13.358393135133081,nircam1
4895,9239.7646,1999.9119,28.5316,0.0602,29.1242,0.0567,0.008,0.6636678,0.0368016,0.3845159,0.02006524,214.9522846,52.9504502,18.033667014477633,nircam1
5066,2327.48,2121.4468,26.2352,0.0146,28.829,0.0432,0.0,5.501968,0.07391619,0.5046917,0.02007546,215.0130317,52.9949562,74.43522183705626,nircam1
5072,1642.1718,2072.5823,27.9025,0.0511,28.6337,0.0361,0.001,1.18473,0.05571119,0.604123,0.02007035,215.019703,52.9990376,21.26556621748701,nircam1
5102,1646.7421,2080.2258,28.7908,0.0879,28.9723,0.0493,0.002,0.5227234,0.04231336,0.4422827,0.02007035,215.0195814,52.9990499,12.35362542705188,nircam1
5175,9367.4043,2105.7341,28.9818,0.0775,29.2833,0.0656,0.073,0.4384374,0.03130268,0.3321111,0.02007035,214.9500258,52.9502118,14.00638539575525,nircam1
5197,2336.4438,2121.6912,26.1678,0.0149,28.4019,0.0291,0.0,5.854261,0.08007921,0.7479224,0.02007035,215.0129486,52.9949007,73.1058785420086,nircam1
5204,2901.6453,2111.5962,29.1804,0.0732,29.4297,0.0751,0.09,0.3651153,0.024604,0.290222,0.02006524,215.0079785,52.9912618,14.839672410990081,nircam1
5212,6982.0308,2109.5117,29.8084,0.1019,29.7372,0.0997,0.389,0.2047537,0.01921901,0.2186301,0.02006524,214.9713761,52.9653681,10.653706928712769,nircam1
5218,2060.6021,2117.2651,28.329,0.0523,28.9995,0.0505,0.011,0.7998654,0.0385047,0.431323,0.02007546,215.0154731,52.9966259,20.773188727609874,nircam1
5279,10063.7529,2145.3577,28.5276,0.0529,28.8342,0.0434,0.001,0.6661628,0.03242961,0.502277,0.02008057,214.943367,52.9460065,20.54180731744847,nircam1
5285,6030.7065,2140.7498,29.9921,0.0842,29.6297,0.0904,0.691,0.1728837,0.01339982,0.241396,0.02009079,214.979582,52.9715723,12.901941966384623,nircam1
5303,7962.7256,2151.6931,28.7149,0.0523,28.8295,0.0433,0.011,0.560613,0.02699038,0.504415,0.02011121,214.9621359,52.9593736,20.77084501959587,nircam1
5312,2597.3318,2150.5488,29.5303,0.0934,29.6658,0.0933,0.365,0.2645452,0.02276279,0.233507,0.02006524,215.0103013,52.9934023,11.621826674146709,nircam1
5581,3146.0061,2272.2668,27.9931,0.04,28.9872,0.05,0.008,1.089811,0.04013558,0.4362384,0.02007035,215.0040911,52.9905807,27.153239096083826,nircam1
5600,3115.7405,2283.9895,27.4786,0.0342,28.3645,0.0281,0.0,1.750502,0.05506283,0.7741004,0.02006012,215.0042394,52.990836,31.790992217435974,nircam1
5656,1713.6851,2286.0002,29.9031,0.125,29.9831,0.1248,0.346,0.1876535,0.02160655,0.1743339,0.02003453,215.0168119,52.9997381,8.685028382596945,nircam1
5684,2332.176,2367.915,24.4774,0.0092,27.9128,0.0186,0.0,27.77506,0.2357105,1.173463,0.02006012,215.0103927,52.9962589,117.83548038801835,nircam1
5706,1745.142,2315.2722,28.5968,0.0535,28.9433,0.048,0.001,0.6249844,0.03080709,0.4542462,0.02008057,215.0162208,52.9996969,20.28703132947643,nircam1
5714,2356.6074,2361.928,24.6615,0.0076,28.2106,0.0244,0.0,23.44277,0.1643946,0.8920277,0.02006524,215.0102363,52.9960716,142.60060853580347,nircam1
5744,2213.1648,2328.2344,28.9152,0.0661,29.0178,0.0514,0.444,0.466162,0.02838014,0.424125,0.02009079,215.0118798,52.9967991,16.42564131114223,nircam1
5745,2351.2581,2343.8469,26.2716,0.014,28.6204,0.0357,0.002,5.320908,0.0685882,0.6115527,0.02008568,215.0104749,52.9960078,77.57760081180145,nircam1
5863,8988.6826,2367.2981,29.1818,0.0902,29.2587,0.0643,0.014,0.3646662,0.0303034,0.3397402,0.02011631,214.9506657,52.9540279,12.033837787178996,nircam1
5883,6632.1689,2386.4824,27.4629,0.0344,28.6008,0.035,0.0,1.776089,0.05621538,0.6226929,0.02007035,214.971597,52.9690843,31.594360831501984,nircam1
5960,10001.3408,2402.7192,27.57,0.0345,28.3148,0.0269,0.0,1.609135,0.0510501,0.8103846,0.02009079,214.9412155,52.9477924,31.520702212140623,nircam1
5984,7371.5918,2409.834,28.5281,0.0529,29.4055,0.0734,0.376,0.6658434,0.03242961,0.2967614,0.02007035,214.9647182,52.964519,20.531958293670506,nircam1
6026,7074.9604,2417.1941,30.4519,0.1391,29.9423,0.1205,0.354,0.1132034,0.01450296,0.1810078,0.02008057,214.9673013,52.9664408,7.80553762818073,nircam1
6430,7957.1733,2562.7756,29.1079,0.0531,29.0014,0.0506,0.1,0.3903408,0.01908508,0.430573,0.02006012,214.9578553,52.9616295,20.45266773835897,nircam1
6447,7847.811,2565.0288,30.1428,0.1047,29.6873,0.0952,0.629,0.1504823,0.01450296,0.2289223,0.02007035,214.9588123,52.9623356,10.375971525812663,nircam1
6530,3025.7656,2593.8176,30.7461,0.114,29.953,0.1216,0.125,0.08633309,0.009059928,0.1792298,0.02007035,215.001783,52.9930814,9.529114359407712,nircam1
6599,7365.7407,2620.5935,29.7628,0.0839,29.2673,0.0646,0.496,0.2135426,0.01648932,0.3370498,0.02006012,214.9625504,52.9656946,12.950358171228409,nircam1
6620,8616.0859,2637.6616,29.8705,0.1033,29.7762,0.1035,0.083,0.1933826,0.0184008,0.2109243,0.020101,214.9511581,52.9578526,10.509466979696535,nircam1
6676,2514.0544,2660.7886,27.1753,0.0278,28.6416,0.0363,0.0,2.314713,0.05923697,0.5997686,0.02007035,215.0056731,52.9966888,39.07547938390501,nircam1
6684,2511.512,2654.2371,29.4774,0.0836,29.6134,0.0889,0.365,0.2777371,0.0213678,0.2450552,0.02006524,215.0057649,52.9966695,12.997926787034698,nircam1
6798,7209.4209,2704.4272,28.3168,0.0367,28.6696,0.0373,0.001,0.8088714,0.02736788,0.5845029,0.02007035,214.9630692,52.9671394,29.555500827977905,nircam1
6833,7036.3306,2712.656,28.6149,0.0451,28.8476,0.0439,0.619,0.6147019,0.02552505,0.4961155,0.02007546,214.9645351,52.9682821,24.08229954495682,nircam1
6842,8149.5864,2713.2319,29.7306,0.05,29.155,0.0583,0.741,0.2199714,0.01012931,0.3737817,0.02007035,214.9545448,52.9612212,21.7163261860877,nircam1
6952,6897.9648,2764.4941,29.9964,0.1552,30.0338,0.131,0.386,0.1722004,0.024604,0.1663771,0.02007035,214.9652301,52.9694401,6.998878231181921,nircam1
6977,7536.043,2769.9639,30.3288,0.1386,30.7504,0.2537,0.645,0.1267856,0.01617521,0.08599196,0.02008568,214.9594493,52.9654209,7.838266087426377,nircam1
7227,4270.2432,2875.0542,27.8855,0.0349,28.2627,0.0256,0.0,1.203359,0.0386377,0.8502416,0.02007546,214.9876456,52.9867081,31.14468511324432,nircam1
7745,7845.3872,3064.354,29.6062,0.081,29.5335,0.0827,0.083,0.2466652,0.0184008,0.2637537,0.02007546,214.9535734,52.9650481,13.405134559366985,nircam1
7934,4450.4404,3155.3325,27.7965,0.0365,29.7332,0.0993,0.369,1.306211,0.04386119,0.2194403,0.02006012,214.9830746,52.9870797,29.780564549206257,nircam1
7960,7173.1475,3154.665,29.2759,0.0565,29.1064,0.0558,0.586,0.3343894,0.01739766,0.3908992,0.02008057,214.9586509,52.9698017,19.220366417092876,nircam1
8075,6218.1299,3207.1836,29.0838,0.0752,29.1155,0.0562,0.046,0.3991042,0.02764763,0.3876309,0.02007546,214.9666646,52.9761452,14.43538560086344,nircam1
8173,8275.5947,3247.9185,29.2681,0.0864,29.4777,0.0784,0.063,0.3367989,0.02679963,0.2776683,0.02004989,214.9477817,52.9633094,12.5672966380506,nircam1
8569,7962.1455,3382.6189,29.9164,0.0984,29.8379,0.1094,0.354,0.1853753,0.01679756,0.1992742,0.02006524,214.949173,52.9660261,11.03584687299822,nircam1
8635,3876.2224,3420.394,29.8761,0.0867,29.6004,0.0879,0.464,0.1923873,0.01536186,0.2480025,0.02006524,214.9854363,52.9921546,12.523698302158724,nircam1
8919,1856.328,3535.7969,28.3034,0.0574,28.9648,0.0489,0.001,0.8189212,0.04327242,0.4453287,0.02005501,215.0023598,53.0055901,18.92478396170124,nircam1
8957,8094.8564,3538.3447,29.9806,0.1044,29.9847,0.1253,0.438,0.1747351,0.01679756,0.174074,0.02008568,214.9463421,52.9660249,10.402409635685183,nircam1
9023,8196.1885,3566.2322,29.078,0.068,29.1734,0.0593,0.414,0.4012522,0.02511987,0.3675065,0.02007035,214.9451397,52.9655324,15.973498270492643,nircam1
9028,6109.6172,3559.6189,30.285,0.1369,29.9095,0.1168,0.357,0.1320094,0.01664415,0.1865637,0.02006524,214.9639244,52.9787376,7.931279158142651,nircam1
9084,7864.7319,3575.4304,29.2626,0.0796,29.5415,0.0832,0.08,0.3385017,0.02481164,0.2618344,0.02006524,214.9480149,52.9676856,13.6428587550037,nircam1
9095,6015.1802,3580.5859,29.5511,0.0884,29.5519,0.084,0.071,0.2595275,0.02112635,0.2593284,0.02006012,214.9645507,52.9794501,12.284540396235036,nircam1
9131,6010.4116,3599.0918,29.8183,0.097,29.7365,0.0996,0.649,0.202902,0.01811986,0.2187713,0.02005501,214.9643985,52.9795803,11.197768636181515,nircam1
9546,2339.998,3808.2952,26.5049,0.0228,27.6525,0.0146,0.0,4.291723,0.09005974,1.491387,0.02004477,214.9951431,53.0039954,47.654179325856376,nircam1
9558,8316.792,3744.3259,29.6939,0.1054,29.8268,0.1082,0.359,0.2275358,0.02207631,0.2013199,0.02006012,214.9421816,52.9657288,10.306785871370716,nircam1
9860,6202.6387,4159.7754,30.1349,0.1367,29.8352,0.1091,0.533,0.1515762,0.01908508,0.1997608,0.02007546,214.9567648,52.9813893,7.942130711529634,nircam1
9974,186.2861,3936.675,29.276,0.0658,29.1732,0.0594,0.376,0.334348,0.02025862,0.3675579,0.020101,215.0131401,53.0183482,16.503986944816575,nircam1
10037,3215.1548,3946.9487,27.9247,0.0405,28.5762,0.0342,0.001,1.160731,0.04327242,0.6369724,0.02007546,214.9858222,52.9991936,26.82380601778223,nircam1
10078,7888.9946,4418.2471,30.1691,0.0947,29.6633,0.0931,0.465,0.14688,0.01281267,0.23404,0.02006524,214.9389153,52.9720832,11.463652774948548,nircam1
10171,186.7789,3933.7991,28.6266,0.055,29.1025,0.0555,0.064,0.608117,0.03080709,0.3922878,0.02004989,215.013166,53.0183296,19.739514507861667,nircam1
10245,2506.1479,4455.7466,29.7708,0.0991,29.6467,0.0918,0.548,0.211974,0.01935202,0.2376401,0.02008057,214.9868259,53.0064407,10.953585207125663,nircam1
10721,8274.1885,4546.6367,30.2116,0.1548,29.837,0.1093,0.369,0.1412431,0.0201316,0.1994427,0.02006524,214.9341083,52.9703316,7.0159897872002235,nircam1
10837,6741.5332,4554.856,29.3686,0.0689,29.3056,0.067,0.719,0.3070279,0.01948411,0.3253585,0.02008568,214.9477664,52.9801034,15.757861149418682,nircam1
10920,6928.2188,4521.5742,27.9774,0.0464,28.7595,0.0405,0.028,1.105748,0.04729421,0.538048,0.02008057,214.9464427,52.9787389,23.380198125732512,nircam1
10988,3481.4019,4492.1675,30.2522,0.1291,30.2551,0.1605,0.145,0.1360652,0.01617521,0.1357014,0.02006012,214.9776844,53.0004508,8.411958793734364,nircam1
11172,6049.5894,4239.458,28.905,0.0801,29.2969,0.0664,0.356,0.4705318,0.03472152,0.3279682,0.02006012,214.9572981,52.9827909,13.551589907354288,nircam1
11353,7041.5312,4403.7896,28.2957,0.0505,29.1019,0.0555,0.001,0.8247327,0.03837123,0.3924936,0.02007035,214.9466678,52.9773837,21.493517408746083,nircam1
11413,1865.8871,4302.6152,29.5873,0.1023,29.607,0.0884,0.254,0.251001,0.02364711,0.2464917,0.02005501,214.994191,53.0096743,10.614447177688943,nircam1
11471,160.4866,3966.0322,28.6721,0.0624,29.5737,0.0857,0.224,0.5831208,0.03351868,0.2541602,0.02006524,215.0130625,53.0186706,17.396890331003487,nircam1
11485,6004.3569,4037.3066,28.4973,0.0496,29.0696,0.0539,0.086,0.6849712,0.03130268,0.4043579,0.02007035,214.9598346,52.981986,21.882190278915417,nircam1
11522,6299.0303,4272.8887,28.2964,0.0538,28.7889,0.0416,0.0,0.8242398,0.04083255,0.523657,0.02006524,214.9547079,52.9813886,20.18585172858418,nircam1
11665,7587.7959,3885.0039,29.2144,0.0854,29.3103,0.0671,0.011,0.3538577,0.02783257,0.3239638,0.02001916,214.9472361,52.9711151,12.713798977241412,nircam1
11785,6000.8364,4168.4551,31.1838,0.1595,29.5587,0.0846,0.69,0.05768906,0.008474787,0.2576979,0.02007546,214.9584839,52.9827168,6.8071398136613945,nircam1
11819,4457.3423,4477.4097,27.31,0.0235,28.9979,0.0504,0.783,2.044518,0.04421069,0.4319655,0.02006012,214.9690787,52.9941794,46.24487878384165,nircam1
11840,3145.584,4226.2812,28.5061,0.0543,28.9366,0.0477,0.002,0.6794958,0.03397473,0.4570334,0.02006524,214.9835025,53.0011444,20.00003532036899,nircam1
12007,4393.606,4175.3755,29.2483,0.1099,29.4985,0.08,0.065,0.3430081,0.03472152,0.2723921,0.02006524,214.9728345,52.9929519,9.878833069519997,nircam1
12075,2855.6448,4147.5918,29.3184,0.0872,29.7239,0.0985,0.58,0.3215552,0.02582477,0.2213374,0.02007546,214.9869356,53.0025584,12.451425511243661,nircam1
202,2510.1206,1787.0808,29.3546,0.0719,29.3701,0.0664,0.016,0.3110067,0.02057745,0.3066032,0.01874101,214.9425814,52.9196637,15.113957268757792,nircam2
267,2584.3999,1785.4557,30.6597,0.1124,30.2182,0.1445,0.041,0.09348522,0.009674744,0.1403891,0.01868384,214.9419333,52.9191835,9.66281071623187,nircam2
287,4431.6807,1793.489,29.9703,0.0769,30.3189,0.1591,0.462,0.1763884,0.01249004,0.1279525,0.01874101,214.9253081,52.9075014,14.122324668295697,nircam2
367,8434.2168,1881.6256,26.8869,0.0222,29.0685,0.0502,0.404,3.018758,0.06166011,0.4047519,0.01871245,214.8885722,52.8825634,48.95803786272843,nircam2
373,1741.4453,1828.3456,29.7787,0.1168,29.8974,0.1078,0.37,0.2104309,0.02264012,0.1886408,0.01871721,214.9490326,52.9247649,9.294601795396844,nircam2
547,7004.0728,1873.7416,29.9244,0.0881,30.0322,0.122,0.371,0.1840159,0.01492845,0.1666248,0.01871721,214.901445,52.8916027,12.326524187038844,nircam2
573,6817.1851,1874.0403,29.3059,0.0769,29.4687,0.0726,0.083,0.325262,0.0230305,0.279988,0.01871245,214.9031136,52.892791,14.123097631401837,nircam2
596,6176.2192,1868.6411,29.4959,0.077,29.6519,0.0859,0.355,0.2730613,0.01934949,0.236501,0.01871245,214.9089046,52.8968317,14.112067036392174,nircam2
609,7269.1562,1877.8279,29.4923,0.0785,29.5451,0.0779,0.525,0.273953,0.01980483,0.2609662,0.01871245,214.8990309,52.8899415,13.832635776222265,nircam2
702,9802.8486,1889.0127,30.758,0.1343,30.9476,0.2834,0.482,0.08538771,0.01055601,0.07170795,0.01871245,214.8762598,52.8739107,8.089013746671329,nircam2
760,7412.7749,1905.76,29.8296,0.0831,30.0255,0.1212,0.693,0.2008086,0.01536978,0.1676538,0.01871721,214.8974524,52.8891803,13.065157731600584,nircam2
783,8179.5605,1921.5076,28.2994,0.0577,28.5977,0.0325,0.008,0.8219711,0.04367689,0.6245208,0.01870768,214.8904295,52.8843958,18.819359620156103,nircam2
794,8612.3721,1914.0607,30.5574,0.1243,30.0648,0.1257,0.275,0.1027152,0.01175468,0.1616909,0.01871245,214.886638,52.881607,8.738238727043187,nircam2
1020,1817.4363,2002.7838,29.8709,0.1113,29.6895,0.0889,0.395,0.1933027,0.01980483,0.2284507,0.01870768,214.9465155,52.9252248,9.76038168466985,nircam2
1065,7981.0034,2026.5227,29.2668,0.0745,29.3584,0.0655,0.008,0.3371935,0.02312706,0.3099246,0.01868384,214.8910998,52.8862234,14.580041734660607,nircam2
1098,9858.4912,2033.4257,29.6947,0.0885,29.5924,0.0813,0.58,0.2273717,0.01852572,0.2498258,0.01869338,214.8742428,52.8743363,12.27329895950063,nircam2
1102,9382.458,2070.2539,27.3228,0.032,27.9706,0.0183,0.0,2.020596,0.05948947,1.112631,0.01872197,214.8781099,52.8775586,33.96560769494164,nircam2
1685,6033.6367,2288.5923,30.258,0.0928,29.59,0.0811,0.49,0.1353357,0.01156353,0.2503737,0.01870768,214.90576,52.9000035,11.703666613914608,nircam2
1780,7069.5972,2326.3489,30.7652,0.1147,30.1292,0.1333,0.283,0.08482606,0.008957072,0.1523853,0.01870768,214.896095,52.8936291,9.4702889515681,nircam2
1973,2760.3813,2395.7747,29.9717,0.1221,29.9761,0.1158,0.074,0.1761668,0.01980483,0.1754521,0.01871245,214.9339322,52.9213622,8.895143255458391,nircam2
2112,7253.9111,2442.1814,29.6368,0.0922,29.4629,0.0721,0.599,0.2398218,0.02035969,0.2814861,0.01869338,214.8932272,52.8930837,11.779246147657455,nircam2
2287,8831.5762,2516.1987,29.6045,0.083,29.5683,0.0795,0.361,0.2470736,0.01888316,0.2554427,0.01869338,214.8783408,52.8834633,13.084335460802112,nircam2
2361,3508.1997,2554.1626,28.5257,0.0538,28.8577,0.0413,0.028,0.6672992,0.03304554,0.4914875,0.01870768,214.9255682,52.9174704,20.193321095675845,nircam2
3104,574.9672,2827.6895,28.846,0.0748,29.4476,0.0711,0.007,0.4968218,0.03423794,0.2854875,0.01869815,214.9489628,52.937565,14.510855501236346,nircam2
3117,2464.5039,2839.0466,29.4867,0.1105,30.0637,0.1256,0.363,0.2753844,0.02800826,0.1618596,0.01871245,214.9319151,52.9256337,9.832256627152132,nircam2
3576,8618.7979,3013.373,28.7687,0.0637,29.4939,0.0742,0.37,0.5335111,0.03131419,0.2735681,0.01869338,214.8750097,52.8874968,17.037359101416964,nircam2
3660,1519.991,3033.9619,28.9223,0.0675,28.9452,0.0448,0.579,0.46313,0.02879296,0.4534365,0.01871245,214.9383233,52.9326812,16.08483462624197,nircam2
3710,8324.3828,3048.8064,30.9514,0.1157,30.3703,0.1664,0.52,0.07145826,0.007612047,0.1220313,0.01869815,214.8772689,52.889558,9.387522173733293,nircam2
3845,6060.3833,3096.7695,29.7343,0.0862,29.501,0.0747,0.374,0.2192146,0.01740942,0.2717762,0.01870291,214.8970128,52.9041952,12.591723331391858,nircam2
3858,2103.1951,3107.9148,29.5325,0.0868,29.5774,0.0801,0.055,0.2639979,0.02111202,0.2533042,0.01868861,214.9323202,52.9293788,12.504625327183284,nircam2
3977,980.1544,3155.4639,29.3421,0.0788,29.5295,0.0768,0.07,0.3145957,0.02283614,0.2647211,0.01871245,214.9418804,52.9367636,13.77622049961158,nircam2
3985,1898.468,3162.9321,30.6234,0.1087,30.1685,0.1384,0.351,0.0966624,0.009674744,0.1469585,0.01872197,214.9335747,52.9309753,9.9912101033371,nircam2
4038,2316.4231,3183.6174,27.6342,0.0298,28.0052,0.0188,0.003,1.516732,0.04158586,1.077758,0.01870291,214.9296132,52.928434,36.47230092151515,nircam2
4101,8574.2803,3200.3535,28.7897,0.0418,29.0522,0.0494,0.433,0.5232637,0.02013958,0.4108804,0.01870291,214.8734393,52.8887882,25.98185761570003,nircam2
4155,8260.7607,3221.376,30.7997,0.1476,31.5813,0.5081,0.368,0.08216906,0.01117143,0.04000392,0.01871721,214.876021,52.890893,7.355285760193637,nircam2
4180,3984.0803,3224.4395,28.1951,0.0453,29.1904,0.0561,0.021,0.9048697,0.03770728,0.3617664,0.01869815,214.9142505,52.9180677,23.997214861427288,nircam2
4186,2325.8364,3224.3196,28.5805,0.0568,29.1706,0.0551,0.004,0.6344653,0.03318015,0.368432,0.01869338,214.9291003,52.928594,19.12183338532225,nircam2
4345,7698.1694,3289.0298,30.4121,0.1562,30.3284,0.1602,0.353,0.1174263,0.01688962,0.126835,0.01870768,214.8803393,52.8948313,6.952572053130857,nircam2
4365,8523.585,3302.261,29.8607,0.0947,29.7971,0.0981,0.364,0.1951391,0.01702106,0.2069028,0.01869815,214.8728196,52.8896599,11.464568011627948,nircam2
4381,9858.6094,3297.3457,27.345,0.0265,28.2321,0.0232,0.0,1.979811,0.04832762,0.8745279,0.01870768,214.8609382,52.8811527,40.96644941339962,nircam2
4438,7437.2017,3333.4275,30.0251,0.1119,29.7922,0.0977,0.347,0.1677183,0.01728093,0.2078308,0.01869338,214.8822056,52.8967283,9.705397799771193,nircam2
4441,7281.8071,3332.1548,30.5787,0.1347,30.2556,0.1498,0.389,0.100723,0.01249004,0.1356341,0.01871245,214.8836088,52.8977084,8.064265606835525,nircam2
4503,6886.1631,3351.0066,30.5756,0.1065,30.0179,0.1203,0.258,0.1010079,0.009902416,0.1688291,0.01870768,214.8869489,52.9003228,10.200328889434658,nircam2
4524,3193.8564,3346.8821,28.4129,0.0527,28.8298,0.0403,0.0,0.740393,0.03595247,0.5043048,0.01871721,214.9200362,52.9237455,20.593661575964042,nircam2
4527,9461.6309,3359.9673,28.8048,0.0642,29.5258,0.0765,0.015,0.5160241,0.03052129,0.2656286,0.01871245,214.8638269,52.8840124,16.90702129562676,nircam2
4560,9812.9463,3371.0356,27.2603,0.0329,28.1912,0.0224,0.0,2.140381,0.06483144,0.9080821,0.01871245,214.8605705,52.8818402,33.014552815732614,nircam2
4618,6606.1011,3385.3435,29.7271,0.0986,29.6234,0.0838,0.677,0.220678,0.02002862,0.242798,0.01873149,214.8890925,52.9022867,11.018133051603156,nircam2
4702,7091.728,3418.6274,29.981,0.1058,29.7931,0.0978,0.463,0.1746714,0.01702106,0.2076603,0.01870291,214.8843983,52.8993821,10.262075334908637,nircam2
4746,7716.4053,3435.8127,29.7485,0.0867,29.7956,0.0979,0.657,0.216384,0.01728093,0.207189,0.0186743,214.8786308,52.8955073,12.521548319448085,nircam2
4750,7354.8105,3434.5376,29.6898,0.0942,29.8577,0.1037,0.06,0.2283886,0.01980483,0.1956755,0.01868861,214.8818779,52.8977971,11.531964677303467,nircam2
4756,8164.3433,3432.8328,29.2184,0.0917,29.4107,0.0688,0.023,0.3525571,0.02978217,0.295353,0.01871245,214.8746568,52.8926461,11.837858020419601,nircam2
4817,1437.6451,3448.2166,30.7628,0.1176,30.5057,0.1886,0.146,0.08501559,0.009202517,0.1077292,0.01871245,214.9346986,52.9354407,9.238297522297433,nircam2
