NUMBER,X_IMAGE,Y_IMAGE,MAG_AUTO,MAGERR_AUTO,MAG_APER,MAGERR_APER,CLASS_STAR,FLUX_AUTO,FLUXERR_AUTO,FLUX_APER,FLUXERR_APER,ALPHA_J2000,DELTA_J2000,SNR,pointing
9320,8793.0234,3531.1821,29.3532,0.0933,29.6338,0.0889,0.228,0.3114164,0.02674572,0.240494,0.01967659,214.7596327,52.8343949,11.643597555048059,nircam3
9339,7966.0342,3535.5518,29.5589,0.0868,29.5971,0.086,0.06,0.2576514,0.02059774,0.248759,0.01969162,214.766958,52.8396782,12.508721830647438,nircam3
9380,7960.3486,3542.5425,30.2433,0.0897,30.7313,0.2444,0.685,0.137183,0.01132549,0.08751361,0.01969663,214.7669351,52.839752,12.112765098905212,nircam3
9384,5970.7373,3538.4097,30.4264,0.0779,30.4277,0.1845,0.59,0.1158926,0.008310637,0.1157523,0.01966154,214.7847202,52.8523822,13.94509229557253,nircam3
9437,1421.1075,3558.2607,28.4097,0.0601,29.1316,0.056,0.081,0.742558,0.04107554,0.3819291,0.01970164,214.8251196,52.8814115,18.077863370755445,nircam3
9534,8173.7583,3588.717,28.9911,0.074,29.5717,0.0839,0.011,0.43468,0.02963332,0.2546334,0.01967157,214.7645466,52.8386434,14.668623023002485,nircam3
9547,2282.4646,3580.9763,29.1177,0.0585,29.143,0.0565,0.116,0.3868241,0.02083587,0.3779114,0.01967659,214.817188,52.8760592,18.56529628952379,nircam3
9564,1858.3666,3593.9185,29.215,0.107,29.4553,0.0754,0.01,0.3536672,0.03483677,0.2834665,0.01967157,214.8208389,52.8788246,10.15212374740827,nircam3
9582,8176.4473,3590.5132,29.8902,0.1032,29.6882,0.0934,0.519,0.1899011,0.01804439,0.2287339,0.01967157,214.7645037,52.8386359,10.524107492688863,nircam3
9586,7314.5195,3594.2219,30.0258,0.1077,29.7664,0.1004,0.371,0.1676092,0.01662127,0.2128395,0.01967157,214.7721488,52.8441376,10.084018850545116,nircam3
9641,7882.4829,3621.6851,29.2557,0.0884,30.3805,0.1772,0.08,0.3406514,0.02774167,0.1208997,0.01972166,214.766796,52.8406734,12.279412162281506,nircam3
9694,7922.5801,3633.533,30.1007,0.1164,30.0726,0.1331,0.526,0.1564273,0.01676902,0.1605412,0.01967157,214.7663138,52.8404822,9.328350732481683,nircam3
9723,4452.4443,3642.2625,30.5506,0.1044,29.61,0.087,0.38,0.1033672,0.00993311,0.2458177,0.01968661,214.7971723,52.8625951,10.406327927507096,nircam3
9777,7933.251,3661.9285,29.4122,0.0933,29.7635,0.1002,0.621,0.2949252,0.02532456,0.2133971,0.0196816,214.7659197,52.8405672,11.645817340952814,nircam3
9804,7957.564,3668.8401,30.2461,0.1169,30.2366,0.155,0.479,0.1368204,0.01473318,0.1380285,0.01970164,214.7656301,52.8404498,9.286549136031732,nircam3
9855,8250.3926,3690.3623,29.8321,0.1198,30.2322,0.1543,0.082,0.2003364,0.02209977,0.1385847,0.01968661,214.7627932,52.8387033,9.065089817676835,nircam3
9857,2076.3398,3689.5803,29.0291,0.0692,29.1911,0.0591,0.062,0.4197246,0.02674572,0.3615435,0.01966655,214.8178849,52.8779547,15.693150156361467,nircam3
9879,7813.5337,3694.0896,29.6153,0.093,29.7133,0.0958,0.463,0.2446083,0.02095392,0.2234975,0.01971666,214.7666483,52.8415018,11.673629564301095,nircam3
9916,7781.979,3706.0457,30.7742,0.125,31.5016,0.4969,0.714,0.08412679,0.009681598,0.04305144,0.01969663,214.7668037,52.8417669,8.689349630092059,nircam3
