ID_mine	X_IMAGE_mine	Y_IMAGE_mine	MAG_AUTO_mine	MAGERR_AUTO_mine	MAG_APER_mine	MAGERR_APER_mine	CLASS_STAR_mine	FLUX_AUTO_mine	FLUXERR_AUTO_mine	FLUX_APER_mine	FLUXERR_APER_mine	RA_mine	DEC_mine	ID_romeo	X_IMAGE_romeo	Y_IMAGE_romeo	MAG_AUTO_romeo	MAGERR_AUTO_romeo	MAG_APER_romeo	MAGERR_APER_romeo	CLASS_STAR_romeo	FLUX_AUTO_romeo	FLUXERR_AUTO_romeo	FLUX_APER_romeo	FLUXERR_APER_romeo	RA_romeo	DEC_romeo
5110.0	7109.1514	2103.8198	99.0	99.0	99.0	99.0	0.019	-0.02136431	0.0118194	-0.08099136	0.02403363	214.8418693	52.819012	5098.0	7109.1514	2103.8198	99.0	99.0	99.0	99.0	0.019	-0.02136431	0.0118194	-0.08099136	0.02403363	214.8418693	52.819012
5111.0	9035.6465	2106.2344	31.0864	0.2988	30.4704	0.2346	0.355	0.06310005	0.01736243	0.111291	0.02403975	214.824662	52.8067823	5099.0	9035.6465	2106.2344	31.0864	0.2988	30.4704	0.2346	0.355	0.06310005	0.01736243	0.111291	0.02403975	214.824662	52.8067823
5112.0	7473.2549	2109.8564	28.287	0.0484	29.0619	0.0641	0.052	0.8314269	0.03707998	0.4072205	0.02404586	214.8385577	52.8167309	5103.0	7473.2549	2109.8564	28.5012	0.0525	29.0835	0.0654	0.096	0.6825453	0.03298751	0.3992002	0.02404586	214.8385577	52.8167309
5113.0	9792.6074	2104.7808	29.6094	0.1064	29.5466	0.1001	0.383	0.2459553	0.02410084	0.2605965	0.02401527	214.8179288	52.8019633	5100.0	9792.6074	2104.7808	29.6094	0.1064	29.5466	0.1001	0.383	0.2459553	0.02410084	0.2605965	0.02401527	214.8179288	52.8019633
5114.0	9264.1426	2120.4312	27.8426	0.0558	28.7141	0.0465	0.0	1.251935	0.06428162	0.5610304	0.02403363	214.8224755	52.8054066	5102.0	9264.1426	2120.4312	27.8589	0.0562	28.7147	0.0466	0.0	1.233257	0.06376483	0.5606713	0.02403363	214.8224755	52.8054066
5115.0	6750.2031	2137.7935	27.1371	0.0224	27.5067	0.0153	0.009	2.397625	0.04940691	1.705757	0.02396623	214.8447145	52.821476	5101.0	6750.2031	2137.7935	27.1371	0.0224	27.5067	0.0153	0.009	2.397625	0.04940691	1.705757	0.02396623	214.8447145	52.821476
5116.0	8907.7148	2132.7273	27.1668	0.0384	27.9295	0.0226	0.0	2.332798	0.08237956	1.155583	0.0240642	214.8255242	52.8077382	5104.0	8907.7148	2132.7273	27.1668	0.0384	27.9295	0.0226	0.0	2.332798	0.08237956	1.155583	0.0240642	214.8255242	52.8077382
5117.0	8772.8516	2110.7429	31.4266	0.2632	29.9758	0.1488	0.353	0.0461287	0.01118003	0.1754985	0.02404586	214.8269578	52.8084768	5105.0	8772.8516	2110.7429	31.4266	0.2632	29.9758	0.1488	0.353	0.0461287	0.01118003	0.1754985	0.02404586	214.8269578	52.8084768
5118.0	821.2056	2207.4294	23.7353	0.0021	24.9659	0.0015	0.029	55.01649	0.1064092	17.71097	0.02402751	214.8969273	52.8595134	5107.0	821.2056	2207.4294	23.7353	0.0021	24.9659	0.0015	0.029	55.01649	0.1064092	17.71097	0.02402751	214.8969273	52.8595134
5119.0	4257.4087	2124.2415	28.6465	0.0704	29.0334	0.0624	0.004	0.5970286	0.03872877	0.4180631	0.02403363	214.8671062	52.8372403	5106.0	4257.4087	2124.2415	28.6465	0.0704	29.0334	0.0624	0.004	0.5970286	0.03872877	0.4180631	0.02403363	214.8671062	52.8372403
5120.0	3605.9971	2118.4116	28.0414	0.0349	28.2879	0.0313	0.032	1.042459	0.0335401	0.8306717	0.02396623	214.8729842	52.8413468	5108.0	3605.9971	2118.4116	28.0414	0.0349	28.2879	0.0313	0.032	1.042459	0.0335401	0.8306717	0.02396623	214.8729842	52.8413468
5121.0	2486.335	2116.6062	28.4806	0.0679	28.8703	0.0537	0.0	0.6956249	0.04346956	0.4858112	0.02402139	214.8830039	52.8484487	5109.0	2486.335	2116.6062	28.4806	0.0679	28.8703	0.0537	0.0	0.6956249	0.04346956	0.4858112	0.02402139	214.8830039	52.8484487
5122.0	7900.9868	2119.1892	29.3632	0.1121	29.309	0.0804	0.155	0.3085566	0.03185358	0.3243335	0.02399689	214.8346443	52.8140631	5110.0	7900.9868	2119.1892	29.3632	0.1121	29.309	0.0804	0.155	0.3085566	0.03185358	0.3243335	0.02399689	214.8346443	52.8140631
5123.0	4375.5942	2113.6978	99.0	99.0	99.0	99.0	0.019	-0.007542708	0.01604178	-0.002548494	0.02399689	214.8661618	52.8364327	5111.0	4375.5942	2113.6978	99.0	99.0	99.0	99.0	0.019	-0.007542708	0.01604178	-0.002548494	0.02399689	214.8661618	52.8364327
5124.0	8898.4014	2111.0369	29.4214	0.0981	29.4858	0.0947	0.554	0.2924423	0.02642898	0.2756117	0.02402751	214.8258353	52.8076804	5112.0	8898.4014	2111.0369	29.4214	0.0981	29.4858	0.0947	0.554	0.2924423	0.02642898	0.2756117	0.02402751	214.8258353	52.8076804
