ID_mine	X_IMAGE_mine	Y_IMAGE_mine	MAG_AUTO_mine	MAGERR_AUTO_mine	MAG_APER_mine	MAGERR_APER_mine	CLASS_STAR_mine	FLUX_AUTO_mine	FLUXERR_AUTO_mine	FLUX_APER_mine	FLUXERR_APER_mine	RA_mine	DEC_mine	ID_romeo	X_IMAGE_romeo	Y_IMAGE_romeo	MAG_AUTO_romeo	MAGERR_AUTO_romeo	MAG_APER_romeo	MAGERR_APER_romeo	CLASS_STAR_romeo	FLUX_AUTO_romeo	FLUXERR_AUTO_romeo	FLUX_APER_romeo	FLUXERR_APER_romeo	RA_romeo	DEC_romeo
2633.0	6932.2134	1385.0924	24.2903	0.0065	25.8507	0.0033	0.028	32.99876	0.1982591	7.84026	0.02400302	214.8510043	52.8162611	2623.0	6932.2134	1385.0924	24.2886	0.0066	25.8507	0.0033	0.028	33.0488	0.1998106	7.84026	0.02400302	214.8510043	52.8162611
2634.0	3804.4031	1318.145	26.9338	0.032	27.9662	0.0233	0.0	2.891185	0.08523091	1.117144	0.02400914	214.8796272	52.8357695	2624.0	3804.4031	1318.145	26.9294	0.0324	27.9662	0.0233	0.0	2.902916	0.08651523	1.117144	0.02400914	214.8796272	52.8357695
2641.0	10300.9473	1314.1648	24.8354	0.0051	27.7086	0.0184	0.0	19.9726	0.09353887	1.416382	0.02403363	214.8217088	52.7944713	2631.0	10300.9473	1314.1648	24.8843	0.0052	27.7086	0.0184	0.0	19.09366	0.09106955	1.416382	0.02403363	214.8217088	52.7944713
2643.0	240.2102	1559.942	20.7086	0.0002	22.3922	0.0001	0.029	893.6145	0.1635723	189.5498	0.02401527	214.90893	52.8597082	2633.0	240.2102	1559.942	20.7086	0.0002	22.3922	0.0001	0.029	893.6348	0.1636172	189.5498	0.02401527	214.90893	52.8597082
2646.0	6774.0454	1310.2512	26.4068	0.0218	27.8389	0.0208	0.0	4.69763	0.09432164	1.256113	0.02403363	214.8532023	52.8168624	2636.0	6774.0454	1310.2512	26.4182	0.022	27.8389	0.0208	0.0	4.648516	0.0943606	1.256113	0.02403363	214.8532023	52.8168624
2649.0	3434.4526	1320.5865	26.575	0.0188	27.1093	0.0106	0.012	4.02344	0.06966115	2.459784	0.02403975	214.8829055	52.8381324	2639.0	3434.4526	1320.5865	26.5925	0.0189	27.1093	0.0106	0.013	3.959072	0.0690782	2.459784	0.02403975	214.8829055	52.8381324
2652.0	7936.4834	1565.2205	21.186	0.0004	23.3486	0.0003	0.029	575.7021	0.1971807	78.55207	0.02400914	214.8401519	52.8108511	2642.0	7936.4834	1565.2205	21.1861	0.0004	23.3486	0.0003	0.029	575.6834	0.197162	78.55207	0.02400914	214.8401519	52.8108511
2653.0	4190.3887	1307.0519	28.9418	0.1813	28.386	0.0344	0.0	0.4548889	0.07592358	0.7589509	0.02402751	214.8762971	52.8332581	2644.0	4190.3887	1307.0519	28.9178	0.1735	28.3839	0.0343	0.0	0.4650499	0.07430852	0.760406	0.02402751	214.8762971	52.8332581
2666.0	10294.4199	1318.2803	24.9524	0.0073	28.4366	0.036	0.0	17.93236	0.1202599	0.7243743	0.02402139	214.8217237	52.794535	2650.0	10294.4199	1318.2803	24.8928	0.0071	28.4366	0.036	0.0	18.94502	0.123547	0.7243743	0.02402139	214.8217237	52.794535
2668.0	1515.0105	1304.0022	27.3893	0.033	28.0622	0.0255	0.0	1.900635	0.05771222	1.022656	0.02396623	214.9002275	52.8502325	2657.0	1515.0105	1304.0022	27.3625	0.0326	28.0554	0.0253	0.0	1.948135	0.05840871	1.029119	0.02396623	214.9002275	52.8502325
2676.0	2138.7136	1319.7717	26.5189	0.0135	26.8445	0.0083	0.017	4.237026	0.0526489	3.139249	0.02402751	214.8944887	52.846357	2660.0	2138.7136	1319.7717	26.5156	0.0135	26.8445	0.0083	0.017	4.249777	0.05299688	3.139249	0.02402751	214.8944887	52.846357
2677.0	3428.707	1309.3408	28.4688	0.086	28.6928	0.0457	0.0	0.7032368	0.05570252	0.5721263	0.02405198	214.883075	52.8381082	2661.0	3428.707	1309.3408	28.4113	0.0844	28.6995	0.0459	0.0	0.741473	0.05764848	0.5685785	0.02405198	214.883075	52.8381082
2683.0	2886.8223	1309.3462	27.7183	0.0614	28.3244	0.0325	0.0	1.403798	0.07937963	0.8032606	0.02403363	214.887915	52.8415498	2673.0	2886.8223	1309.3462	27.6926	0.0593	28.3203	0.0324	0.0	1.437346	0.07854158	0.8062686	0.02403363	214.887915	52.8415498
2696.0	2889.7117	1312.8578	27.4616	0.0483	28.2296	0.0298	0.0	1.778095	0.07914773	0.8765693	0.02405198	214.8878523	52.8415504	2686.0	2889.7117	1312.8578	27.472	0.0492	28.2298	0.0298	0.0	1.761272	0.07974926	0.8763424	0.02405198	214.8878523	52.8415504
2697.0	8507.2949	1707.3975	22.7697	0.0015	25.0756	0.0016	0.001	133.8788	0.1905435	16.00981	0.02399689	214.8335664	52.8079903	2688.0	8507.2949	1707.3975	22.7732	0.0015	25.0756	0.0016	0.001	133.447	0.190447	16.00981	0.02399689	214.8335664	52.8079903
2698.0	10294.4561	1332.8746	25.5808	0.0106	28.2904	0.0315	0.0	10.05289	0.0978793	0.8287724	0.02403975	214.82157	52.7946134	2696.0	10294.4561	1332.8746	25.5768	0.0105	28.2904	0.0315	0.0	10.08949	0.09757836	0.8287724	0.02403975	214.82157	52.7946134
2700.0	9925.501	1311.187	27.6098	0.0489	28.9965	0.0603	0.0	1.551266	0.06981929	0.4325193	0.02399689	214.8250867	52.7968415	2690.0	9925.501	1311.187	27.6136	0.0495	28.9901	0.0599	0.0	1.545905	0.0704483	0.4350756	0.02399689	214.8250867	52.7968415
2703.0	9900.251	1309.955	28.4285	0.068	28.8514	0.0528	0.001	0.7297831	0.04569596	0.4943873	0.02403363	214.8253248	52.7969954	2693.0	9900.251	1309.955	28.4144	0.0716	28.8735	0.0539	0.001	0.7393529	0.04873263	0.4843821	0.02403363	214.8253248	52.7969954
2707.0	4389.8643	1313.3546	27.9471	0.0521	28.7566	0.0484	0.001	1.136968	0.05456902	0.539471	0.02403363	214.8744498	52.832025	2697.0	4389.8643	1313.3546	28.0333	0.0542	28.7566	0.0484	0.001	1.050242	0.052439	0.539471	0.02403363	214.8744498	52.832025
2710.0	2132.1047	1331.9376	26.1145	0.0113	26.5794	0.0065	0.022	6.149208	0.06399503	4.007156	0.02405809	214.8944198	52.8464646	2701.0	2132.1047	1331.9376	26.1142	0.0113	26.5794	0.0065	0.022	6.150856	0.06382246	4.007156	0.02405809	214.8944198	52.8464646
2711.0	4449.8696	1309.4236	28.7969	0.0789	28.9705	0.0589	0.031	0.5197942	0.03776761	0.4429937	0.02403363	214.8739553	52.8316227	2702.0	4449.8696	1309.4236	28.7841	0.0747	28.9705	0.0589	0.05	0.5259933	0.03617667	0.4429937	0.02403363	214.8739553	52.8316227
2715.0	1376.9264	1558.4519	21.6332	0.0007	24.5736	0.001	0.029	381.3699	0.2316596	25.41916	0.02403363	214.8987858	52.8524824	2687.0	1376.9264	1558.4519	21.6331	0.0007	24.5736	0.001	0.029	381.3763	0.2315485	25.41916	0.02403363	214.8987858	52.8524824
2717.0	6704.3774	1318.7996	27.1314	0.0284	27.6997	0.0183	0.005	2.41018	0.06312746	1.42803	0.02400302	214.853734	52.8173511	2708.0	6704.3774	1318.7996	27.1262	0.0283	27.6932	0.0181	0.005	2.421765	0.06318566	1.436525	0.02400302	214.853734	52.8173511
2719.0	4372.6489	1312.469	27.2187	0.0302	28.1763	0.0283	0.0	2.224021	0.061833	0.9206098	0.02402751	214.8746128	52.8321296	2710.0	4372.6489	1312.469	27.1959	0.0295	28.1763	0.0283	0.0	2.2712	0.06177352	0.9206098	0.02402751	214.8746128	52.8321296
2730.0	3796.0103	1327.6548	27.6255	0.0484	28.9423	0.0574	0.002	1.528934	0.06816747	0.4546736	0.02402751	214.8796022	52.8358742	2729.0	3796.0103	1327.6548	27.6434	0.0489	28.9626	0.0585	0.002	1.504044	0.06768036	0.4462354	0.02402751	214.8796022	52.8358742
2733.0	2610.1333	1352.1097	24.1585	0.0022	25.0481	0.0016	0.029	37.25713	0.07376231	16.42027	0.0240642	214.889937	52.8435377	2706.0	2610.1333	1352.1097	24.1505	0.0022	25.0481	0.0016	0.029	37.53129	0.07445679	16.42027	0.0240642	214.889937	52.8435377
2737.0	6882.5737	1321.7269	26.4856	0.0066	26.4975	0.006	0.161	4.368772	0.02656772	4.321119	0.02402751	214.8521133	52.8162348	2727.0	6882.5737	1321.7269	26.5313	0.0068	26.5474	0.0063	0.157	4.188628	0.0261493	4.127037	0.02402751	214.8521133	52.8162348
2739.0	9926.9912	1315.7484	28.3966	0.0677	29.8394	0.1311	0.08	0.7515888	0.04688719	0.1990056	0.02402751	214.8250255	52.7968566	2728.0	9926.9912	1315.7484	28.4808	0.0711	29.8525	0.1327	0.08	0.6954754	0.04553477	0.1966142	0.02402751	214.8250255	52.7968566
2743.0	1070.6084	1339.8354	27.3355	0.0429	28.5476	0.0399	0.0	1.997128	0.07886855	0.6540149	0.02402751	214.9038222	52.8532477	2733.0	1070.6084	1339.8354	27.333	0.0428	28.5476	0.0399	0.0	2.001812	0.07896172	0.6540149	0.02402751	214.9038222	52.8532477
2764.0	3939.6277	1339.271	26.7702	0.0174	27.1822	0.0113	0.014	3.361447	0.05382286	2.299957	0.02402139	214.8781976	52.8350246	2755.0	3939.6277	1339.271	26.7914	0.0174	27.1893	0.0114	0.013	3.296579	0.05285797	2.284954	0.02402139	214.8781976	52.8350246
2768.0	3208.0405	1385.9526	25.8015	0.0112	26.7917	0.0079	0.004	8.204021	0.08462489	3.295553	0.02404586	214.8842404	52.839923	2749.0	3208.0405	1385.9526	25.7908	0.0113	26.7917	0.0079	0.003	8.284625	0.08613194	3.295553	0.02404586	214.8842404	52.839923
2769.0	7324.3594	1334.5215	28.1499	0.0468	28.2727	0.031	0.0	0.943329	0.04067335	0.8423914	0.02402139	214.8480374	52.8134968	2756.0	7324.3594	1334.5215	28.1563	0.0472	28.2865	0.0314	0.0	0.9377741	0.04076363	0.831783	0.02402139	214.8480374	52.8134968
2773.0	3583.9836	1335.0	27.699	0.0619	28.7201	0.0467	0.001	1.42895	0.08139187	0.5579393	0.02398463	214.8814185	52.8372604	2763.0	3583.9836	1335.0	27.6901	0.0608	28.7201	0.0467	0.001	1.440619	0.08066595	0.5579393	0.02398463	214.8814185	52.8372604
2775.0	4031.9731	1431.1169	25.7299	0.0144	26.9125	0.0088	0.001	8.763172	0.1160914	2.948539	0.02402751	214.8764073	52.8349335	2765.0	4031.9731	1431.1169	25.7332	0.0144	26.9125	0.0088	0.001	8.735922	0.1157743	2.948539	0.02402751	214.8764073	52.8349335
2788.0	3634.6135	1423.3042	23.5683	0.0016	24.5715	0.001	0.03	64.16373	0.09412655	25.46892	0.02400302	214.8800379	52.8374153	2778.0	3634.6135	1423.3042	23.5682	0.0016	24.5715	0.001	0.03	64.16726	0.0941656	25.46892	0.02400302	214.8800379	52.8374153
2795.0	3936.9355	1344.6879	27.2305	0.0212	27.7119	0.0185	0.012	2.199942	0.04304462	1.412013	0.02405809	214.8781646	52.8350709	2785.0	3936.9355	1344.6879	27.1941	0.0215	27.711	0.0185	0.01	2.274832	0.04504776	1.413276	0.02405809	214.8781646	52.8350709
