pointing	ID	f606w_FLUX	f606w_FLUXERR	f606w_SNR	f814w_FLUX	f814w_FLUXERR	f814w_SNR	f115w_FLUX	f115w_FLUXERR	f115w_SNR	f150w_FLUX	f150w_FLUXERR	f150w_SNR	f200w_FLUX	f200w_FLUXERR	f200w_SNR	f277w_FLUX	f277w_FLUXERR	f277w_SNR	f356w_FLUX	f356w_FLUXERR	f356w_SNR	f410m_FLUX	f410m_FLUXERR	f410m_SNR	f444w_FLUX	f444w_FLUXERR	f444w_SNR
nircam4	12415	7.203e-02	6.981e-02	1.03	1.237e-01	4.906e-02	2.52	3.183e-01	8.487e-02	3.75	2.313e+00	1.021e-01	22.65	1.157e+00	8.624e-02	13.42	2.271e+00	7.222e-02	31.44	2.617e+00	7.741e-02	33.80	4.080e+00	1.743e-01	23.41	3.707e+00	1.442e-01	25.70
nircam4	11659	6.034e-02	3.456e-02	1.75	3.986e-02	2.428e-02	1.64	1.079e-01	4.201e-02	2.57	7.928e-01	5.054e-02	15.68	5.397e-01	4.269e-02	12.64	7.825e-01	3.575e-02	21.89	1.530e+00	3.832e-02	39.93	3.200e+00	8.629e-02	37.09	3.841e+00	7.139e-02	53.81
nircam5	4547	-2.398e-02	2.383e-02	-1.01	-1.863e-02	1.615e-02	-1.15	2.487e-01	3.671e-02	6.77	1.325e+00	1.411e-04	9388.62	9.162e-01	1.073e-04	8542.39	6.774e-01	6.847e-05	9894.67	7.534e-01	3.295e-02	22.87	3.686e-01	9.984e-05	3692.24	3.836e-01	5.494e-05	6981.90
nircam5	9883	4.310e-02	2.996e-02	1.44	-5.973e-03	2.031e-02	-0.29	4.467e-01	4.616e-02	9.68	2.429e+00	1.774e-04	13691.48	1.815e+00	1.349e-04	13462.04	2.060e+00	8.608e-05	23927.07	2.213e+00	4.143e-02	53.42	2.257e+00	1.255e-04	17978.31	2.853e+00	6.908e-05	41301.48
nircam5	12083	2.851e-02	4.605e-02	0.62	1.269e-01	3.122e-02	4.06	7.898e-01	7.094e-02	11.13	2.634e+00	2.726e-04	9660.62	3.508e+00	2.073e-04	16927.14	2.996e+00	1.323e-04	22644.30	2.692e+00	6.368e-02	42.28	2.999e+00	1.929e-04	15544.76	4.940e+00	1.062e-04	46534.52
nircam5	12779	-1.797e-02	3.179e-02	-0.57	-4.784e-02	2.155e-02	-2.22	5.754e-01	4.898e-02	11.75	3.569e+00	1.882e-04	18961.14	3.261e+00	1.431e-04	22791.61	2.355e+00	9.135e-05	25776.04	2.726e+00	4.396e-02	62.00	2.849e+00	1.332e-04	21389.59	4.335e+00	7.330e-05	59139.55
nircam5	12888	-1.204e-04	2.546e-02	-0.00	3.588e-02	1.726e-02	2.08	2.356e+00	3.922e-02	60.07	5.076e+00	1.507e-04	33681.05	4.654e+00	1.146e-04	40625.96	4.241e+00	7.314e-05	57981.42	3.665e+00	3.520e-02	104.12	3.570e+00	1.067e-04	33474.63	5.604e+00	5.869e-05	95487.34
nircam6	3206	-6.098e-02	3.263e-02	-1.87	-3.028e-02	2.098e-02	-1.44	5.761e-01	5.098e-02	11.30	1.127e+00	6.103e-02	18.47	1.105e+00	5.265e-02	20.99	7.627e-01	4.355e-02	17.51	6.163e-01	4.589e-02	13.43	1.063e+00	9.984e-02	10.65	6.281e-01	8.124e-02	7.73
nircam7	7070	4.808e-03	1.897e-02	0.25	5.579e-02	1.157e-02	4.82	3.079e-01	2.558e-02	12.04	7.569e-01	1.162e-04	6512.72	6.390e-01	8.247e-05	7748.30	3.459e-01	6.058e-05	5708.97	4.263e-01	2.283e-02	18.68	4.302e-01	8.431e-05	5102.30	5.132e-01	5.017e-05	10228.64
nircam7	9437	-7.648e-03	3.119e-02	-0.25	5.853e-02	1.903e-02	3.08	-1.353e-01	4.206e-02	-3.22	7.493e-01	1.911e-04	3920.47	6.310e-01	1.356e-04	4652.87	9.319e-01	9.963e-05	9353.67	9.255e-01	3.754e-02	24.66	1.029e+00	1.387e-04	7419.70	1.310e+00	8.251e-05	15883.29
nircam7	9959	4.113e-02	1.778e-02	2.31	6.621e-02	1.085e-02	6.10	5.405e-01	2.397e-02	22.55	1.359e+00	1.089e-04	12472.76	8.171e-01	7.729e-05	10572.13	5.485e-01	5.678e-05	9661.20	5.198e-01	2.139e-02	24.30	5.068e-01	7.901e-05	6413.42	6.345e-01	4.702e-05	13494.88
