pointing	ID	f606w_FLUX	f606w_FLUXERR	f606w_SNR	f814w_FLUX	f814w_FLUXERR	f814w_SNR	f115w_FLUX	f115w_FLUXERR	f115w_SNR	f150w_FLUX	f150w_FLUXERR	f150w_SNR	f200w_FLUX	f200w_FLUXERR	f200w_SNR	f277w_FLUX	f277w_FLUXERR	f277w_SNR	f356w_FLUX	f356w_FLUXERR	f356w_SNR	f410m_FLUX	f410m_FLUXERR	f410m_SNR	f444w_FLUX	f444w_FLUXERR	f444w_SNR
nircam1	2858	-5.885e-02	3.093e-02	-1.32	8.370e-02	2.493e-02	1.11	7.254e-01	5.877e-02	8.86	1.738e+00	6.964e-02	12.86	1.332e+00	5.528e-02	10.74	1.299e+00	4.592e-02	18.44	1.134e+00	4.833e-02	19.52	4.838e-01	1.067e-01	2.98	1.971e+00	8.545e-02	14.24
nircam1	4010	-7.219e-02	2.474e-02	-2.03	-3.044e-02	1.994e-02	-0.51	5.341e-01	4.701e-02	8.16	3.236e+00	5.571e-02	29.93	3.226e+00	4.422e-02	32.52	1.984e+00	3.673e-02	35.21	2.185e+00	3.866e-02	47.01	1.654e+00	8.538e-02	12.73	2.740e+00	6.836e-02	24.76
nircam1	6802	-4.545e-02	2.772e-02	-1.14	3.800e-02	2.234e-02	0.56	7.104e-01	5.266e-02	9.68	1.938e+00	6.240e-02	16.00	2.136e+00	4.953e-02	19.22	1.530e+00	4.115e-02	24.24	1.557e+00	4.331e-02	29.90	1.669e+00	9.564e-02	11.47	2.198e+00	7.657e-02	17.72
nircam1	8216	-1.251e-01	4.411e-02	-1.98	7.057e-02	3.555e-02	0.66	4.311e-02	8.381e-02	0.37	2.637e+00	9.932e-02	13.68	2.561e+00	7.884e-02	14.48	3.494e+00	6.549e-02	34.78	2.927e+00	6.893e-02	35.32	2.599e+00	1.522e-01	11.22	4.127e+00	1.219e-01	20.91
nircam1	11572	-4.068e-02	2.887e-02	-0.98	1.127e-01	2.327e-02	1.61	4.655e-01	5.485e-02	6.09	1.773e+00	6.500e-02	14.06	1.513e+00	5.159e-02	13.07	9.670e-01	4.286e-02	14.71	6.524e-01	4.511e-02	12.03	1.432e+00	9.962e-02	9.45	9.138e-01	7.975e-02	7.08
nircam1	10899	1.580e-01	3.093e-02	3.56	1.735e-01	2.493e-02	2.31	1.333e-01	5.877e-02	1.63	1.155e+00	6.964e-02	8.55	1.135e+00	5.528e-02	9.15	1.026e+00	4.592e-02	14.57	9.696e-01	4.833e-02	16.69	3.426e-01	1.067e-01	2.11	1.329e+00	8.545e-02	9.60
nircam1	8272	-2.822e-02	1.936e-02	-1.01	-7.807e-03	1.560e-02	-0.17	2.947e-01	3.678e-02	5.75	4.770e-02	4.359e-02	0.56	2.305e-01	3.460e-02	2.97	3.054e-01	2.874e-02	6.93	1.080e-01	3.025e-02	2.97	1.014e+00	6.680e-02	9.98	3.993e-01	5.348e-02	4.61
nircam2	1332	-2.199e-02	3.022e-02	-0.56	6.847e-02	2.253e-02	2.05	8.303e-01	5.444e-02	5.48	1.595e+00	6.452e-02	8.34	1.210e+00	5.151e-02	8.44	1.019e+00	4.185e-02	11.67	9.005e-01	4.511e-02	10.71	1.008e+00	9.997e-02	7.39	1.356e+00	7.983e-02	12.43
nircam2	2034	1.188e-02	2.204e-02	0.42	8.556e-04	1.643e-02	0.04	6.275e-01	3.970e-02	5.68	1.576e+00	4.705e-02	11.30	1.474e+00	3.756e-02	14.10	1.752e+00	3.052e-02	27.53	2.336e+00	3.290e-02	38.11	4.566e+00	7.291e-02	45.92	6.929e+00	5.822e-02	87.08
nircam2	5726	1.749e-02	1.976e-02	0.68	1.870e-02	1.473e-02	0.86	1.808e-01	3.560e-02	1.83	9.361e-01	4.218e-02	7.48	9.046e-01	3.368e-02	9.65	5.632e-01	2.736e-02	9.87	4.939e-01	2.949e-02	8.99	4.385e-01	6.536e-02	4.92	4.504e-01	5.219e-02	6.31
