NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,CLASS_STAR,FILTER,REDSHIFT_BIN,SEX_FLUX,SEX_FLUXERR,SEX_SNR,NMAD_FLUX,NMAD_FLUXERR,NMAD_SNR,SNR_DIFF,SNR_RATIO
958,10277.0078,678.4905,215.089293,52.9129006,0.999,F606W,z7-8,-0.05283257,0.02399295,-2.202003921985417,-0.05283257,0.0031749129686233974,-16.64063567163151,14.438631749646094,
958,10277.0078,678.4905,215.089293,52.9129006,0.999,F814W,z7-8,0.02362687,0.01463953,1.6139090530911855,0.02362687,0.003567042143409935,6.6236587766843025,-5.009749723593117,0.2436582419934202
958,10277.0078,678.4905,215.089293,52.9129006,0.999,F115W,z7-8,-0.1189012,0.03235477,-3.674920266779829,-0.1189012,0.003640527205767739,-32.660434404012456,28.985514137232627,
958,10277.0078,678.4905,215.089293,52.9129006,0.999,F150W,z7-8,0.2964082,0.0001470121,2016.2163522594399,0.2964082,0.0020618766019491045,143.75651759169463,1872.4598346677453,14.025216985194447
958,10277.0078,678.4905,215.089293,52.9129006,0.999,F200W,z7-8,0.02087925,0.000104315,200.1557781718832,0.02087925,0.0022006167678923307,9.487908255828374,190.66786991605483,21.09588043802263
958,10277.0078,678.4905,215.089293,52.9129006,0.999,F277W,z7-8,0.0002912387,7.663128e-05,3.800519839940035,0.0002912387,0.0018714527521133768,0.15562172203979643,3.6448981179002384,24.42152541512261
958,10277.0078,678.4905,215.089293,52.9129006,0.999,F356W,z7-8,1.321012,0.02887285,45.75274003085944,1.321012,0.0037573147225899253,351.5840693508431,-305.83132931998364,0.13013314316355765
958,10277.0078,678.4905,215.089293,52.9129006,0.999,F410M,z7-8,-0.001219794,0.000106648,-11.43757032480684,-0.001219794,0.003376475762417805,-0.3612624777518135,-11.076307847055027,
958,10277.0078,678.4905,215.089293,52.9129006,0.999,F444W,z7-8,-0.001270574,6.346277e-05,-20.020777536183815,-0.001270574,0.0019854547299782742,-0.6399410577414189,-19.380836478442397,
998,689.4515,692.9848,215.1753255,52.9736912,1.0,F606W,z7-8,0.02639777,0.01311765,2.012385602604125,0.02639777,0.0029037338235096475,9.090974450300642,-7.078588847696517,0.22136082480548325
998,689.4515,692.9848,215.1753255,52.9736912,1.0,F814W,z7-8,0.01929987,0.008003863,2.4113193841523777,0.01929987,0.002572556090375362,7.502215431650299,-5.090896047497921,0.3214143083627696
998,689.4515,692.9848,215.1753255,52.9736912,1.0,F115W,z7-8,0.1870748,0.0176893,10.57559089393023,0.1870748,0.0011917661412018208,156.97274283304182,-146.39715193911158,0.06737214820268866
998,689.4515,692.9848,215.1753255,52.9736912,1.0,F150W,z7-8,0.3686854,8.037582e-05,4587.018832280653,0.3686854,0.001662759673314698,221.73102097492455,4365.287811305729,20.687312096034578
998,689.4515,692.9848,215.1753255,52.9736912,1.0,F200W,z7-8,0.2035943,5.703209e-05,3569.8200784856385,0.2035943,0.001818962004831494,111.92883603902473,3457.891242446614,31.8936585496252
998,689.4515,692.9848,215.1753255,52.9736912,1.0,F277W,z7-8,0.1680427,4.189658e-05,4010.893013224468,0.1680427,0.0015274291649914552,110.01668938339282,3900.876323841075,36.45713241967376
998,689.4515,692.9848,215.1753255,52.9736912,1.0,F356W,z7-8,0.1035385,0.01578564,6.559030866027605,0.1035385,0.0017114152427981893,60.498759979905884,-53.93972911387828,0.10841595543786563
998,689.4515,692.9848,215.1753255,52.9736912,1.0,F410M,z7-8,0.1900918,5.830758e-05,3260.1558836775594,0.1900918,0.003317958609360365,57.291793654003975,3202.8640900235555,56.90441293156678
998,689.4515,692.9848,215.1753255,52.9736912,1.0,F444W,z7-8,0.160705,3.469696e-05,4631.67378352455,0.160705,0.0021948964328397267,73.21757764765333,4558.456205876897,63.259041507951316
1359,10364.5273,822.081,215.0869987,52.9131234,1.0,F606W,z7-8,0.04744614,0.024889,1.90630961468922,0.04744614,0.0031449788141748925,15.08631466328266,-13.18000504859344,0.12636019181867061
1359,10364.5273,822.081,215.0869987,52.9131234,1.0,F814W,z7-8,0.02407417,0.01518626,1.5852599652580688,0.02407417,0.0035678122729314097,6.747599973980699,-5.16234000872263,0.2349368621985538
1359,10364.5273,822.081,215.0869987,52.9131234,1.0,F115W,z7-8,0.4287765,0.03356309,12.775239109390704,0.4287765,0.001458945368389475,293.8948292994171,-281.1195901900264,0.04346874403964222
1359,10364.5273,822.081,215.0869987,52.9131234,1.0,F150W,z7-8,0.5229871,0.0001525024,3429.3696361499888,0.5229871,0.0017472582237782655,299.3187228325613,3130.0509133174273,11.45725066476505
1359,10364.5273,822.081,215.0869987,52.9131234,1.0,F200W,z7-8,0.357769,0.0001082108,3306.2226690866346,0.357769,0.0016661902828901684,214.72277426766348,3091.499894818971,15.397633904288375
1359,10364.5273,822.081,215.0869987,52.9131234,1.0,F277W,z7-8,0.3928705,7.949316e-05,4942.192510651231,0.3928705,0.00131541939820628,298.66558189405026,4643.526928757181,16.547579668568716
1359,10364.5273,822.081,215.0869987,52.9131234,1.0,F356W,z7-8,0.5092595,0.02995114,17.00300890049594,0.5092595,0.0011790481340646513,431.92426609792295,-414.921257197427,0.03936571810170335
1359,10364.5273,822.081,215.0869987,52.9131234,1.0,F410M,z7-8,0.567879,0.0001106309,5133.095726420015,0.567879,0.0027107354728196503,209.49259184235493,4923.60313457766,24.502516682225767
1359,10364.5273,822.081,215.0869987,52.9131234,1.0,F444W,z7-8,0.3277527,6.583286e-05,4978.557820516989,0.3277527,0.002063785736836606,158.81139894996224,4819.746421567026,31.348869498250664
1843,3334.6228,1008.3906,215.1482085,52.9586563,1.0,F606W,z7-8,0.04696766,0.01521566,3.086797417923376,0.04696766,0.0036918460927434058,12.72199837699583,-9.635200959072453,0.24263463384062245
1843,3334.6228,1008.3906,215.1482085,52.9586563,1.0,F814W,z7-8,0.01994388,0.009283978,2.1482041426638454,0.01994388,0.0034415598811664574,5.795011764618887,-3.6468076219550416,0.3706988406442215
1843,3334.6228,1008.3906,215.1482085,52.9586563,1.0,F115W,z7-8,0.3047793,0.02051848,14.85389268600793,0.3047793,0.0022353248119407147,136.3467619434644,-121.49286925745648,0.10894202747672903
1843,3334.6228,1008.3906,215.1482085,52.9586563,1.0,F150W,z7-8,0.3853052,9.323091e-05,4132.805311028284,0.3853052,0.002589631075981164,148.78768005748267,3984.0176309708017,27.77652900718403
1843,3334.6228,1008.3906,215.1482085,52.9586563,1.0,F200W,z7-8,0.2215587,6.615365e-05,3349.1530701631727,0.2215587,0.0021841767839656553,101.43808029940303,3247.71498986377,33.016723702556924
1843,3334.6228,1008.3906,215.1482085,52.9586563,1.0,F277W,z7-8,0.2128343,4.85974e-05,4379.540880787861,0.2128343,0.0026888527297758845,79.1543165020197,4300.386564285842,55.329147851034925
1843,3334.6228,1008.3906,215.1482085,52.9586563,1.0,F356W,z7-8,0.2458645,0.01831035,13.427624267149454,0.2458645,0.0017473320324139976,140.70851757941506,-127.2808933122656,0.09542865277911113
1843,3334.6228,1008.3906,215.1482085,52.9586563,1.0,F410M,z7-8,0.9165663,6.763313e-05,13552.031378704489,0.9165663,0.00336154210246578,272.662448382745,13279.368930321743,49.70259549522224
1843,3334.6228,1008.3906,215.1482085,52.9586563,1.0,F444W,z7-8,0.5478949,4.02463e-05,13613.547083831307,0.5478949,0.0029746583137766095,184.18750733908516,13429.359576492221,73.91134871470445
2308,2381.7744,1199.5356,215.1547713,52.9657245,0.019,F606W,z7-8,-0.006583658,0.01075909,-0.6119158776439271,-0.006583658,0.0033859718232743144,-1.9443924355027409,1.3324765578588138,
2308,2381.7744,1199.5356,215.1547713,52.9657245,0.019,F814W,z7-8,0.007254987,0.006564764,1.1051405656014444,0.007254987,0.003006012761666987,2.4134917497744555,-1.308351184173011,0.4579011159680664
2308,2381.7744,1199.5356,215.1547713,52.9657245,0.019,F115W,z7-8,0.03114224,0.01450876,2.146443941453301,0.03114224,0.0014063101787734266,22.14464523549281,-19.998201294039507,0.09692835078762253
2308,2381.7744,1199.5356,215.1547713,52.9657245,0.019,F150W,z7-8,0.0094209,6.592421e-05,142.90501167932084,0.0094209,0.0023315429600158167,4.04062895754496,138.86438272177588,35.367021614909255
2308,2381.7744,1199.5356,215.1547713,52.9657245,0.019,F200W,z7-8,0.04418076,4.677769e-05,944.4835775345042,0.04418076,0.002145696292931066,20.59040701405517,923.8931705204491,45.87007808489616
2308,2381.7744,1199.5356,215.1547713,52.9657245,0.019,F277W,z7-8,-0.02098998,3.436355e-05,-610.8210589418147,-0.02098998,0.002309053187488587,-9.09029731914902,-601.7307616226657,
2308,2381.7744,1199.5356,215.1547713,52.9657245,0.019,F356W,z7-8,0.04028102,0.01294737,3.111135311650165,0.04028102,0.0022432533493589616,17.95651838055243,-14.845383068902265,0.17325938390259657
2308,2381.7744,1199.5356,215.1547713,52.9657245,0.019,F410M,z7-8,0.1922421,4.782385e-05,4019.795562256071,0.1922421,0.0037287549363222024,51.556646463233356,3968.238915792838,77.96852274173247
2308,2381.7744,1199.5356,215.1547713,52.9657245,0.019,F444W,z7-8,0.1634175,2.845843e-05,5742.3231007473005,0.1634175,0.003002579534346539,54.425702343823204,5687.897398403477,105.5075608298328
2820,4191.3369,1370.4683,215.1366981,52.9551936,0.019,F606W,z7-8,-0.01956793,0.01311765,-1.4917252709136164,-0.01956793,0.0029075943995055887,-6.729937986992738,5.238212716079121,
2820,4191.3369,1370.4683,215.1366981,52.9551936,0.019,F814W,z7-8,-0.005032989,0.008003863,-0.6288199835504431,-0.005032989,0.0026238281309153015,-1.918185471334314,1.289365487783871,
2820,4191.3369,1370.4683,215.1366981,52.9551936,0.019,F115W,z7-8,0.1343425,0.0176893,7.594562814808952,0.1343425,0.0015942905136817967,84.26475529215458,-76.67019247734562,0.09012739416945817
2820,4191.3369,1370.4683,215.1366981,52.9551936,0.019,F150W,z7-8,0.00820454,8.037582e-05,102.07721675498924,0.00820454,0.0018668287512338417,4.394907671406592,97.68230908358265,23.22624828255365
2820,4191.3369,1370.4683,215.1366981,52.9551936,0.019,F200W,z7-8,-0.03276727,5.703209e-05,-574.5409295012686,-0.03276727,0.001518607264817672,-21.577185068934938,-552.9637444323337,
