NUMBER,FILTER,SEX_SNR,NMAD_SNR,SNR_DIFF,SNR_RATIO
627,F115W,7.9176018987898145,0.0,7.9176018987898145,
627,F150W,7693.715286995494,0.0,7693.715286995494,
627,F200W,9836.206918560822,0.0,9836.206918560822,
627,F277W,-0.49452556047765184,0.0,-0.49452556047765184,
627,F356W,14.429299743398127,0.0,14.429299743398127,
627,F410M,-0.3659272382712816,0.0,-0.3659272382712816,
627,F444W,-0.5656481761013453,0.0,-0.5656481761013453,
627,F606W,1.6826443242107474,0.0,1.6826443242107474,
627,F814W,4.343798420236624,0.0,4.343798420236624,
1103,F115W,-4.0956962383073074,0.0,-4.0956962383073074,
1103,F150W,-1023.175225639703,0.0,-1023.175225639703,
1103,F200W,967.313958487572,0.0,967.313958487572,
1103,F277W,783.7307272560747,0.0,783.7307272560747,
1103,F356W,6.257244047969343,0.0,6.257244047969343,
1103,F410M,10021.530507311318,0.0,10021.530507311318,
1103,F444W,3234.4220927007814,0.0,3234.4220927007814,
1103,F606W,0.6117530808877691,0.0,0.6117530808877691,
1103,F814W,-0.6048720672364484,0.0,-0.6048720672364484,
1846,F115W,2.1238064286566294,0.0,2.1238064286566294,
1846,F150W,5276.870119721434,0.0,5276.870119721434,
1846,F200W,3351.7120110223627,0.0,3351.7120110223627,
1846,F277W,3105.6041176250587,0.0,3105.6041176250587,
1846,F356W,7.989155560661118,0.0,7.989155560661118,
1846,F410M,7985.5419071532415,0.0,7985.5419071532415,
1846,F444W,3072.405407869984,0.0,3072.405407869984,
1846,F606W,0.503433384828136,0.0,0.503433384828136,
1846,F814W,5.14030368321073,0.0,5.14030368321073,
2196,F115W,-2.8673226442310553,0.0,-2.8673226442310553,
2196,F150W,1744.8805644746149,0.0,1744.8805644746149,
2196,F200W,2282.61373979883,0.0,2282.61373979883,
2196,F277W,-984.6240793407717,0.0,-984.6240793407717,
2196,F356W,8.279788266189119,0.0,8.279788266189119,
2196,F410M,5834.901366654139,0.0,5834.901366654139,
2196,F444W,12883.82265361838,0.0,12883.82265361838,
2196,F606W,-3.1584424852927215,0.0,-3.1584424852927215,
2196,F814W,0.24943066031813482,0.0,0.24943066031813482,
2747,F115W,-0.5517928998696231,0.0,-0.5517928998696231,
2747,F150W,2905.1208829293105,0.0,2905.1208829293105,
2747,F200W,2165.1807804544283,0.0,2165.1807804544283,
2747,F277W,2855.1551910740745,0.0,2855.1551910740745,
2747,F356W,11.108342974892535,0.0,11.108342974892535,
2747,F410M,1518.7739007472849,0.0,1518.7739007472849,
2747,F444W,8199.145291105368,0.0,8199.145291105368,
2747,F606W,-0.8202764596416802,0.0,-0.8202764596416802,
2747,F814W,1.2740881204849577,0.0,1.2740881204849577,
2863,F115W,7.352414280063512,0.0,7.352414280063512,
2863,F150W,-1028.7411697227958,0.0,-1028.7411697227958,
2863,F200W,-150.8791626421701,0.0,-150.8791626421701,
2863,F277W,948.9567461420163,0.0,948.9567461420163,
2863,F356W,6.719395432278513,0.0,6.719395432278513,
2863,F410M,7908.960408299183,0.0,7908.960408299183,
2863,F444W,6834.488518171412,0.0,6834.488518171412,
2863,F606W,0.22924923102019815,0.0,0.22924923102019815,
2863,F814W,1.0654118215961301,0.0,1.0654118215961301,
3383,F115W,3.8446049731005174,0.0,3.8446049731005174,
3383,F150W,611.5148328009141,0.0,611.5148328009141,
3383,F200W,1750.952534541669,0.0,1750.952534541669,
3383,F277W,-577.2535957250268,0.0,-577.2535957250268,
3383,F356W,1.5911324872384272,0.0,1.5911324872384272,
3383,F410M,5123.4891100432105,0.0,5123.4891100432105,
3383,F444W,4499.737160960835,0.0,4499.737160960835,
3383,F606W,-0.7643046927211113,0.0,-0.7643046927211113,
3383,F814W,-0.4344631222930122,0.0,-0.4344631222930122,
4166,F115W,2.691097640428156,0.0,2.691097640428156,
4166,F150W,-205.40805628360428,0.0,-205.40805628360428,
4166,F200W,1810.400269131673,0.0,1810.400269131673,
4166,F277W,2046.0646960275296,0.0,2046.0646960275296,
4166,F356W,-1.4549861066012102,0.0,-1.4549861066012102,
4166,F410M,5296.362763296828,0.0,5296.362763296828,
4166,F444W,6293.2566442354455,0.0,6293.2566442354455,
4166,F606W,2.9030719917897123,0.0,2.9030719917897123,
4166,F814W,3.1644351209064525,0.0,3.1644351209064525,
4832,F115W,1.4068119229854108,0.0,1.4068119229854108,
4832,F150W,1426.6003486985308,0.0,1426.6003486985308,
