Brenjit_ID,pointing,times_recovered,recovery_percentage
4010,nircam1,0,0.0
6802,nircam1,0,0.0
8216,nircam1,0,0.0
2034,nircam2,0,0.0
5726,nircam2,0,0.0
1843,nircam4,0,0.0
9427,nircam4,0,0.0
11659,nircam4,0,0.0
12779,nircam5,0,0.0
3206,nircam6,0,0.0
11615,nircam7,0,0.0
1424,nircam10,0,0.0
1935,nircam10,0,0.0
9562,nircam10,0,0.0
