source_number	filter	x_image	y_image	nmad_flux_error	redshift_bin	pointing
344	F606W	7792.0762	278.7755	0	z10-15	nircam6
447	F606W	10004.9326	297.3108	0	z10-15	nircam6
746	F606W	2287.5122	464.3756	0	z10-15	nircam6
992	F606W	2196.2832	558.6949	0	z10-15	nircam6
1033	F606W	4166.0161	574.156	0	z10-15	nircam6
3172	F606W	8248.8193	1487.2688	0	z10-15	nircam6
3476	F606W	6256.1411	1609.7454	0	z10-15	nircam6
3708	F606W	7158.0962	1690.226	0	z10-15	nircam6
4097	F606W	4108.5083	1808.6418	0	z10-15	nircam6
4660	F606W	8027.0493	1980.4805	0	z10-15	nircam6
6023	F606W	7478.3091	2402.1709	0	z10-15	nircam6
6760	F606W	8256.0566	2655.9856	0	z10-15	nircam6
7973	F606W	8013.8623	3078.5071	0	z10-15	nircam6
9406	F606W	357.7897	3579.1902	0	z10-15	nircam6
9959	F606W	2031.6949	3767.6763	0	z10-15	nircam6
10050	F606W	3080.1096	3861.0544	0	z10-15	nircam6
10226	F606W	7137.9941	3877.0544	0	z10-15	nircam6
10511	F606W	8834.5166	4618.9565	0	z10-15	nircam6
10878	F606W	9328.1885	3877.54	0	z10-15	nircam6
11924	F606W	8097.4478	4044.0938	0	z10-15	nircam6
344	F814W	7792.0762	278.7755	0	z10-15	nircam6
447	F814W	10004.9326	297.3108	0	z10-15	nircam6
746	F814W	2287.5122	464.3756	0	z10-15	nircam6
992	F814W	2196.2832	558.6949	0	z10-15	nircam6
1033	F814W	4166.0161	574.156	0	z10-15	nircam6
3172	F814W	8248.8193	1487.2688	0	z10-15	nircam6
3476	F814W	6256.1411	1609.7454	0	z10-15	nircam6
3708	F814W	7158.0962	1690.226	0	z10-15	nircam6
4097	F814W	4108.5083	1808.6418	0	z10-15	nircam6
4660	F814W	8027.0493	1980.4805	0	z10-15	nircam6
6023	F814W	7478.3091	2402.1709	0	z10-15	nircam6
6760	F814W	8256.0566	2655.9856	0	z10-15	nircam6
7973	F814W	8013.8623	3078.5071	0	z10-15	nircam6
9406	F814W	357.7897	3579.1902	0	z10-15	nircam6
9959	F814W	2031.6949	3767.6763	0	z10-15	nircam6
10050	F814W	3080.1096	3861.0544	0	z10-15	nircam6
10226	F814W	7137.9941	3877.0544	0	z10-15	nircam6
10511	F814W	8834.5166	4618.9565	0	z10-15	nircam6
10878	F814W	9328.1885	3877.54	0	z10-15	nircam6
11924	F814W	8097.4478	4044.0938	0	z10-15	nircam6
344	F115W	7792.0762	278.7755	0	z10-15	nircam6
447	F115W	10004.9326	297.3108	0	z10-15	nircam6
746	F115W	2287.5122	464.3756	0	z10-15	nircam6
992	F115W	2196.2832	558.6949	0	z10-15	nircam6
1033	F115W	4166.0161	574.156	0	z10-15	nircam6
3172	F115W	8248.8193	1487.2688	0	z10-15	nircam6
3476	F115W	6256.1411	1609.7454	0	z10-15	nircam6
3708	F115W	7158.0962	1690.226	0	z10-15	nircam6
4097	F115W	4108.5083	1808.6418	0	z10-15	nircam6
4660	F115W	8027.0493	1980.4805	0	z10-15	nircam6
6023	F115W	7478.3091	2402.1709	0	z10-15	nircam6
6760	F115W	8256.0566	2655.9856	0	z10-15	nircam6
7973	F115W	8013.8623	3078.5071	0	z10-15	nircam6
9406	F115W	357.7897	3579.1902	0	z10-15	nircam6
9959	F115W	2031.6949	3767.6763	0	z10-15	nircam6
10050	F115W	3080.1096	3861.0544	0	z10-15	nircam6
10226	F115W	7137.9941	3877.0544	0	z10-15	nircam6
10511	F115W	8834.5166	4618.9565	0	z10-15	nircam6
10878	F115W	9328.1885	3877.54	0	z10-15	nircam6
11924	F115W	8097.4478	4044.0938	0	z10-15	nircam6
344	F150W	7792.0762	278.7755	0	z10-15	nircam6
447	F150W	10004.9326	297.3108	0	z10-15	nircam6
746	F150W	2287.5122	464.3756	0	z10-15	nircam6
992	F150W	2196.2832	558.6949	0	z10-15	nircam6
1033	F150W	4166.0161	574.156	0	z10-15	nircam6
3172	F150W	8248.8193	1487.2688	0	z10-15	nircam6
3476	F150W	6256.1411	1609.7454	0	z10-15	nircam6
3708	F150W	7158.0962	1690.226	0	z10-15	nircam6
4097	F150W	4108.5083	1808.6418	0	z10-15	nircam6
4660	F150W	8027.0493	1980.4805	0	z10-15	nircam6
6023	F150W	7478.3091	2402.1709	0	z10-15	nircam6
6760	F150W	8256.0566	2655.9856	0	z10-15	nircam6
7973	F150W	8013.8623	3078.5071	0	z10-15	nircam6
9406	F150W	357.7897	3579.1902	0	z10-15	nircam6
9959	F150W	2031.6949	3767.6763	0	z10-15	nircam6
10050	F150W	3080.1096	3861.0544	0	z10-15	nircam6
10226	F150W	7137.9941	3877.0544	0	z10-15	nircam6
10511	F150W	8834.5166	4618.9565	0	z10-15	nircam6
10878	F150W	9328.1885	3877.54	0	z10-15	nircam6
11924	F150W	8097.4478	4044.0938	0	z10-15	nircam6
344	F200W	7792.0762	278.7755	0	z10-15	nircam6
447	F200W	10004.9326	297.3108	0	z10-15	nircam6
746	F200W	2287.5122	464.3756	0	z10-15	nircam6
992	F200W	2196.2832	558.6949	0	z10-15	nircam6
1033	F200W	4166.0161	574.156	0	z10-15	nircam6
3172	F200W	8248.8193	1487.2688	0	z10-15	nircam6
3476	F200W	6256.1411	1609.7454	0	z10-15	nircam6
3708	F200W	7158.0962	1690.226	0	z10-15	nircam6
4097	F200W	4108.5083	1808.6418	0	z10-15	nircam6
4660	F200W	8027.0493	1980.4805	0	z10-15	nircam6
6023	F200W	7478.3091	2402.1709	0	z10-15	nircam6
6760	F200W	8256.0566	2655.9856	0	z10-15	nircam6
7973	F200W	8013.8623	3078.5071	0	z10-15	nircam6
9406	F200W	357.7897	3579.1902	0	z10-15	nircam6
9959	F200W	2031.6949	3767.6763	0	z10-15	nircam6
10050	F200W	3080.1096	3861.0544	0	z10-15	nircam6
10226	F200W	7137.9941	3877.0544	0	z10-15	nircam6
10511	F200W	8834.5166	4618.9565	0	z10-15	nircam6
10878	F200W	9328.1885	3877.54	0	z10-15	nircam6
11924	F200W	8097.4478	4044.0938	0	z10-15	nircam6
344	F277W	7792.0762	278.7755	0	z10-15	nircam6
447	F277W	10004.9326	297.3108	0	z10-15	nircam6
746	F277W	2287.5122	464.3756	0	z10-15	nircam6
992	F277W	2196.2832	558.6949	0	z10-15	nircam6
1033	F277W	4166.0161	574.156	0	z10-15	nircam6
3172	F277W	8248.8193	1487.2688	0	z10-15	nircam6
3476	F277W	6256.1411	1609.7454	0	z10-15	nircam6
3708	F277W	7158.0962	1690.226	0	z10-15	nircam6
4097	F277W	4108.5083	1808.6418	0	z10-15	nircam6
4660	F277W	8027.0493	1980.4805	0	z10-15	nircam6
6023	F277W	7478.3091	2402.1709	0	z10-15	nircam6
6760	F277W	8256.0566	2655.9856	0	z10-15	nircam6
7973	F277W	8013.8623	3078.5071	0	z10-15	nircam6
9406	F277W	357.7897	3579.1902	0	z10-15	nircam6
9959	F277W	2031.6949	3767.6763	0	z10-15	nircam6
10050	F277W	3080.1096	3861.0544	0	z10-15	nircam6
10226	F277W	7137.9941	3877.0544	0	z10-15	nircam6
10511	F277W	8834.5166	4618.9565	0	z10-15	nircam6
10878	F277W	9328.1885	3877.54	0	z10-15	nircam6
11924	F277W	8097.4478	4044.0938	0	z10-15	nircam6
344	F356W	7792.0762	278.7755	0	z10-15	nircam6
447	F356W	10004.9326	297.3108	0	z10-15	nircam6
746	F356W	2287.5122	464.3756	0	z10-15	nircam6
992	F356W	2196.2832	558.6949	0	z10-15	nircam6
1033	F356W	4166.0161	574.156	0	z10-15	nircam6
3172	F356W	8248.8193	1487.2688	0	z10-15	nircam6
3476	F356W	6256.1411	1609.7454	0	z10-15	nircam6
3708	F356W	7158.0962	1690.226	0	z10-15	nircam6
4097	F356W	4108.5083	1808.6418	0	z10-15	nircam6
4660	F356W	8027.0493	1980.4805	0	z10-15	nircam6
6023	F356W	7478.3091	2402.1709	0	z10-15	nircam6
6760	F356W	8256.0566	2655.9856	0	z10-15	nircam6
7973	F356W	8013.8623	3078.5071	0	z10-15	nircam6
