NUMBER,FILTER,SEX_SNR,NMAD_SNR,SNR_DIFF,SNR_RATIO
4547,F115W,6.77320984711771,4.548572929724243,2.2246369173934664,1.4890845880156822
4547,F150W,9388.617349122962,9.010434849606996,9379.606914273356,1041.9716146699025
4547,F200W,8542.389806456185,8.13000765988967,8534.259798796296,1050.7234634723718
4547,F277W,9894.671423302892,6.947049915181998,9887.724373387711,1424.2983056274286
4547,F356W,22.865566717712746,12.273576607158402,10.591990110554343,1.8629913227067572
4547,F410M,3692.244731820529,5.5862548229138556,3686.6584769976153,660.9517196880416
4547,F444W,6981.899482259883,6.703921008798514,6975.195561251085,1041.4650580006146
4547,F606W,-1.006216221093187,0.7963487361207469,-1.802564957213934,-1.2635371608609158
4547,F814W,-1.152978018393215,0.3907875383624796,-1.5437655567556945,-2.9503960725680987
9883,F115W,9.67847629859192,3.766334098504548,5.912142200087373,2.5697338699811136
9883,F150W,13691.476438373926,23.68249162234798,13667.793946751577,578.1265188099535
9883,F200W,13462.041574220186,23.564460329259877,13438.477113890925,571.2858001464364
9883,F277W,23927.068801905836,29.02311782724637,23898.04568407859,824.414142695708
9883,F356W,53.41635640624905,38.36016514831922,15.056191257929832,1.3924954754421732
9883,F410M,17978.313928664746,17.120048212149996,17961.193880452596,1050.1322020755551
9883,F444W,41301.48302854978,30.207543505797705,41271.27548504398,1367.257255480666
9883,F606W,1.438396448299996,-1.2414876777682768,2.6798841260682726,
9883,F814W,-0.294050231830888,0.07714148007473971,-0.3711917119056277,-3.8118303090113503
12083,F115W,11.133416535834634,8.499219672914231,2.634196862920403,1.309933966210475
12083,F150W,9660.618597537492,27.690606656640828,9632.927990880851,348.8771018030643
12083,F200W,16927.139421870717,26.32410587585808,16900.81531599486,643.0280861844827
12083,F277W,22644.299664419384,24.86266481845385,22619.43699960093,910.7752459266584
12083,F356W,42.276512267006346,32.63913652990453,9.637375737101813,1.2952705482349964
12083,F410M,15544.76366891206,13.03955279422135,15531.724116117839,1192.1239872429464
12083,F444W,46534.52327689736,29.123370347349955,46505.39990655001,1597.8412773620382
12083,F606W,0.6190662013460595,-0.8469274689329852,1.4659936702790448,
12083,F814W,4.063298397119684,3.2630493490197896,0.8002490480998947,1.2452457693722245
12779,F115W,11.746719327562957,8.601801848947416,3.1449174786155414,1.3656114769721623
12779,F150W,18961.14369073049,33.62437211417252,18927.519318616316,563.9107141197278
12779,F200W,22791.60924584683,26.827471810734192,22764.781774036095,849.5623220346639
12779,F277W,25776.04499247538,31.391103592834774,25744.653888882545,821.1257981499871
12779,F356W,61.999848052801205,39.6712457533486,22.328602299452605,1.5628409664339284
12779,F410M,21389.594332561872,17.923883272946835,21371.670449288926,1193.3571540741932
12779,F444W,59139.5534600333,34.011874718783446,59105.54158531452,1738.7913471106845
12779,F606W,-0.565141999642064,-0.07340296231491494,-0.4917390373271491,
12779,F814W,-2.219507566882669,0.6988768539238792,-2.9183844208065484,-3.1758206820287898
12888,F115W,60.06763154197212,35.92821954248077,24.13941199949135,1.6718788825855793
12888,F150W,33681.050796085794,62.901540748431565,33618.14925533736,535.4566898574042
12888,F200W,40625.95958211754,68.7915610670649,40557.16802105047,590.5660367630164
12888,F277W,57981.418179829365,71.70801384369523,57909.71016598567,808.5765463566421
12888,F356W,104.1218775462892,70.29650669536302,33.82537085092618,1.48118139067012
12888,F410M,33474.62903198585,32.53735549338503,33442.09167649247,1028.8060761050901
12888,F444W,95487.34465920406,68.76981059622227,95418.57484860784,1388.5067274629
12888,F606W,-0.004730297449467846,-1.108384041332071,1.103653743882603,
12888,F814W,2.079130941701957,1.361724987912483,0.7174059537894739,1.5268361527897445
