source_number	filter	x_image	y_image	nmad_flux_error	redshift_bin	pointing
9657	F150W	10838.999	3153.0935	0.002364365429414007	z7-8	nircam7
11711	F150W	4261.9868	3654.02	0.0015460348201100415	z7-8	nircam7
12315	F150W	3074.6379	3783.8662	0.001426957118341591	z7-8	nircam7
12905	F150W	3169.3682	3929.7971	0.001701549773020488	z7-8	nircam7
13770	F150W	4689.7471	4225.3452	0.0026601408364320405	z7-8	nircam7
13889	F150W	10283.1572	4281.4468	0.0022564999082068968	z7-8	nircam7
14498	F150W	10104.6582	4501.1499	0.0016594834511360081	z7-8	nircam7
14526	F150W	3957.8804	4510.4092	0.002168773723645517	z7-8	nircam7
958	F200W	10277.0078	678.4905	0.0022006167678923307	z7-8	nircam7
998	F200W	689.4515	692.9848	0.001818962004831494	z7-8	nircam7
1359	F200W	10364.5273	822.081	0.0016661902828901684	z7-8	nircam7
1843	F200W	3334.6228	1008.3906	0.0021841767839656553	z7-8	nircam7
2308	F200W	2381.7744	1199.5356	0.002145696292931066	z7-8	nircam7
2820	F200W	4191.3369	1370.4683	0.001518607264817672	z7-8	nircam7
4316	F200W	2933.6445	1716.5439	0.0017879632961657495	z7-8	nircam7
6714	F200W	1988.8589	2385.3889	0.0015738397474768149	z7-8	nircam7
8044	F200W	4031.7251	2714.7156	0.002043479195129369	z7-8	nircam7
8191	F200W	4029.9971	2761.7026	0.002360998829432058	z7-8	nircam7
8243	F200W	721.7584	2775.0002	0.002440152294202539	z7-8	nircam7
9004	F200W	9744.3789	2976.4863	0.002171934830156214	z7-8	nircam7
9657	F200W	10838.999	3153.0935	0.0019211804285774066	z7-8	nircam7
11711	F200W	4261.9868	3654.02	0.0015505349038775831	z7-8	nircam7
12315	F200W	3074.6379	3783.8662	0.001543503264849411	z7-8	nircam7
12905	F200W	3169.3682	3929.7971	0.0016688884272685676	z7-8	nircam7
13770	F200W	4689.7471	4225.3452	0.001993054177172439	z7-8	nircam7
13889	F200W	10283.1572	4281.4468	0.0023641022083267633	z7-8	nircam7
14498	F200W	10104.6582	4501.1499	0.0014450917649175932	z7-8	nircam7
14526	F200W	3957.8804	4510.4092	0.0015576335212320186	z7-8	nircam7
958	F277W	10277.0078	678.4905	0.0018714527521133768	z7-8	nircam7
998	F277W	689.4515	692.9848	0.0015274291649914552	z7-8	nircam7
1359	F277W	10364.5273	822.081	0.00131541939820628	z7-8	nircam7
1843	F277W	3334.6228	1008.3906	0.0026888527297758845	z7-8	nircam7
2308	F277W	2381.7744	1199.5356	0.002309053187488587	z7-8	nircam7
2820	F277W	4191.3369	1370.4683	0.0014267477997647144	z7-8	nircam7
4316	F277W	2933.6445	1716.5439	0.0021272705690645816	z7-8	nircam7
6714	F277W	1988.8589	2385.3889	0.001692114755946249	z7-8	nircam7
8044	F277W	4031.7251	2714.7156	0.0015088878415145577	z7-8	nircam7
8191	F277W	4029.9971	2761.7026	0.002051943032067697	z7-8	nircam7
8243	F277W	721.7584	2775.0002	0.001390608456384679	z7-8	nircam7
9004	F277W	9744.3789	2976.4863	0.0018924731020783137	z7-8	nircam7
9657	F277W	10838.999	3153.0935	0.0017692406393712235	z7-8	nircam7
11711	F277W	4261.9868	3654.02	0.001630295608344532	z7-8	nircam7
12315	F277W	3074.6379	3783.8662	0.001468884651977471	z7-8	nircam7
12905	F277W	3169.3682	3929.7971	0.0017345564199115354	z7-8	nircam7
13770	F277W	4689.7471	4225.3452	0.0019945737790375714	z7-8	nircam7
13889	F277W	10283.1572	4281.4468	0.001951072703621473	z7-8	nircam7
14498	F277W	10104.6582	4501.1499	0.0012936240221994725	z7-8	nircam7
14526	F277W	3957.8804	4510.4092	0.0014786367552816217	z7-8	nircam7
