source_number	x_image	y_image	class_star	mag_aper_F606W	magerr_aper_F606W	flux_aper_F606W	fluxerr_aper_F606W	snr_F606W	nmad_F606W	mag_aper_F814W	magerr_aper_F814W	flux_aper_F814W	fluxerr_aper_F814W	snr_F814W	nmad_F814W	mag_aper_F115W	magerr_aper_F115W	flux_aper_F115W	fluxerr_aper_F115W	snr_F115W	nmad_F115W	mag_aper_F150W	magerr_aper_F150W	flux_aper_F150W	fluxerr_aper_F150W	snr_F150W	nmad_F150W	mag_aper_F200W	magerr_aper_F200W	flux_aper_F200W	fluxerr_aper_F200W	snr_F200W	nmad_F200W	mag_aper_F277W	magerr_aper_F277W	flux_aper_F277W	fluxerr_aper_F277W	snr_F277W	nmad_F277W	mag_aper_F356W	magerr_aper_F356W	flux_aper_F356W	fluxerr_aper_F356W	snr_F356W	nmad_F356W	mag_aper_F444W	magerr_aper_F444W	flux_aper_F444W	fluxerr_aper_F444W	snr_F444W	nmad_F444W	mag_aper_F410M	magerr_aper_F410M	flux_aper_F410M	fluxerr_aper_F410M	snr_F410M	nmad_F410M
17298	9307.7002	5953.9248	0.023													27.9769	0.0178	0.028641815389447125	0.00046851268228643024	61.13349002564811	0.012763242279394094																																				
84	1806.6111	312.5074	0.024													99.0	99.0	-0.009430025234924585	0.00046732216997487255	-20.178852707612027	0.010241075771853125																																				
959	8580.5225	673.1873	0.001													29.5849	0.078	0.0065132623040200744	0.0004677988409547721	13.923211717939662	0.0018449933223099518																																				
10072	8402.0068	3298.5725	0.0													28.846	0.0395	0.012864251928391909	0.0004676797379396966	27.506541089557846	0.0012113161218763168																																				
8764	3145.4097	2958.8982	0.002													30.2105	0.1385	0.0036608124120602876	0.00046696434309045036	7.839597318785415	0.0013353918343994076																																				
15469	3789.5183	5249.7051	0.029													21.5758	0.0	10.410465719849205	0.0004687506293969831	22208.96371540148	0.01695085155129433																																				
3436	10883.5801	1533.8108	0.0													28.3979	0.0261	0.019436457278894398	0.00046756063492462124	41.56991805357585	0.009419615291959177																																				
4294	1372.186	1742.765	0.37													30.2635	0.1457	0.003486375689698478	0.0004676797379396966	7.4546220562328855	0.0012895268037244542																																				
15402	1859.0331	4963.4814	0.357													30.3217	0.1536	0.003304544223618077	0.00046744127298994795	7.069431850723929	0.003657266743916686																																				
8774	2124.6414	2971.1677	0.347													30.7841	0.2355	0.00215837344673366	0.0004680370469849227	4.611544023358453	0.0012703982218635888																																				
15439	6576.2178	4979.5962	1.0																			99.0	99.0	-0.00048221091019234755	1.9989824930057553e-06	-241.22818077674842	0.0022249667766788446																														
5819	4124.6216	2184.207	0.931																			32.233	0.0038	0.000564504392727964	2.000512495029671e-06	282.1798884688253	0.0020425927282319172																														
7622	10692.749	2651.6011	0.955																			27.6559	0.0001	0.03823803999198425	2.0000027515414546e-06	19118.99369264027	0.002871551267918596																														
11822	2153.3162	3767.9717	0.995																			28.3442	0.0001	0.02028512123596095	2.0010222385178874e-06	10137.379208231932	0.0018291537178102633																														
14224	9706.4121	4572.3931	0.961																			26.9678	0.0	0.07206360969926337	1.9974512050497304e-06	36077.78228428324	0.0021438930560135207																														
1211	8782.9326	732.7874	0.98																			29.3652	0.0003	0.007920701400497148	2.0010222385178874e-06	3958.327522818455	0.0021989780141429935																														
13733	6726.248	4353.2461	1.0																			31.0723	0.0013	0.0016441997392748985	2.001531982006104e-06	821.4706305251955	0.002023092363369383																														
17612	8869.3926	6063.1855	0.0																			58.6791	145645824.0	1.4901497019091314e-14	1.9984722351446954e-06	7.456444356362249e-09	0.0029544336770569264																														
9322	8667.3984	3120.5542	0.019																			37.0309	0.3196	6.799713230794763e-06	2.0010222385178874e-06	3.3981197709382576	0.0026342298384145037																														
10727	10802.6025	4202.4087	0.029																			21.2937	0.0	13.407845724047943	1.995407858927692e-06	6719350.96579862	0.006459961254845635																														
15526	3254.051	5007.4922	0.999																			32.3677	0.0044	0.0004986345779088074	2.0025506974232716e-06	248.99972747277363	0.0054811533828269515																														
3131	10847.6865	1437.9891	0.264																			28.0345	0.0001	0.026980193027275046	1.999492493680394e-06	13493.520537110682	0.0024176411007548536																														
6	3455.4326	262.6347	0.997																			99.0	99.0	-5.771348179077404e-11	2.0020414683078987e-06	-2.8827315869512323e-05	0.0028981384168443726																														
13833	1462.895	4411.187	0.967																			28.2728	0.0001	0.021664584331542527	1.9989824930057553e-06	10837.80593744307	0.0025228471147764686																														
3049	11080.4551	1438.1835	0.019																			38.6252	1.3873	1.565975974679514e-06	2.000512495029671e-06	0.7827874000138589	0.0043555359170005265																														
8408	3043.0312	2872.0869	0.957																			99.0	99.0	-0.0017465105554002598	2.000512495029671e-06	-873.0315655310897	0.0020053689335304504																														
14186	10829.1982	4518.0024	0.995																			99.0	99.0	-0.003279517802655715	1.9948968295073655e-06	-1643.9535890513112	0.0020122528992975136																														
3178	7851.1528	1475.4034	0.884																			99.0	99.0	-0.0032419814443786148	2.000512495029671e-06	-1620.5754537566788	0.0029066677753008512																														
6551	1820.5651	2398.7637	0.95																			31.79	0.0026	0.0008489026811895362	2.003059926538645e-06	423.8029376667071	0.0018526752257074647																														
8853	10248.5039	2961.2122	0.265																			34.1778	0.0231	9.412953601405356e-05	1.9984722351446954e-06	47.10074744032573	0.0024924730037554025																														
14705	6181.7661	4721.0337	0.0																									52.3271	414213.0	5.207430533329278e-12	1.9861743110885774e-06	2.6218396362579086e-06	0.002908197025092245																								
12430	8059.438	3951.928	0.584																									26.9976	0.0	0.07053865628412338	1.9831427790445107e-06	35569.1264539759	0.0020522206342856483																								
4958	9286.2051	1918.2407	1.0																									29.478	0.0003	0.007182394618216153	1.9846591918899726e-06	3618.9561651521767	0.0015152384774558831																								
16885	7284.8418	5744.1182	0.0																									50.1791	57194.2383	3.765575730808209e-11	1.9831427790445107e-06	1.8987920439205516e-05	0.0025803922345192373																								
6923	3145.2251	2494.6235	1.0																									30.1252	0.0005	0.003957027703723499	1.9831427790445107e-06	1995.331725751999	0.001763617115927265																								
11635	1444.802	3724.4009	0.999																									29.636	0.0003	0.006209295341525869	1.97807970397663e-06	3139.0521469094597	0.0015780838394628795																								
9570	8914.5459	3168.3794	1.0																									28.6304	0.0001	0.01567773471697368	1.983648336236122e-06	7903.4849224945965	0.0014859780213284074																								
7489	3188.3794	2646.8101	0.997																									30.7463	0.001	0.002233234211599263	1.983648336236122e-06	1125.8216342099822	0.0017534768737787465																								
4669	3150.0999	1779.4447	1.0																									29.0891	0.0002	0.01027590787048319	1.9846591918899726e-06	5177.6687465909645	0.0014717024034188622																								
8741	3571.7297	2964.0034	1.0																									29.2511	0.0002	0.00885138793584234	1.9826372218528996e-06	4464.451609341904	0.0016834006684193316																								
10849	3085.4561	3494.489	1.0																									29.148	0.0002	0.009733171268209578	1.985164490352212e-06	4902.954548860935	0.001938695144799637																								
5110	9042.7578	1970.7214	0.992																									99.0	99.0	-0.0023810698458223267	1.983648336236122e-06	-1200.3487726762564	0.002089745408894127																								
15948	2428.1809	5188.1499	0.046																									39.859	4.2604	5.05640243739317e-07	1.983648336236122e-06	0.25490417555500045	0.0028064363783600905																								
12188	3437.0254	3857.2993	1.0																									29.3199	0.0003	0.008307901018391824	1.9826372218528996e-06	4190.328380210459	0.002558905460629448																								
12566	7064.5132	3967.6047	1.0																									29.1763	0.0002	0.009482987727998628	1.9821314059319166e-06	4784.237664374284	0.0014733529048060773																								
10370	10089.8721	3379.3738	1.0																									30.2331	0.0006	0.003582832588532443	1.9841538934277325e-06	1805.7231348839111	0.0016588237634670429																								
6622	1671.7649	2396.845	0.978																									27.9617	0.0001	0.02902576150800727	1.9856695300850808e-06	14617.619431750856	0.0015565024009106803																								
6922	6700.3325	2497.0549	1.0																									29.3196	0.0003	0.008310198535209382	1.985164490352212e-06	4186.151110195895	0.0017639479190564391																								
1198	3691.7183	732.046	1.0																									28.5778	0.0001	0.016455951269284622	1.983648336236122e-06	8295.800706545095	0.0014100486268600278																								
16976	10472.7334	6115.748	0.0																									59.6954	366641568.0	5.878602982833019e-15	1.9846591918899726e-06	2.962021392315161e-09	0.002363723576334837																								
9106	1643.4265	3062.519	0.713																															99.0	99.0	-0.0010147396636653178	1.305525975909272e-06	-777.265012255748	0.001631762654549345																		
14650	2674.9912	4696.7925	0.999																															29.3682	0.0002	0.009227193024279995	1.3031947417529087e-06	7080.440649928213	0.0015830013577765318																		
17609	4779.2354	5632.1675	0.0																															51.2509	87090.9766	1.6291983114301355e-11	1.3065236600114993e-06	1.2469719158517162e-05	0.0022002892329401223																		
12616	9937.4082	3989.9102	1.0																															28.9274	0.0001	0.013847536897135448	1.3041942283557722e-06	10617.6952757975	0.0034097894577143025																		
13913	8999.1758	4412.9077	0.999																															30.2366	0.0003	0.004146439418045907	1.3045273905567268e-06	3178.4993155845896	0.001526149607137268																		
9978	1760.0737	3253.2605	1.0																															27.7211	0.0	0.04206222355818635	1.3065236600114993e-06	32194.000648879286	0.0017391678783818109																		
17683	3938.2805	5951.2207	0.0																															58.0172	44275904.0	3.2021964555190894e-14	1.305525975909272e-06	2.452801793766551e-08	0.002231527459717963																		
2396	2345.3474	1221.3517	1.0																															29.4431	0.0002	0.008611590990278178	1.3065236600114993e-06	6591.224678014926	0.001611473240599221																		
14633	8769.1113	4720.3706	1.0																															28.0698	0.0	0.03050750352051817	1.305525975909272e-06	23367.978947542826	0.00143260409797748																		
15105	7112.5933	4899.0649	1.0																															28.3248	0.0001	0.024122169049541804	1.3051931141250903e-06	18481.685804565106	0.00148025756231911																		
8763	4244.7554	2971.3591	0.912																															31.8053	0.0015	0.0009777003785054542	1.3071884823295448e-06	747.9413961505315	0.0016195277161686016																		
11265	5010.8335	3612.845	0.999																															30.5008	0.0004	0.0032510892852804533	1.3065236600114993e-06	2488.350869399364	0.0016249365738141258																		
11863	2178.4282	3778.9688	1.0																															28.8299	0.0001	0.015147950981239992	1.3058585372766813e-06	11599.993834577574	0.0016745108561788094																		
14600	8307.5898	4767.062	1.0																															23.3558	0.0	2.344218169280908	1.3045273905567268e-06	1796986.545664233	0.002296046653422823																		
9723	4148.1968	3188.6628	1.0																															28.3323	0.0001	0.02395518238642135	1.3058585372766813e-06	18344.39313494016	0.0014782197451781508																		
12451	8990.8203	3924.2087	0.999																															30.1963	0.0003	0.004303208906725907	1.305525975909272e-06	3296.1495873177173	0.0011917730688113643																		
6810	7436.8184	2465.1218	0.999																															29.8877	0.0002	0.0057181899312777245	1.3058585372766813e-06	4378.873950009006	0.0015161431844711506																		
392	3620.5073	469.5003	0.051																															43.6005	75.9624	1.87120234728509e-08	1.3088485854156357e-06	0.014296553231104837	0.002074316242881856																		
10862	3684.7046	3495.062	1.0																															29.3168	0.0001	0.009674195157091814	1.3075207432801813e-06	7398.884650060794	0.0018905855410053442																		
9716	3600.4968	3213.5486	0.999																															33.0995	0.0048	0.0002968462593000544	1.3071884823295448e-06	227.0875725366274	0.0018156899040476016																		
396	7753.3691	691.9716	0.029																																					24.3551	0.0007	1.0143110833801585	0.0006309951749254997	1607.4783511615856	0.004460266320009655												
14187	8114.0796	4523.7109	0.001																																					28.8855	0.0439	0.01563219085785795	0.0006321192589299316	24.729812669084847	0.0013041326655460594												
8116	3679.5979	2791.8955	0.354																																					30.1193	0.1364	0.005017751111556589	0.0006301908593751588	7.9622721226578	0.0019621635435927184												
16051	6989.5923	5223.6011	0.937																																					27.7097	0.0148	0.04616823466051362	0.0006293858912361361	73.35441627049754	0.00438489487280048												
12663	9163.7939	4011.376	0.001																																					28.3697	0.0273	0.025137826963712258	0.0006308343118154316	39.84854103983336	0.0012501868254217725												
11375	7568.2427	3645.7759	0.058																																					29.3011	0.0643	0.010660261260595225	0.0006314771116670225	16.881468961643655	0.0013291608415024383												
12455	10058.7646	3933.2832	0.371																																					29.9766	0.1197	0.005722644776222498	0.0006306734487053634	9.073863483502999	0.0010082455129173497												
17664	4600.665	5874.4331	0.125																																					26.683	0.0058	0.11886031633427951	0.0006309951749254997	188.36961209459818	0.004794539806261435												
9975	9913.75	3239.0168	0.0																																					28.0654	0.0206	0.033271516094949986	0.000631155711741227	52.715226173206624	0.001243882302381029												
14373	9162.1768	4578.6133	0.349																																					30.7705	0.2487	0.002754220512534271	0.0006308343118154316	4.365996682406356	0.0010474383700112963												
2204	924.8526	1133.6816	0.078																																					29.1084	0.0539	0.012731137239325905	0.0006313162485569544	20.166021813039652	0.0014003081811688372												
1131	5058.2417	723.0652	0.019																																					31.2815	0.3982	0.001720361135190249	0.0006308343118154316	2.7271204228561197	0.0024511031617324816												
15151	9863.2705	4918.7954	0.053																																					27.2219	0.0095	0.07234989679845452	0.0006305125855952952	114.74774405993139	0.0014044117729953788												
6586	7814.9224	2405.1611	0.356																																					30.9553	0.2949	0.002323165784238567	0.0006308343118154316	3.6826877370587208	0.0012740080840210086												
17346	7583.3018	5923.2983	0.702																																					28.1262	0.0218	0.03145860515919863	0.000632760427309818	49.71645476147258	0.00437987348327224												
7486	6320.3242	2646.1953	0.811																																					27.5904	0.0133	0.05153173051864089	0.0006301908593751588	81.77162482130441	0.005948108629038025												
16478	10145.627	5404.4985	0.001																																					28.0675	0.0206	0.03320668140941135	0.0006305125855952952	52.66616744542765	0.004283417841196789	44.5179	126.2087	9.345849974681815e-09	1.0861213290966814e-06	0.008604793704267538	0.002074655089375877						
16491	10644.4434	5415.606	0.78																																					28.4988	0.0307	0.02231996208739499	0.000631155711741227	35.363637961571904	0.004827671198071679												
12561	7287.73	3962.0806	0.352																																					30.9834	0.3032	0.0022638934383294083	0.0006319587221142043	3.5823438447935354	0.0011483089032959417												
8663	2254.1687	2940.0076	0.199																																					29.583	0.0833	0.008222832745174088	0.0006309951749254997	13.031530306305338	0.0012511471463866083												
14309	2875.3445	4567.7715	0.999																																																	31.9882	0.0026	0.0009404325305180907	2.276468923622408e-06	413.1101992034387	0.00347128264885563
10393	2220.3474	3385.6843	0.995																																																	30.9821	0.001	0.0023755399354562262	2.2776282128628626e-06	1042.9884570451002	0.002812036622804995
6852	3875.8132	2463.3296	1.0																																																	28.617	0.0001	0.02098001987612681	2.276468923622408e-06	9216.036141948543	0.002852465643534436
6286	9870.5781	2321.9548	1.0																																																	25.5404	0.0	0.3568148653363635	2.27820785748309e-06	156620.85624204812	0.0032240794406025023
13240	8480.7861	4202.8457	1.0																																																	28.0871	0.0001	0.03418008043715362	2.2770485682426355e-06	15010.69450772975	0.003011752220820012
11838	9514.2051	3777.5942	0.999																																																	27.8094	0.0001	0.044141801584395436	2.2718252691692716e-06	19430.104147286194	0.003301900127519078
7361	3750.7786	2622.4189	0.992																																																	99.0	99.0	-0.006150159370437725	2.276468923622408e-06	-2701.622370777347	0.0029344330514956647
1601	1552.5994	892.8908	0.999																																																	30.0833	0.0005	0.005436115852159998	2.272406281682408e-06	2392.2288439263125	0.0024160343020321424
4597	2765.9805	1822.3171	0.999																																																	99.0	99.0	-0.004478775481339089	2.2747286218688173e-06	-1968.9273868895725	0.0037746346592007793
17404	4518.0581	5658.3789	0.019																																																	99.0	99.0	-5.489730414731815e-11	2.276468923622408e-06	-2.4115112478655484e-05	0.0037908936229183307
4477	8848.54	1752.7419	0.999																																																	27.3	0.0	0.07056357645119997	2.278786818156863e-06	30965.413652986404	0.0028151473846951837
14072	6983.5312	4522.8384	0.999																																																	28.0045	0.0001	0.03688143639081362	2.2753089504354996e-06	16209.419113722743	0.003189032025170315
1714	1253.4313	940.5005	0.987																																																	29.362	0.0002	0.010563689779745452	2.275888937028954e-06	4641.566470082569	0.0022851954911785434
14390	7564.6514	4613.6323	1.0																																																	28.547	0.0001	0.02237729170517272	2.2770485682426355e-06	9827.322972931977	0.0035015719502537136
7991	1414.051	2765.0344	0.019																																																	99.0	99.0	-0.005248926547015452	2.2770485682426355e-06	-2305.144747556453	0.0029828460974672955
5018	2227.2991	1942.3058	0.991																																																	29.7972	0.0004	0.0070748891743059065	2.2822598982530445e-06	3099.9489496009546	0.0029914033046514565
9853	9336.7344	3245.9204	0.999																																																	28.9857	0.0002	0.014938734522055904	2.2799450814776354e-06	6552.234368897206	0.0024266731130475963
5322	416.0656	2036.4399	0.0																																																	99.0	99.0	-2.695849500754454e-12	2.2753089504354996e-06	-1.1848278890822549e-06	0.003409339143695422
13160	481.0138	4156.7236	0.0																																																	99.0	99.0	-2.22198540708009e-09	2.2770485682426355e-06	-0.000975818187661653	0.006869479668063049
11422	10526.4004	3654.7258	1.0																																																	29.0934	0.0002	0.013527667493021815	2.272406281682408e-06	5953.014477237941	0.0028269975181975096
13719	10936.7354	4353.6851	0.019																																											99.0	99.0	-9.223992078065224e-05	1.0883357206371359e-06	-84.75318693633702	0.0032524362049025945						
1058	705.5971	711.7706	1.0																																											27.6404	0.0	0.05267391319481134	1.0861213290966814e-06	48497.264332908206	0.0020768085467893645						
16091	1993.9456	5238.9922	0.051																																											43.0161	31.6729	3.726943208174771e-08	1.0869525991071361e-06	0.034288001254481774	0.0025101913576818804						
4662	6842.8232	1798.834	1.0																																											28.9506	0.0001	0.015759353074711588	1.087229223413136e-06	14494.968250796543	0.002052997908315811						
3146	10751.2773	1457.6282	1.0																																											29.3216	0.0001	0.011198069745413406	1.0869525991071361e-06	10302.261344801902	0.0015743871762148092						
7077	3762.7222	2532.7737	0.999																																											28.6812	0.0001	0.020197210271112945	1.0869525991071361e-06	18581.500506741228	0.0023184367565980734						
12038	2291.0503	3806.8555	0.999																																											28.7409	0.0001	0.019116601170295674	1.087505847719136e-06	17578.38931201114	0.002232610499472657						
15139	2622.9805	4915.5083	1.0																																											28.0824	0.0	0.03505863805436362	1.0858443555175677e-06	32286.98282237045	0.0017986397488667046						
15448	8535.8896	4988.3647	0.999																																											30.0512	0.0002	0.005718798877007043	1.0866756255280224e-06	5262.654965899546	0.0016549921239278438						
13519	2767.6133	4274.752	0.998																																											30.2145	0.0002	0.004919920455111135	1.087229223413136e-06	4525.19151358537	0.0020656256283313073						
9880	1226.7446	3246.8271	0.999																																											29.7818	0.0002	0.007328916496290452	1.0869525991071361e-06	6742.627509525899	0.0019731247565656865						
4102	703.2607	1698.1597	0.893																																											33.9778	0.0077	0.00015369770351030448	1.0869525991071361e-06	141.40239752548325	0.0023416975924026515						
2200	931.7167	1134.3467	0.909																																											30.1271	0.0002	0.005332666971688635	1.087505847719136e-06	4903.575445477396	0.0014963544365530837						
4360	2934.3289	1758.2032	0.999																																											30.1301	0.0002	0.0053177425315429514	1.0861213290966814e-06	4896.085169384967	0.0031480120860127173						
1106	8778.6914	720.0162	0.019																																											31.1579	0.0006	0.0020636120836632944	1.0858443555175677e-06	1900.4676620340065	0.0017991564173599059						
3494	571.4197	1464.0076	0.047																																											41.207	5.982	1.9723079004813856e-07	1.0863986519489085e-06	0.18154550329597977	0.0022807263486823476						
