source_number	filter	x_image	y_image	nmad_flux_error	redshift_bin	pointing
867	F606W	5015.4473	639.2018	0	z10-15	nircam9
1469	F606W	7970.2231	853.5859	0	z10-15	nircam9
2485	F606W	8434.9199	1253.6106	0	z10-15	nircam9
3031	F606W	4143.6328	1423.4919	0	z10-15	nircam9
4354	F606W	3124.7615	1750.2664	0	z10-15	nircam9
4657	F606W	1643.9686	1840.4806	0	z10-15	nircam9
5919	F606W	2277.1919	2213.7737	0	z10-15	nircam9
6410	F606W	745.878	2359.9185	0	z10-15	nircam9
6682	F606W	1960.8085	2432.3796	0	z10-15	nircam9
6816	F606W	9735.1689	2465.6804	0	z10-15	nircam9
6935	F606W	3831.803	2506.7451	0	z10-15	nircam9
7288	F606W	9175.6592	2595.5728	0	z10-15	nircam9
8858	F606W	1531.6039	2991.2258	0	z10-15	nircam9
9972	F606W	3878.3987	3267.105	0	z10-15	nircam9
10182	F606W	4473.4502	3334.7383	0	z10-15	nircam9
12539	F606W	3277.8696	3952.1301	0	z10-15	nircam9
12592	F606W	8389.3945	3979.0142	0	z10-15	nircam9
12845	F606W	1192.1021	4050.7585	0	z10-15	nircam9
13859	F606W	8364.2686	4397.7778	0	z10-15	nircam9
14820	F606W	1156.7213	4766.2383	0	z10-15	nircam9
867	F814W	5015.4473	639.2018	0	z10-15	nircam9
1469	F814W	7970.2231	853.5859	0	z10-15	nircam9
2485	F814W	8434.9199	1253.6106	0	z10-15	nircam9
3031	F814W	4143.6328	1423.4919	0	z10-15	nircam9
4354	F814W	3124.7615	1750.2664	0	z10-15	nircam9
4657	F814W	1643.9686	1840.4806	0	z10-15	nircam9
5919	F814W	2277.1919	2213.7737	0	z10-15	nircam9
6410	F814W	745.878	2359.9185	0	z10-15	nircam9
6682	F814W	1960.8085	2432.3796	0	z10-15	nircam9
6816	F814W	9735.1689	2465.6804	0	z10-15	nircam9
6935	F814W	3831.803	2506.7451	0	z10-15	nircam9
7288	F814W	9175.6592	2595.5728	0	z10-15	nircam9
8858	F814W	1531.6039	2991.2258	0	z10-15	nircam9
9972	F814W	3878.3987	3267.105	0	z10-15	nircam9
10182	F814W	4473.4502	3334.7383	0	z10-15	nircam9
12539	F814W	3277.8696	3952.1301	0	z10-15	nircam9
12592	F814W	8389.3945	3979.0142	0	z10-15	nircam9
12845	F814W	1192.1021	4050.7585	0	z10-15	nircam9
13859	F814W	8364.2686	4397.7778	0	z10-15	nircam9
14820	F814W	1156.7213	4766.2383	0	z10-15	nircam9
867	F115W	5015.4473	639.2018	0	z10-15	nircam9
1469	F115W	7970.2231	853.5859	0	z10-15	nircam9
2485	F115W	8434.9199	1253.6106	0	z10-15	nircam9
3031	F115W	4143.6328	1423.4919	0	z10-15	nircam9
4354	F115W	3124.7615	1750.2664	0	z10-15	nircam9
4657	F115W	1643.9686	1840.4806	0	z10-15	nircam9
5919	F115W	2277.1919	2213.7737	0	z10-15	nircam9
6410	F115W	745.878	2359.9185	0	z10-15	nircam9
6682	F115W	1960.8085	2432.3796	0	z10-15	nircam9
6816	F115W	9735.1689	2465.6804	0	z10-15	nircam9
6935	F115W	3831.803	2506.7451	0	z10-15	nircam9
7288	F115W	9175.6592	2595.5728	0	z10-15	nircam9
8858	F115W	1531.6039	2991.2258	0	z10-15	nircam9
9972	F115W	3878.3987	3267.105	0	z10-15	nircam9
10182	F115W	4473.4502	3334.7383	0	z10-15	nircam9
12539	F115W	3277.8696	3952.1301	0	z10-15	nircam9
12592	F115W	8389.3945	3979.0142	0	z10-15	nircam9
12845	F115W	1192.1021	4050.7585	0	z10-15	nircam9
13859	F115W	8364.2686	4397.7778	0	z10-15	nircam9
14820	F115W	1156.7213	4766.2383	0	z10-15	nircam9
867	F150W	5015.4473	639.2018	0	z10-15	nircam9
1469	F150W	7970.2231	853.5859	0	z10-15	nircam9
2485	F150W	8434.9199	1253.6106	0	z10-15	nircam9
3031	F150W	4143.6328	1423.4919	0	z10-15	nircam9
4354	F150W	3124.7615	1750.2664	0	z10-15	nircam9
4657	F150W	1643.9686	1840.4806	0	z10-15	nircam9
5919	F150W	2277.1919	2213.7737	0	z10-15	nircam9
6410	F150W	745.878	2359.9185	0	z10-15	nircam9
6682	F150W	1960.8085	2432.3796	0	z10-15	nircam9
6816	F150W	9735.1689	2465.6804	0	z10-15	nircam9
6935	F150W	3831.803	2506.7451	0	z10-15	nircam9
7288	F150W	9175.6592	2595.5728	0	z10-15	nircam9
8858	F150W	1531.6039	2991.2258	0	z10-15	nircam9
9972	F150W	3878.3987	3267.105	0	z10-15	nircam9
10182	F150W	4473.4502	3334.7383	0	z10-15	nircam9
12539	F150W	3277.8696	3952.1301	0	z10-15	nircam9
12592	F150W	8389.3945	3979.0142	0	z10-15	nircam9
12845	F150W	1192.1021	4050.7585	0	z10-15	nircam9
13859	F150W	8364.2686	4397.7778	0	z10-15	nircam9
14820	F150W	1156.7213	4766.2383	0	z10-15	nircam9
867	F200W	5015.4473	639.2018	0	z10-15	nircam9
1469	F200W	7970.2231	853.5859	0	z10-15	nircam9
2485	F200W	8434.9199	1253.6106	0	z10-15	nircam9
3031	F200W	4143.6328	1423.4919	0	z10-15	nircam9
4354	F200W	3124.7615	1750.2664	0	z10-15	nircam9
4657	F200W	1643.9686	1840.4806	0	z10-15	nircam9
5919	F200W	2277.1919	2213.7737	0	z10-15	nircam9
6410	F200W	745.878	2359.9185	0	z10-15	nircam9
6682	F200W	1960.8085	2432.3796	0	z10-15	nircam9
6816	F200W	9735.1689	2465.6804	0	z10-15	nircam9
6935	F200W	3831.803	2506.7451	0	z10-15	nircam9
7288	F200W	9175.6592	2595.5728	0	z10-15	nircam9
8858	F200W	1531.6039	2991.2258	0	z10-15	nircam9
9972	F200W	3878.3987	3267.105	0	z10-15	nircam9
10182	F200W	4473.4502	3334.7383	0	z10-15	nircam9
12539	F200W	3277.8696	3952.1301	0	z10-15	nircam9
12592	F200W	8389.3945	3979.0142	0	z10-15	nircam9
12845	F200W	1192.1021	4050.7585	0	z10-15	nircam9
13859	F200W	8364.2686	4397.7778	0	z10-15	nircam9
14820	F200W	1156.7213	4766.2383	0	z10-15	nircam9
867	F277W	5015.4473	639.2018	0	z10-15	nircam9
1469	F277W	7970.2231	853.5859	0	z10-15	nircam9
2485	F277W	8434.9199	1253.6106	0	z10-15	nircam9
3031	F277W	4143.6328	1423.4919	0	z10-15	nircam9
4354	F277W	3124.7615	1750.2664	0	z10-15	nircam9
4657	F277W	1643.9686	1840.4806	0	z10-15	nircam9
5919	F277W	2277.1919	2213.7737	0	z10-15	nircam9
6410	F277W	745.878	2359.9185	0	z10-15	nircam9
6682	F277W	1960.8085	2432.3796	0	z10-15	nircam9
6816	F277W	9735.1689	2465.6804	0	z10-15	nircam9
6935	F277W	3831.803	2506.7451	0	z10-15	nircam9
7288	F277W	9175.6592	2595.5728	0	z10-15	nircam9
8858	F277W	1531.6039	2991.2258	0	z10-15	nircam9
9972	F277W	3878.3987	3267.105	0	z10-15	nircam9
10182	F277W	4473.4502	3334.7383	0	z10-15	nircam9
12539	F277W	3277.8696	3952.1301	0	z10-15	nircam9
12592	F277W	8389.3945	3979.0142	0	z10-15	nircam9
12845	F277W	1192.1021	4050.7585	0	z10-15	nircam9
13859	F277W	8364.2686	4397.7778	0	z10-15	nircam9
14820	F277W	1156.7213	4766.2383	0	z10-15	nircam9
867	F356W	5015.4473	639.2018	0	z10-15	nircam9
1469	F356W	7970.2231	853.5859	0	z10-15	nircam9
2485	F356W	8434.9199	1253.6106	0	z10-15	nircam9
3031	F356W	4143.6328	1423.4919	0	z10-15	nircam9
4354	F356W	3124.7615	1750.2664	0	z10-15	nircam9
4657	F356W	1643.9686	1840.4806	0	z10-15	nircam9
5919	F356W	2277.1919	2213.7737	0	z10-15	nircam9
6410	F356W	745.878	2359.9185	0	z10-15	nircam9
6682	F356W	1960.8085	2432.3796	0	z10-15	nircam9
6816	F356W	9735.1689	2465.6804	0	z10-15	nircam9
6935	F356W	3831.803	2506.7451	0	z10-15	nircam9
7288	F356W	9175.6592	2595.5728	0	z10-15	nircam9
8858	F356W	1531.6039	2991.2258	0	z10-15	nircam9
9972	F356W	3878.3987	3267.105	0	z10-15	nircam9
10182	F356W	4473.4502	3334.7383	0	z10-15	nircam9
12539	F356W	3277.8696	3952.1301	0	z10-15	nircam9
12592	F356W	8389.3945	3979.0142	0	z10-15	nircam9
12845	F356W	1192.1021	4050.7585	0	z10-15	nircam9
13859	F356W	8364.2686	4397.7778	0	z10-15	nircam9
14820	F356W	1156.7213	4766.2383	0	z10-15	nircam9
867	F410M	5015.4473	639.2018	0	z10-15	nircam9
1469	F410M	7970.2231	853.5859	0	z10-15	nircam9
2485	F410M	8434.9199	1253.6106	0	z10-15	nircam9
3031	F410M	4143.6328	1423.4919	0	z10-15	nircam9
4354	F410M	3124.7615	1750.2664	0	z10-15	nircam9
4657	F410M	1643.9686	1840.4806	0	z10-15	nircam9
5919	F410M	2277.1919	2213.7737	0	z10-15	nircam9
6410	F410M	745.878	2359.9185	0	z10-15	nircam9
6682	F410M	1960.8085	2432.3796	0	z10-15	nircam9
6816	F410M	9735.1689	2465.6804	0	z10-15	nircam9
6935	F410M	3831.803	2506.7451	0	z10-15	nircam9
7288	F410M	9175.6592	2595.5728	0	z10-15	nircam9
8858	F410M	1531.6039	2991.2258	0	z10-15	nircam9
9972	F410M	3878.3987	3267.105	0	z10-15	nircam9
10182	F410M	4473.4502	3334.7383	0	z10-15	nircam9
12539	F410M	3277.8696	3952.1301	0	z10-15	nircam9
12592	F410M	8389.3945	3979.0142	0	z10-15	nircam9
12845	F410M	1192.1021	4050.7585	0	z10-15	nircam9
13859	F410M	8364.2686	4397.7778	0	z10-15	nircam9
14820	F410M	1156.7213	4766.2383	0	z10-15	nircam9
867	F444W	5015.4473	639.2018	0	z10-15	nircam9
1469	F444W	7970.2231	853.5859	0	z10-15	nircam9
2485	F444W	8434.9199	1253.6106	0	z10-15	nircam9
3031	F444W	4143.6328	1423.4919	0	z10-15	nircam9
4354	F444W	3124.7615	1750.2664	0	z10-15	nircam9
4657	F444W	1643.9686	1840.4806	0	z10-15	nircam9
5919	F444W	2277.1919	2213.7737	0	z10-15	nircam9
6410	F444W	745.878	2359.9185	0	z10-15	nircam9
6682	F444W	1960.8085	2432.3796	0	z10-15	nircam9
6816	F444W	9735.1689	2465.6804	0	z10-15	nircam9
6935	F444W	3831.803	2506.7451	0	z10-15	nircam9
7288	F444W	9175.6592	2595.5728	0	z10-15	nircam9
8858	F444W	1531.6039	2991.2258	0	z10-15	nircam9
9972	F444W	3878.3987	3267.105	0	z10-15	nircam9
