NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	REDSHIFT	REDSHIFT_BIN	POINTING	FILTER	SEX_FLUX	SEX_FLUXERR	EAZY_FLUX	EAZY_FLUXERR
675	1063.1985	423.542	214.8868899	52.7793512	-1	z7-8	nircam10	F277W	0.08045691	0.01975109	0.0023533748725136357	0.0006324827528781361
1081	3336.532	627.9122	214.8644737	52.766014	-1	z7-8	nircam10	F277W	0.1723351	0.0243647	0.005090883659810452	0.0006340941884470453
1216	6499.2173	694.8171	214.8355933	52.74628	-1	z7-8	nircam10	F277W	0.2498373	0.03550741	0.007160541927992724	0.0006326440766850905
1697	1352.772	908.4111	214.8792161	52.7801279	-1	z7-8	nircam10	F277W	-0.05147722	0.01902201	-0.0010390641093362722	0.0006329667242989997
3712	2157.7029	1632.9373	214.8644297	52.7789231	-1	z7-8	nircam10	F277W	0.7539611	0.04653352	0.004474308275464998	0.0006337721416666815
3742	2195.3169	1648.1593	214.8639344	52.7787663	-1	z7-8	nircam10	F277W	0.1512523	0.02482446	0.003346399510595908	0.0006326440766850905
3979	1445.8813	1740.2555	214.86965	52.7840237	-1	z7-8	nircam10	F277W	0.002662052	0.01795163	0.0025991025742665447	0.000633289071496136
4941	7562.1401	2034.5925	214.8120626	52.7467456	-1	z7-8	nircam10	F277W	1.893632	0.04878739	0.03916374245155907	0.0006326440766850905
5161	3107.9993	2135.1851	214.850683	52.7755943	-1	z7-8	nircam10	F277W	0.05053144	0.008573106	-0.0005914031625418633	0.0006316755330098179
5850	6135.9707	2341.9883	214.8215329	52.7574672	-1	z7-8	nircam10	F277W	-0.009821764	0.01089623	0.0006178521556295452	0.0006329667242989997
7608	1746.3938	2904.3247	214.8547427	52.7883927	-1	z7-8	nircam10	F277W	0.4400741	0.02742157	0.010441970303150904	0.0006323214290711815
8153	9664.3301	3078.6394	214.7823908	52.7390054	-1	z7-8	nircam10	F277W	0.8489292	0.03590326	0.01004458800869045	0.0006326440766850905
8200	9546.3604	3098.5203	214.7832315	52.7398626	-1	z7-8	nircam10	F277W	0.8559774	0.0354277	0.00877312809314136	0.0006328054004920452
9135	9709.7617	3431.5325	214.7782802	52.7406171	-1	z7-8	nircam10	F277W	1.528198	0.06015289	0.011182837118876814	0.0006326440766850905
9519	4432.1802	3557.2095	214.8239447	52.7748457	-1	z7-8	nircam10	F277W	-0.008050703	0.01595044	0.0015863687933927266	0.0006328054004920452
9681	964.0814	3641.2505	214.8539765	52.7973369	-1	z7-8	nircam10	F277W	0.9978266	0.05958629	0.00588833697884727	0.0006331277476891815
10078	7955.6567	4618.0811	214.7814228	52.758162	-1	z7-8	nircam10	F277W	3.516555	0.07668019	0.013278577571267268	0.000633289071496136
10891	9190.5293	4621.4019	214.7703997	52.7503271	-1	z7-8	nircam10	F277W	0.3752998	0.0383401	0.005917570535001361	0.0006324827528781361
11520	6258.7886	4432.3804	214.7984799	52.7679507	-1	z7-8	nircam10	F277W	0.2502749	0.03054277	0.0044431520519654525	0.0006326440766850905
11661	2375.1572	4124.5552	214.8363159	52.7909767	-1	z7-8	nircam10	F277W	0.009522567	0.01731029	0.00222832218503109	0.000633450094886318
