NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	REDSHIFT	REDSHIFT_BIN	POINTING	FILTER	SEX_FLUX	SEX_FLUXERR	EAZY_FLUX	EAZY_FLUXERR
1091	9350.2305	633.005	214.8108632	52.7278267	-1	z8-10	nircam10	F606W	-0.049068	0.01974759	-0.0036887966346076813	0.002044517316993967
1330	562.3206	747.3645	214.8879578	52.7842794	-1	z8-10	nircam10	F606W	-0.0732669	0.02385444	-0.0034594452878739684	0.0020434749160486133
2191	2971.9294	1119.3103	214.8625643	52.7709804	-1	z8-10	nircam10	F606W	-0.0691708	0.01668976	-0.004934863750904758	0.00204972006621845
2205	480.9639	1121.9441	214.8847501	52.786817	-1	z8-10	nircam10	F606W	-0.02998997	0.03573993	-0.004036486519739321	0.002045558561001536
2445	1110.2041	1191.2227	214.8784098	52.7831943	-1	z8-10	nircam10	F606W	-0.03185061	0.008695167	-0.003289317586415168	0.0020439955380523967
2566	1332.7803	1224.8019	214.876072	52.7819617	-1	z8-10	nircam10	F606W	-0.01429006	0.01410542	0.0009618036843362316	0.0020429531371070424
2817	2108.3284	1288.9008	214.8684829	52.7773812	-1	z8-10	nircam10	F606W	0.02834237	0.01944298	0.001843903147931353	0.002049200601152452
3197	2550.8127	1410.2053	214.8632638	52.7752245	-1	z8-10	nircam10	F606W	0.00537905	0.01128434	0.00042024619714834955	0.0020413878002823317
4771	165.7632	2006.6464	214.8782703	52.7935919	-1	z8-10	nircam10	F606W	0.03743443	0.02256868	0.006141408715487899	0.00204607918300532
6606	2116.3508	2576.3357	214.8548896	52.7842735	-1	z8-10	nircam10	F606W	0.04878391	0.03590655	-0.0014660368545225983	0.00204607918300532
7116	1931.9222	2740.593	214.8548085	52.786331	-1	z8-10	nircam10	F606W	0.07149704	0.03596192	0.005681117546440035	0.0020429531371070424
7674	2768.1482	2919.7876	214.8454708	52.7819842	-1	z8-10	nircam10	F606W	0.01336016	0.01704365	0.0013750911320882235	0.00204607918300532
7891	3927.562	2994.5759	214.8343518	52.7750199	-1	z8-10	nircam10	F606W	-0.03472921	0.01465879	-0.007505724129035575	0.002045558561001536
8250	3253.4038	3103.7139	214.8392133	52.7798923	-1	z8-10	nircam10	F606W	0.007153084	0.01892441	-0.00020485735408723392	0.0020429531371070424
8798	3860.0393	3290.7605	214.831842	52.7770456	-1	z8-10	nircam10	F606W	0.03047378	0.03018693	0.001675758437838077	0.002047120427012888
9221	1529.7197	3443.6487	214.8510085	52.7926776	-1	z8-10	nircam10	F606W	0.02846066	0.01519201	0.0033484799139874137	0.002045558561001536
9669	1356.3665	3632.4209	214.8505709	52.7947969	-1	z8-10	nircam10	F606W	0.09759883	0.02668872	0.010185067092563789	0.002045037938997751
9988	9835.085	3791.9333	214.7733797	52.7417612	-1	z8-10	nircam10	F606W	0.1087067	0.04160503	0.0016067505697053802	0.002047639892078886
10225	1154.6892	4489.0547	214.8433672	52.8006972	-1	z8-10	nircam10	F606W	-0.05007417	0.03689047	-0.0032007991194562134	0.00204607918300532
10790	2668.5544	4506.3433	214.8296883	52.7911702	-1	z8-10	nircam10	F606W	0.0007835954	0.01570714	-0.0006802405451683483	0.00204607918300532
