NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	REDSHIFT	REDSHIFT_BIN	POINTING	FILTER	SEX_FLUX	SEX_FLUXERR	EAZY_FLUX	EAZY_FLUXERR
440	9799.3076	320.5355	214.7400066	52.7280204	-1	z8-10	nircam4	F444W	0.3172915	0.04848336	0.0	0.0
1755	3649.1157	910.0732	214.7885216	52.7703107	-1	z8-10	nircam4	F444W	0.1969627	0.0567431	0.0	0.0
1908	9752.2275	968.9572	214.7336127	52.7318098	-1	z8-10	nircam4	F444W	0.5124378	0.06409895	0.0	0.0
2838	2422.7812	1246.3853	214.7959074	52.7799195	-1	z8-10	nircam4	F444W	0.1640289	0.01602474	0.0	0.0
4308	1901.528	1693.9945	214.7958452	52.7856449	-1	z8-10	nircam4	F444W	0.307431	0.03266	0.0	0.0
4429	1180.2792	1749.6285	214.8016856	52.79053	-1	z8-10	nircam4	F444W	0.135267	0.03014381	0.0	0.0
5282	6009.791	2047.6011	214.7555555	52.7614237	-1	z8-10	nircam4	F444W	0.2050163	0.03744971	0.0	0.0
5670	8269.8779	2147.989	214.7343995	52.7475865	-1	z8-10	nircam4	F444W	-0.01140989	0.0262938	0.0	0.0
6977	3550.6462	2504.9712	214.7726336	52.7795269	-1	z8-10	nircam4	F444W	0.201192	0.05743511	0.0	0.0
7185	1105.399	2570.1448	214.7937261	52.7954266	-1	z8-10	nircam4	F444W	0.1250423	0.01832499	0.0	0.0
8067	2033.2831	2836.4185	214.7826606	52.7909611	-1	z8-10	nircam4	F444W	0.1467009	0.02845845	0.0	0.0
8333	1548.1414	2903.8955	214.7862724	52.7944094	-1	z8-10	nircam4	F444W	0.1391281	0.08629586	0.0	0.0
8989	3740.1558	3061.6614	214.7650932	52.7813194	-1	z8-10	nircam4	F444W	0.07220601	0.01539607	0.0	0.0
9101	3800.0427	3098.2778	214.7641751	52.7811357	-1	z8-10	nircam4	F444W	0.2047935	0.03442666	0.0	0.0
9641	3056.1348	3237.7158	214.7693319	52.7866178	-1	z8-10	nircam4	F444W	0.2536019	0.02084638	0.0	0.0
9788	3589.376	3274.3113	214.7641995	52.7834234	-1	z8-10	nircam4	F444W	0.2360101	0.0355557	0.0	0.0
10904	4019.5276	3631.5112	214.756614	52.7826107	-1	z8-10	nircam4	F444W	0.4918591	0.05962873	0.0	0.0
11574	9823.9248	4387.4756	214.6970425	52.7497459	-1	z8-10	nircam4	F444W	0.5610885	0.07913141	0.0	0.0
11914	7775.9033	4188.8218	214.7173355	52.7617116	-1	z8-10	nircam4	F444W	0.4193373	0.0619042	0.0	0.0
12751	9541.0303	3915.2021	214.7045224	52.7490062	-1	z8-10	nircam4	F444W	0.0317331	0.01937296	0.0	0.0
