NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	REDSHIFT	REDSHIFT_BIN	POINTING	FILTER	SEX_FLUX	SEX_FLUXERR	EAZY_FLUX	EAZY_FLUXERR
49	180.4972	197.5395	214.8715835	52.8711732	-1	z8-10	nircam3	F814W	0.02057476	0.01259705	0.0028267194692835544	0.0020680105195786235
457	8474.5664	324.9333	214.796215	52.8191519	-1	z8-10	nircam3	F814W	0.01653689	0.01126715	0.001813720742490397	0.0020659067105654886
868	3908.9641	493.7003	214.8351667	52.8490816	-1	z8-10	nircam3	F814W	-0.009024574	0.01553957	-0.0008487775784258599	0.0020653807583122046
1021	3697.4653	577.6644	214.8361712	52.8508783	-1	z8-10	nircam3	F814W	0.1393063	0.0289887	0.005101552277382721	0.00206748456732534
1715	2246.0176	874.4232	214.8460078	52.8617012	-1	z8-10	nircam3	F814W	-0.05569313	0.01302785	-0.008920420138358875	0.0020653807583122046
1725	6991.4644	883.8897	214.8035579	52.8315921	-1	z8-10	nircam3	F814W	0.01490849	0.01144938	0.003587292076218046	0.0020690624240851914
2210	1259.854	1124.45	214.8521846	52.8693152	-1	z8-10	nircam3	F814W	0.006411775	0.01379938	0.0011059682302816322	0.002066958615072056
2790	3958.3804	1370.6488	214.8254968	52.8534946	-1	z8-10	nircam3	F814W	0.04361667	0.01226403	0.004938636086021212	0.0020664326628187725
3404	1449.8234	1591.3014	214.8455735	52.8706255	-1	z8-10	nircam3	F814W	0.02961135	0.01433881	0.0028908280871451377	0.0020638009168268694
3591	9943.2324	1651.3943	214.7691691	52.8169576	-1	z8-10	nircam3	F814W	-0.007599479	0.00575474	-0.006314554966768378	0.0020659067105654886
4026	7554.2808	1779.5316	214.789114	52.8328391	-1	z8-10	nircam3	F814W	0.01434433	0.007880002	0.0013482541891695354	0.0020690624240851914
4596	3977.8147	1948.7542	214.8192384	52.8564869	-1	z8-10	nircam3	F814W	0.03737353	0.0118054	0.003791756510863489	0.0020664326628187725
5466	7235.127	2238.5264	214.7871288	52.8373408	-1	z8-10	nircam3	F814W	0.0123275	0.01726422	-0.0012150781168243701	0.00206748456732534
5922	9022.0645	2401.7134	214.7694813	52.8268564	-1	z8-10	nircam3	F814W	0.01471529	0.01549511	0.0029756850252173964	0.002068536471831908
8730	9116.1904	3345.9946	214.7587024	52.8313423	-1	z8-10	nircam3	F814W	0.02219962	0.01010499	0.0075953141994553755	0.002061693138362766
9992	578.233	3744.6199	214.8306859	52.8877727	-1	z8-10	nircam3	F814W	0.08525252	0.02064901	0.006285061946074805	0.0020659067105654886
10047	7614.272	3744.5977	214.7678929	52.843041	-1	z8-10	nircam3	F814W	-0.01400574	0.01297478	0.001754231374720484	0.0020643268690801533
10134	6941.4634	3773.3328	214.7735892	52.8474746	-1	z8-10	nircam3	F814W	0.01418776	0.01404715	-0.007821168020642855	0.00206748456732534
11198	9990.8203	4292.0264	214.7409486	52.8308713	-1	z8-10	nircam3	F814W	-0.03561417	0.01297478	-0.0036200539397839154	0.0020659067105654886
11909	6222.0039	4206.6768	214.7754419	52.8543837	-1	z8-10	nircam3	F814W	0.003128696	0.02289875	-0.0015148121533218	0.002063272979848101
