NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	REDSHIFT	REDSHIFT_BIN	POINTING	FILTER	SEX_FLUX	SEX_FLUXERR	EAZY_FLUX	EAZY_FLUXERR
1015	7856.7808	705.0	215.0181751	52.8643672	-1	z7-8	nircam8	F606W	0.01374732	0.01083665	0.0023091020470682204	0.00182406629264939
1158	6842.792	745.2601	215.0268351	52.8710143	-1	z7-8	nircam8	F606W	0.03949432	0.0156329	0.004095419773629901	0.0018254627165573182
1553	2210.7615	927.0323	215.0664514	52.9013595	-1	z7-8	nircam8	F606W	-0.01129004	0.01522144	-0.0029651378340366354	0.0018273242294552933
2553	3757.6243	1295.8895	215.0487024	52.8935511	-1	z7-8	nircam8	F606W	0.04335218	0.01259735	0.0059949982386459325	0.001824997627567271
4012	7910.5786	1709.1863	215.0071444	52.8694551	-1	z7-8	nircam8	F606W	0.0260151	0.01447326	0.0037177871816539564	0.0018259289624851514
5038	9405.5947	1970.0823	214.9910175	52.8613833	-1	z7-8	nircam8	F606W	0.04804252	0.01876963	0.004377705651832815	0.0018245325385772239
6415	2803.5342	2359.9871	215.0460765	52.9053552	-1	z7-8	nircam8	F606W	-0.0003185623	0.01284683	0.00033632516956414495	0.001824997627567271
7357	4055.9504	2577.4817	215.03256	52.898592	-1	z7-8	nircam8	F606W	-0.03813902	0.01469091	-0.005608590273561758	0.0018268591404652457
8453	3366.2229	2850.3972	215.0358758	52.9044407	-1	z7-8	nircam8	F606W	-0.009298307	0.006665892	-0.002710612678013279	0.001824997627567271
8818	7737.1235	2936.9644	214.9957966	52.877192	-1	z7-8	nircam8	F606W	-0.02612044	0.03724217	0.001444456493996852	0.0018254627165573182
10027	2985.5723	3245.4807	215.0351364	52.9089908	-1	z7-8	nircam8	F606W	0.07068266	0.03833406	-0.0005418754136915262	0.0018268591404652457
10189	3297.343	3290.1775	215.0318707	52.9072559	-1	z7-8	nircam8	F606W	-0.01927609	0.008356138	0.0005002380326231059	0.0018268591404652457
10525	2561.6843	3375.4102	215.0375721	52.9123808	-1	z7-8	nircam8	F606W	-0.009529356	0.006423415	0.001796632983863324	0.0018254627165573182
11981	8660.168	3714.1143	214.9793633	52.8755367	-1	z7-8	nircam8	F606W	0.009332252	0.009593857	0.0011681323162061595	0.0018259289624851514
12041	6965.2349	3732.842	214.9943448	52.8863896	-1	z7-8	nircam8	F606W	-0.01897808	0.0156329	0.0024288046151160593	0.0018277893184453404
12777	3558.3484	3909.6753	215.0230176	52.9089512	-1	z7-8	nircam8	F606W	-0.01427605	0.006423415	0.002194433315328081	0.0018268591404652457
12959	3470.7715	3964.9731	215.0232214	52.9098055	-1	z7-8	nircam8	F606W	0.008609771	0.01333178	0.0052059655115286015	0.0018259289624851514
13112	2752.3569	4018.1973	215.0291041	52.9146483	-1	z7-8	nircam8	F606W	-0.003966649	0.006171417	0.0011684146090259891	0.0018268591404652457
14215	969.6344	4403.7856	215.0410415	52.9280358	-1	z7-8	nircam8	F606W	0.0004720984	0.06111988	0.0014302759075515577	0.0018259289624851514
15599	4936.6572	4931.0156	214.999923	52.9057323	-1	z7-8	nircam8	F606W	-0.00684458	0.01583463	-0.0009442928524733981	0.0018259289624851514
