NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	REDSHIFT	REDSHIFT_BIN	POINTING	FILTER	SEX_FLUX	SEX_FLUXERR	EAZY_FLUX	EAZY_FLUXERR
867	5015.4473	639.2018	214.9513315	52.8193657	-1	z10-15	nircam9	F356W	0.04066369	0.02093245	0.004037403027238634	0.0006309951749254997
1469	7970.2231	853.5859	214.9226842	52.8017688	-1	z10-15	nircam9	F356W	0.1195094	0.0264597	0.0012860075711079541	0.0006308343118154316
2485	8434.9199	1253.6106	214.9143345	52.8009781	-1	z10-15	nircam9	F356W	0.4414562	0.03450613	0.007386390254027269	0.0006308343118154316
3031	4143.6328	1423.4919	214.9508872	52.8291343	-1	z10-15	nircam9	F356W	0.7848402	0.03805073	0.009007113822983179	0.0006305125855952952
4354	3124.7615	1750.2664	214.956564	52.8373649	-1	z10-15	nircam9	F356W	0.01819827	0.01380245	0.0022686674508312493	0.0006308343118154316
4657	1643.9686	1840.4806	214.96886	52.8472482	-1	z10-15	nircam9	F356W	0.07038267	0.01380245	0.0028473442648410444	0.0006309951749254997
5919	2277.1919	2213.7737	214.9592742	52.845247	-1	z10-15	nircam9	F356W	0.03866174	0.0149615	0.001615356353342295	0.0006309951749254997
6410	745.878	2359.9185	214.9714374	52.8557527	-1	z10-15	nircam9	F356W	0.06650267	0.01154796	0.0028413809094665894	0.0006319587221142043
6682	1960.8085	2432.3796	214.9598072	52.8484354	-1	z10-15	nircam9	F356W	0.04024008	0.01812804	0.002695694075488431	0.0006306734487053634
6816	9735.1689	2465.6804	214.8899985	52.799263	-1	z10-15	nircam9	F356W	0.2609671	0.01902537	0.00871666944130977	0.0006309951749254997
6935	3831.803	2506.7451	214.9422953	52.8369635	-1	z10-15	nircam9	F356W	0.05567838	0.01825893	0.0011176879827613179	0.0006305125855952952
7288	9175.6592	2595.5728	214.8936277	52.8035171	-1	z10-15	nircam9	F356W	0.2564687	0.01927408	0.007488171247787043	0.0006309951749254997
8858	1531.6039	2991.2258	214.9577741	52.8541777	-1	z10-15	nircam9	F356W	0.05888741	0.01718391	0.002757589175309817	0.0006306734487053634
9972	3878.3987	3267.105	214.9338894	52.8407737	-1	z10-15	nircam9	F356W	0.3173567	0.02794784	0.006957254462750452	0.0006301908593751588
10182	4473.4502	3334.7383	214.9278599	52.8373617	-1	z10-15	nircam9	F356W	0.002323323	0.009258967	0.0014065674567757267	0.0006314771116670225
12539	3277.8696	3952.1301	214.9320588	52.8482843	-1	z10-15	nircam9	F356W	0.109774	0.0197621	0.003971387156185908	0.0006314771116670225
12592	8389.3945	3979.0142	214.8861112	52.815975	-1	z10-15	nircam9	F356W	0.4600641	0.04483142	0.004898324119840453	0.0006298691331550225
12845	1192.1021	4050.7585	214.9496754	52.862055	-1	z10-15	nircam9	F356W	-0.00113647	0.01915012	0.0006284357221154089	0.0006308343118154316
13859	8364.2686	4397.7778	214.8819348	52.8183938	-1	z10-15	nircam9	F356W	0.09187955	0.01431069	0.004021685428837044	0.000631155711741227
14820	1156.7213	4766.2383	214.9424704	52.8661435	-1	z10-15	nircam9	F356W	0.05012578	0.01662035	0.0008018778053199769	0.0006308343118154316
