NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	REDSHIFT	REDSHIFT_BIN	POINTING	FILTER	SEX_FLUX	SEX_FLUXERR	EAZY_FLUX	EAZY_FLUXERR
1462	3691.1133	854.8513	214.960905	52.8289343	-1	z7-8	nircam9	F277W	0.0580433	4.304544e-05	0.0014848501550520903	1.3061910986440904e-06
2181	1240.3319	1125.4906	214.9799818	52.8459459	-1	z7-8	nircam9	F277W	0.1497822	4.781274e-05	0.005836776448144088	1.3081846643479085e-06
2408	937.6856	1219.2966	214.9817043	52.8483727	-1	z7-8	nircam9	F277W	1.019936	8.060531e-05	0.015890476097551356	1.3091805459494993e-06
3302	3155.7041	1502.7146	214.9588877	52.8358314	-1	z7-8	nircam9	F277W	0.1787536	4.65375e-05	0.002858512457516544	1.3091805459494993e-06
5653	10120.5352	2133.0745	214.8900531	52.795021	-1	z7-8	nircam9	F277W	0.6612844	8.425444e-05	0.009000017860743632	1.3065236600114993e-06
5676	4527.6016	2137.5061	214.9399549	52.8305535	-1	z7-8	nircam9	F277W	0.2148099	6.72606e-05	0.007404408247421815	1.3041942283557722e-06
6061	7087.3535	2252.2434	214.9158794	52.814924	-1	z7-8	nircam9	F277W	0.1155553	3.862581e-05	0.004130895854224998	1.3065236600114993e-06
7270	4305.3853	2593.717	214.9371482	52.8344274	-1	z7-8	nircam9	F277W	0.07275075	2.247975e-05	0.0016459783906875901	1.3051931141250903e-06
7542	2802.6294	2661.7776	214.9498682	52.8443324	-1	z7-8	nircam9	F277W	0.05787539	2.08122e-05	0.0015194236193414087	1.3058585372766813e-06
8294	2355.179	2848.728	214.9519052	52.8481817	-1	z7-8	nircam9	F277W	-0.08380187	3.571246e-05	-0.0040344049909927255	1.3061910986440904e-06
9473	5018.2119	3155.9058	214.9248706	52.8329381	-1	z7-8	nircam9	F277W	0.1440326	2.138251e-05	0.006992996489674997	1.3048602523409085e-06
9920	10479.7793	3256.3835	214.8750482	52.7987996	-1	z7-8	nircam9	F277W	0.4140789	7.894628e-05	0.00788333567067136	1.305525975909272e-06
10502	3549.1204	3406.4329	214.9353689	52.843616	-1	z7-8	nircam9	F277W	0.1418612	4.601751e-05	0.0038033724760945433	1.305525975909272e-06
11980	7070.3579	3801.5435	214.8997536	52.8233939	-1	z7-8	nircam9	F277W	0.5184791	7.833428e-05	0.008395519230661813	1.3051931141250903e-06
12134	3727.6379	3833.8469	214.9292811	52.8447907	-1	z7-8	nircam9	F277W	0.07805474	3.36303e-05	0.0019128482232379537	1.3065236600114993e-06
12709	7011.8525	4011.3481	214.8980713	52.8248976	-1	z7-8	nircam9	F277W	0.7419071	0.0001037136	0.010889996857157724	1.3065236600114993e-06
13656	9277.7324	4328.3506	214.8745111	52.8122174	-1	z7-8	nircam9	F277W	0.1909049	4.601751e-05	0.0058248198605895425	1.3058585372766813e-06
13856	2581.5566	4395.8921	214.9336203	52.8551002	-1	z7-8	nircam9	F277W	1.094882	8.134824e-05	0.010492662629380903	1.3058585372766813e-06
15257	4962.1772	4953.1548	214.9064823	52.8429952	-1	z7-8	nircam9	F277W	3.869304	0.0001908101	0.014786543595313631	1.3065236600114993e-06
15632	7181.2378	5048.6665	214.8856561	52.8294191	-1	z7-8	nircam9	F277W	0.0556734	3.831305e-05	0.0016856328038540446	1.305525975909272e-06
