NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	REDSHIFT	REDSHIFT_BIN	POINTING	FILTER	SEX_FLUX	SEX_FLUXERR	EAZY_FLUX	EAZY_FLUXERR
49	180.4972	197.5395	214.8715835	52.8711732	-1	z8-10	nircam3	F410M	0.4867318	0.05507364	0.013318610418189995	0.0015574511544684726
457	8474.5664	324.9333	214.796215	52.8191519	-1	z8-10	nircam3	F410M	0.205696	0.04925936	0.006362894479810866	0.0015558668327527339
868	3908.9641	493.7003	214.8351667	52.8490816	-1	z8-10	nircam3	F410M	0.7173871	0.06793818	0.021980795379036897	0.0015554702394876805
1021	3697.4653	577.6644	214.8361712	52.8508783	-1	z8-10	nircam3	F410M	1.063076	0.126737	0.017795259464702923	0.001557055244984911
1715	2246.0176	874.4232	214.8460078	52.8617012	-1	z8-10	nircam3	F410M	0.3384794	0.05695704	0.010868583726266581	0.0015554702394876805
1725	6991.4644	883.8897	214.8035579	52.8315921	-1	z8-10	nircam3	F410M	0.7548763	0.05005606	0.025455940445159052	0.0015582426315448508
2210	1259.854	1124.45	214.8521846	52.8693152	-1	z8-10	nircam3	F410M	-0.01293774	0.06033015	-0.0005452155654597975	0.0015566589936106031
2790	3958.3804	1370.6488	214.8254968	52.8534946	-1	z8-10	nircam3	F410M	0.2519429	0.05361769	0.010071072278226408	0.0015562630841270415
3404	1449.8234	1591.3014	214.8455735	52.8706255	-1	z8-10	nircam3	F410M	0.05127121	0.06268852	0.0009616460153621766	0.0015542808015832665
3591	9943.2324	1651.3943	214.7691691	52.8169576	-1	z8-10	nircam3	F410M	0.1279182	0.02515941	0.009776403482291801	0.0015558668327527339
4026	7554.2808	1779.5316	214.789114	52.8328391	-1	z8-10	nircam3	F410M	0.2959819	0.03445094	0.010072610786582219	0.0015582426315448508
4596	3977.8147	1948.7542	214.8192384	52.8564869	-1	z8-10	nircam3	F410M	0.3710278	0.05161258	0.012483080719224025	0.0015562630841270415
5466	7235.127	2238.5264	214.7871288	52.8373408	-1	z8-10	nircam3	F410M	0.1287681	0.07547824	0.011060322894290023	0.001557055244984911
5922	9022.0645	2401.7134	214.7694813	52.8268564	-1	z8-10	nircam3	F410M	0.4519367	0.06774379	0.009459802395018254	0.0015578470639520344
8730	9116.1904	3345.9946	214.7587024	52.8313423	-1	z8-10	nircam3	F410M	0.335712	0.04417848	0.01278487451829976	0.0015526930609600703
9992	578.233	3744.6199	214.8306859	52.8877727	-1	z8-10	nircam3	F410M	2.823901	0.09027638	0.07352955376941875	0.0015558668327527339
10047	7614.272	3744.5977	214.7678929	52.843041	-1	z8-10	nircam3	F410M	0.2185377	0.05672504	0.006008941828565703	0.0015546773948483196
10134	6941.4634	3773.3328	214.7735892	52.8474746	-1	z8-10	nircam3	F410M	0.5726371	0.06141337	0.015841042732245295	0.001557055244984911
11198	9990.8203	4292.0264	214.7409486	52.8308713	-1	z8-10	nircam3	F410M	0.3786571	0.05672504	0.014792080897438954	0.0015558668327527339
11909	6222.0039	4206.6768	214.7754419	52.8543837	-1	z8-10	nircam3	F410M	0.824823	0.1001121	0.011174483633198604	0.0015538838664274671
