NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	REDSHIFT	REDSHIFT_BIN	POINTING	FILTER	SEX_FLUX	SEX_FLUXERR	EAZY_FLUX	EAZY_FLUXERR
292	4501.8364	268.3943	214.8578625	52.756672	-1	z10-15	nircam10	F200W	0.1880078	0.03104356	0.0035432780422409867	0.0006061622965536124
440	10032.5674	319.1968	214.808086	52.7217983	-1	z10-15	nircam10	F200W	-0.01957086	0.01121161	-0.0002723100760485067	0.0006056994297082736
988	9209.3311	596.6603	214.8124985	52.7285265	-1	z10-15	nircam10	F200W	-0.05085097	0.03946248	0.00017244742091002493	0.0006061622965536124
1513	4486.3521	834.0985	214.8520616	52.759821	-1	z10-15	nircam10	F200W	0.06103929	0.02746273	5.077395738584227e-05	0.0006061622965536124
2621	2514.0081	1249.8309	214.8652761	52.7745934	-1	z10-15	nircam10	F200W	0.02607115	0.03024597	-0.0007179100993318912	0.0006058536324135962
3693	2393.3904	1627.1633	214.8623889	52.7773947	-1	z10-15	nircam10	F200W	0.3104619	0.02616043	0.00545218593132938	0.0006058536324135962
4464	2387.7395	1889.7532	214.8596815	52.7788468	-1	z10-15	nircam10	F200W	0.7060813	0.02809125	0.012090969441996769	0.0006061622965536124
5066	10290.2881	2113.429	214.7869584	52.7298262	-1	z10-15	nircam10	F200W	-0.04275923	0.009887715	-0.003465400501465682	0.0006058536324135962
5597	8715.0801	2255.512	214.799481	52.7406067	-1	z10-15	nircam10	F200W	0.1276887	0.02378343	0.003295963810758267	0.000607086995326805
6053	3259.8325	2412.5645	214.8464162	52.7761252	-1	z10-15	nircam10	F200W	-0.1530244	0.01563385	-0.005961921602287741	0.0006061622965536124
6834	4444.7632	2644.969	214.8334156	52.7698485	-1	z10-15	nircam10	F200W	-0.02169592	0.02097501	-5.541856356850659e-05	0.0006061622965536124
7011	2082.8691	2698.7295	214.8539024	52.7851463	-1	z10-15	nircam10	F200W	0.2804728	0.0291885	0.004605059398254006	0.0006061622965536124
7172	173.8371	2751.1814	214.8703771	52.7975568	-1	z10-15	nircam10	F200W	0.03914372	0.03268719	0.0007752626390782761	0.0006058536324135962
7955	4001.8228	3013.7764	214.8334883	52.7746515	-1	z10-15	nircam10	F200W	0.05879744	0.01941909	0.0025466708735995282	0.0006055449682735797
8317	10285.748	3133.6284	214.7762855	52.73535	-1	z10-15	nircam10	F200W	-0.3594089	0.03332195	-0.0059998901375328435	0.0006060080938482901
9108	2429.5166	3389.4639	214.8435552	52.7866682	-1	z10-15	nircam10	F200W	0.02929469	0.02163064	0.0008592097121759989	0.0006066249046695802
9314	6113.6455	3483.5259	214.8097414	52.7637609	-1	z10-15	nircam10	F200W	0.316384	0.0360403	0.009706369492631792	0.0006056994297082736
9597	9184.8252	3598.6956	214.7811944	52.7448555	-1	z10-15	nircam10	F200W	0.1902445	0.02012546	0.006099881277677136	0.000605236045404192
10044	1188.1871	3887.615	214.8493891	52.7972415	-1	z10-15	nircam10	F200W	0.2379738	0.02303768	0.007676598765012583	0.000605236045404192
10059	7802.9292	4615.9404	214.7828046	52.7591217	-1	z10-15	nircam10	F200W	0.2347288	0.02378343	0.005708172771339635	0.0006061622965536124
