NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	REDSHIFT	REDSHIFT_BIN	POINTING	FILTER	SEX_FLUX	SEX_FLUXERR	EAZY_FLUX	EAZY_FLUXERR
2115	3102.8015	1143.9528	215.0561709	52.8968797	-1	z10-15	nircam8	F444W	0.105259	3.619041e-05	0.0	0.0
2414	691.6263	1246.5665	215.076725	52.9127155	-1	z10-15	nircam8	F444W	0.2448835	2.660772e-05	0.0	0.0
2819	10862.2676	1386.3751	214.9841123	52.8489886	-1	z10-15	nircam8	F444W	0.1163099	2.790641e-05	0.0	0.0
3126	4098.0513	1489.0	215.043621	52.8924378	-1	z10-15	nircam8	F444W	0.6372976	4.228033e-05	0.0	0.0
4658	2976.3372	1863.9977	215.0497392	52.9015767	-1	z10-15	nircam8	F444W	0.3886294	3.991158e-05	0.0	0.0
4728	1175.1372	1890.6381	215.0656176	52.9131369	-1	z10-15	nircam8	F444W	0.2279689	3.786345e-05	0.0	0.0
5721	3683.9387	2178.3008	215.0400907	52.8987914	-1	z10-15	nircam8	F444W	0.3539622	3.991158e-05	0.0	0.0
6083	3122.2625	2265.2727	215.0442134	52.9028224	-1	z10-15	nircam8	F444W	0.01400014	2.822175e-05	0.0	0.0
6224	3938.0964	2300.7349	215.0365252	52.8978424	-1	z10-15	nircam8	F444W	0.4738095	4.452323e-05	0.0	0.0
6987	4550.9619	2497.5613	215.0289623	52.8950213	-1	z10-15	nircam8	F444W	2.481743	0.0001152148	0.0	0.0
7140	1423.9026	2538.1516	215.05658	52.9150639	-1	z10-15	nircam8	F444W	0.208762	5.387653e-05	0.0	0.0
7675	3542.9976	2640.2971	215.036499	52.9021837	-1	z10-15	nircam8	F444W	0.9472542	5.565404e-05	0.0	0.0
7789	4090.6682	2692.0071	215.0310451	52.8989912	-1	z10-15	nircam8	F444W	0.2947592	3.391832e-05	0.0	0.0
8814	2486.1357	2948.5991	215.0427365	52.9105512	-1	z10-15	nircam8	F444W	0.01711099	2.660772e-05	0.0	0.0
8922	7406.1802	2948.469	214.9986396	52.8793532	-1	z10-15	nircam8	F444W	0.4994403	7.57269e-05	0.0	0.0
8938	2457.6106	2982.1418	215.0426397	52.9109134	-1	z10-15	nircam8	F444W	0.1884553	2.72648e-05	0.0	0.0
11183	2998.6855	3504.4604	215.0322962	52.9103083	-1	z10-15	nircam8	F444W	1.9512	0.0001060978	0.0	0.0
12484	4132.1523	3844.9299	215.0185538	52.9049627	-1	z10-15	nircam8	F444W	0.4547246	4.815189e-05	0.0	0.0
14040	1282.4524	4331.5039	215.0389949	52.9256618	-1	z10-15	nircam8	F444W	0.379142	1.973281e-05	0.0	0.0
15197	8072.335	4782.1841	214.9733982	52.8850371	-1	z10-15	nircam8	F444W	0.02291568	3.594505e-05	0.0	0.0
