NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	REDSHIFT	REDSHIFT_BIN	POINTING	FILTER	SEX_FLUX	SEX_FLUXERR	EAZY_FLUX	EAZY_FLUXERR
958	10277.0078	678.4905	215.089293	52.9129006	-1	z7-8	nircam7	F150W	0.2964082	0.0001470121	0.00415532758449142	2.4667688455391147e-06
998	689.4515	692.9848	215.1753255	52.9736912	-1	z7-8	nircam7	F150W	0.3686854	8.037582e-05	0.010377842472332232	2.4699162929703928e-06
1359	10364.5273	822.081	215.0869987	52.9131234	-1	z7-8	nircam7	F150W	0.5229871	0.0001525024	0.00825009033848833	2.4743162382763513e-06
1843	3334.6228	1008.3906	215.1482085	52.9586563	-1	z7-8	nircam7	F150W	0.3853052	9.323091e-05	0.010802907331136457	2.4699162929703928e-06
2308	2381.7744	1199.5356	215.1547713	52.9657245	-1	z7-8	nircam7	F150W	0.0094209	6.592421e-05	0.002381909414072147	2.4692872149824128e-06
2820	4191.3369	1370.4683	215.1366981	52.9551936	-1	z7-8	nircam7	F150W	0.00820454	8.037582e-05	-0.001491375452395933	2.471803012561492e-06
4316	2933.6445	1716.5439	215.1443719	52.965032	-1	z7-8	nircam7	F150W	-0.01266363	0.0001254575	-0.0015830477521791755	2.4705456281447963e-06
6714	1988.8589	2385.3889	215.1458401	52.9746377	-1	z7-8	nircam7	F150W	0.6070357	0.0001744191	0.009179284305918946	2.4680285446336074e-06
8044	4031.7251	2714.7156	215.1240019	52.963486	-1	z7-8	nircam7	F150W	0.2160193	0.0001099924	0.003108861752400357	2.4730601397917653e-06
8191	4029.9971	2761.7026	215.1235234	52.9637514	-1	z7-8	nircam7	F150W	0.0001965036	4.59812e-05	2.1843539787632775e-05	2.4667688455391147e-06
8243	721.7584	2775.0002	215.1531463	52.9847709	-1	z7-8	nircam7	F150W	-0.0009954869	0.0001039532	-2.1734762790487864e-05	2.4711744489463546e-06
9004	9744.3789	2976.4863	215.0699235	52.9287132	-1	z7-8	nircam7	F150W	1.725551	0.0001532707	0.03410438550726681	2.467398695086361e-06
9657	10838.999	3153.0935	215.0582419	52.9227316	-1	z7-8	nircam7	F150W	0.1188152	7.663534e-05	0.004472104100352357	2.466138738805446e-06
11711	4261.9868	3654.02	215.1120542	52.9671147	-1	z7-8	nircam7	F150W	0.007022896	7.73979e-05	0.0008556993467612313	2.4686578798080097e-06
12315	3074.6379	3783.8662	215.1213662	52.975338	-1	z7-8	nircam7	F150W	0.00491373	4.966537e-05	0.0013797791776940977	2.4692872149824128e-06
12905	3169.3682	3929.7971	215.1189793	52.9755284	-1	z7-8	nircam7	F150W	-0.06183533	7.270266e-05	-0.0013013098000657934	2.4692872149824128e-06
13770	4689.7471	4225.3452	215.1021996	52.9674987	-1	z7-8	nircam7	F150W	-0.01268348	7.189032e-05	-0.001073829695822537	2.4711744489463546e-06
13889	10283.1572	4281.4468	215.0513666	52.9323593	-1	z7-8	nircam7	F150W	3.478517	0.0002623571	0.02084847009009529	2.4711744489463546e-06
14498	10104.6582	4501.1499	215.0506583	52.9346793	-1	z7-8	nircam7	F150W	0.1632581	9.067616e-05	0.0057825100697881	2.471803012561492e-06
14526	3957.8804	4510.4092	215.1057812	52.9736782	-1	z7-8	nircam7	F150W	0.06760578	6.592421e-05	0.004364245258733651	2.4680285446336074e-06
