NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	REDSHIFT	REDSHIFT_BIN	POINTING	FILTER	SEX_FLUX	SEX_FLUXERR	EAZY_FLUX	EAZY_FLUXERR
2115	3102.8015	1143.9528	215.0561709	52.8968797	-1	z10-15	nircam8	F410M	0.3293707	5.984971e-05	0.010879532832722269	2.1082806769048175e-06
2414	691.6263	1246.5665	215.076725	52.9127155	-1	z10-15	nircam8	F410M	0.1931025	4.400238e-05	0.010316778270189996	2.1088175748716355e-06
2819	10862.2676	1386.3751	214.9841123	52.8489886	-1	z10-15	nircam8	F410M	0.09002573	4.615009e-05	0.002463078926119954	2.107743436964772e-06
3126	4098.0513	1489.0	215.043621	52.8924378	-1	z10-15	nircam8	F410M	0.3192543	6.992088e-05	0.008382208365649997	2.106668957084681e-06
4658	2976.3372	1863.9977	215.0497392	52.9015767	-1	z10-15	nircam8	F410M	0.3220491	6.600357e-05	0.010161211229371359	2.1082806769048175e-06
4728	1175.1372	1890.6381	215.0656176	52.9131369	-1	z10-15	nircam8	F410M	0.425927	6.261648e-05	0.016790758928996813	2.1082806769048175e-06
5721	3683.9387	2178.3008	215.0400907	52.8987914	-1	z10-15	nircam8	F410M	0.2353406	6.600357e-05	0.00840145803861318	2.1104275848256355e-06
6083	3122.2625	2265.2727	215.0442134	52.9028224	-1	z10-15	nircam8	F410M	0.5177354	4.667157e-05	0.021251125991511813	2.1093544728384535e-06
6224	3938.0964	2300.7349	215.0365252	52.8978424	-1	z10-15	nircam8	F410M	0.2293783	7.363006e-05	0.007807857490980906	2.1115003548395903e-06
6987	4550.9619	2497.5613	215.0289623	52.8950213	-1	z10-15	nircam8	F410M	2.54949	0.0001905359	0.02991935392498817	2.1104275848256355e-06
7140	1423.9026	2538.1516	215.05658	52.9150639	-1	z10-15	nircam8	F410M	0.3140465	8.909803e-05	0.005227467727004088	2.1093544728384535e-06
7675	3542.9976	2640.2971	215.036499	52.9021837	-1	z10-15	nircam8	F410M	0.3799815	9.203758e-05	0.008274332911106816	2.105594135231363e-06
7789	4090.6682	2692.0071	215.0310451	52.8989912	-1	z10-15	nircam8	F410M	0.2925372	5.609225e-05	0.012226390968603632	2.1072061970247264e-06
8814	2486.1357	2948.5991	215.0427365	52.9105512	-1	z10-15	nircam8	F410M	0.3559265	4.400238e-05	0.013399434372259086	2.1082806769048175e-06
8922	7406.1802	2948.469	214.9986396	52.8793532	-1	z10-15	nircam8	F410M	1.616408	0.000125233	0.030612225880765443	2.107743436964772e-06
8938	2457.6106	2982.1418	215.0426397	52.9109134	-1	z10-15	nircam8	F410M	0.1212322	4.508902e-05	0.005961609011848634	2.1072061970247264e-06
11183	2998.6855	3504.4604	215.0322962	52.9103083	-1	z10-15	nircam8	F410M	1.216551	0.0001754586	0.01303725052725454	2.1115003548395903e-06
12484	4132.1523	3844.9299	215.0185538	52.9049627	-1	z10-15	nircam8	F410M	0.2754181	7.963093e-05	0.007590577961568634	2.107743436964772e-06
14040	1282.4524	4331.5039	215.0389949	52.9256618	-1	z10-15	nircam8	F410M	0.1463527	3.263304e-05	0.00955772081600636	2.1104275848256355e-06
15197	8072.335	4782.1841	214.9733982	52.8850371	-1	z10-15	nircam8	F410M	0.2720497	5.944394e-05	0.01190966562470045	2.107743436964772e-06
