NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	REDSHIFT	REDSHIFT_BIN	POINTING	FILTER	SEX_FLUX	SEX_FLUXERR	EAZY_FLUX	EAZY_FLUXERR
675	1063.1985	423.542	214.8868899	52.7793512	-1	z7-8	nircam10	F444W	0.2617321	0.03665143	0.0	0.0
1081	3336.532	627.9122	214.8644737	52.766014	-1	z7-8	nircam10	F444W	0.1750199	0.04521276	0.0	0.0
1216	6499.2173	694.8171	214.8355933	52.74628	-1	z7-8	nircam10	F444W	0.6565641	0.06588989	0.0	0.0
1697	1352.772	908.4111	214.8792161	52.7801279	-1	z7-8	nircam10	F444W	0.3918974	0.03529851	0.0	0.0
3712	2157.7029	1632.9373	214.8644297	52.7789231	-1	z7-8	nircam10	F444W	0.2261126	0.08635069	0.0	0.0
3742	2195.3169	1648.1593	214.8639344	52.7787663	-1	z7-8	nircam10	F444W	0.4517863	0.04606591	0.0	0.0
3979	1445.8813	1740.2555	214.86965	52.7840237	-1	z7-8	nircam10	F444W	0.2033844	0.03331224	0.0	0.0
4941	7562.1401	2034.5925	214.8120626	52.7467456	-1	z7-8	nircam10	F444W	4.673627	0.09053311	0.0	0.0
5161	3107.9993	2135.1851	214.850683	52.7755943	-1	z7-8	nircam10	F444W	0.08853784	0.01590882	0.0	0.0
5850	6135.9707	2341.9883	214.8215329	52.7574672	-1	z7-8	nircam10	F444W	-0.05264033	0.02021976	0.0	0.0
7608	1746.3938	2904.3247	214.8547427	52.7883927	-1	z7-8	nircam10	F444W	0.4600244	0.05088529	0.0	0.0
8153	9664.3301	3078.6394	214.7823908	52.7390054	-1	z7-8	nircam10	F444W	0.8263044	0.06662448	0.0	0.0
8200	9546.3604	3098.5203	214.7832315	52.7398626	-1	z7-8	nircam10	F444W	0.3344895	0.065742	0.0	0.0
9135	9709.7617	3431.5325	214.7782802	52.7406171	-1	z7-8	nircam10	F444W	0.4467417	0.1116237	0.0	0.0
9519	4432.1802	3557.2095	214.8239447	52.7748457	-1	z7-8	nircam10	F444W	0.0504994	0.0295987	0.0	0.0
9681	964.0814	3641.2505	214.8539765	52.7973369	-1	z7-8	nircam10	F444W	-0.02267624	0.1105723	0.0	0.0
10078	7955.6567	4618.0811	214.7814228	52.758162	-1	z7-8	nircam10	F444W	1.062935	0.1422928	0.0	0.0
10891	9190.5293	4621.4019	214.7703997	52.7503271	-1	z7-8	nircam10	F444W	0.5977049	0.07114642	0.0	0.0
11520	6258.7886	4432.3804	214.7984799	52.7679507	-1	z7-8	nircam10	F444W	0.4311045	0.0566772	0.0	0.0
11661	2375.1572	4124.5552	214.8363159	52.7909767	-1	z7-8	nircam10	F444W	0.3140984	0.03212213	0.0	0.0
