NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	REDSHIFT	REDSHIFT_BIN	POINTING	FILTER	SEX_FLUX	SEX_FLUXERR	EAZY_FLUX	EAZY_FLUXERR
2115	3102.8015	1143.9528	215.0561709	52.8968797	-1	z10-15	nircam8	F814W	-0.02335283	0.009285334	-0.004772730898080665	0.0018983323684928217
2414	691.6263	1246.5665	215.076725	52.9127155	-1	z10-15	nircam8	F814W	0.0003384007	0.006826713	0.0032012649542880705	0.0018988158476207458
2819	10862.2676	1386.3751	214.9841123	52.8489886	-1	z10-15	nircam8	F814W	0.008452708	0.007159917	0.0006459447866008867	0.0018978488893648974
3126	4098.0513	1489.0	215.043621	52.8924378	-1	z10-15	nircam8	F814W	-0.007956255	0.01084782	0.00013830535719173718	0.0018968811372188552
4658	2976.3372	1863.9977	215.0497392	52.9015767	-1	z10-15	nircam8	F814W	-0.01220656	0.01024007	-0.0022833314026220386	0.0018983323684928217
4728	1175.1372	1890.6381	215.0656176	52.9131369	-1	z10-15	nircam8	F814W	0.02206608	0.009714583	0.004332270695024044	0.0018983323684928217
5721	3683.9387	2178.3008	215.0400907	52.8987914	-1	z10-15	nircam8	F814W	-0.01557293	0.01024007	-0.0030496299425781287	0.0019002654911143247
6083	3122.2625	2265.2727	215.0442134	52.9028224	-1	z10-15	nircam8	F814W	0.003591496	0.007240823	-0.00012100885169573686	0.0018992991282761218
6224	3938.0964	2300.7349	215.0365252	52.8978424	-1	z10-15	nircam8	F814W	0.0113861	0.01142328	0.0009743549307826391	0.001901231258534883
6987	4550.9619	2497.5613	215.0289623	52.8950213	-1	z10-15	nircam8	F814W	-0.02896033	0.02956053	0.004045964120316674	0.0019002654911143247
7140	1423.9026	2538.1516	215.05658	52.9150639	-1	z10-15	nircam8	F814W	-0.02432049	0.01382304	-0.00333599605905002	0.0018992991282761218
7675	3542.9976	2640.2971	215.036499	52.9021837	-1	z10-15	nircam8	F814W	0.09961805	0.01427909	0.014720955021453814	0.0018959131866002645
7789	4090.6682	2692.0071	215.0310451	52.8989912	-1	z10-15	nircam8	F814W	-0.01438602	0.008702385	-0.004406497443403517	0.001897365013291876
8814	2486.1357	2948.5991	215.0427365	52.9105512	-1	z10-15	nircam8	F814W	0.008457206	0.006826713	0.0015862489730882885	0.0018983323684928217
8922	7406.1802	2948.469	214.9986396	52.8793532	-1	z10-15	nircam8	F814W	-0.04807934	0.01942917	-0.0006468909052391523	0.0018978488893648974
8938	2457.6106	2982.1418	215.0426397	52.9109134	-1	z10-15	nircam8	F814W	-0.03190797	0.006995299	-0.008382694493503469	0.001897365013291876
11183	2998.6855	3504.4604	215.0322962	52.9103083	-1	z10-15	nircam8	F814W	-0.08546259	0.02722138	0.0017675468979932423	0.001901231258534883
12484	4132.1523	3844.9299	215.0185538	52.9049627	-1	z10-15	nircam8	F814W	-0.02807655	0.01235428	-0.006708902057927657	0.0018978488893648974
14040	1282.4524	4331.5039	215.0389949	52.9256618	-1	z10-15	nircam8	F814W	-0.005133633	0.005062826	0.006553323396680829	0.0019002654911143247
15197	8072.335	4782.1841	214.9733982	52.8850371	-1	z10-15	nircam8	F814W	0.01062558	0.009222382	0.0004152252124166134	0.0018978488893648974
