NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	REDSHIFT	REDSHIFT_BIN	POINTING	FILTER	SEX_FLUX	SEX_FLUXERR	EAZY_FLUX	EAZY_FLUXERR
958	10277.0078	678.4905	215.089293	52.9129006	-1	z7-8	nircam7	F277W	0.0002912387	7.663128e-05	4.4430469060949975e-06	1.5019576885918175e-06
998	689.4515	692.9848	215.1753255	52.9736912	-1	z7-8	nircam7	F277W	0.1680427	4.189658e-05	0.006302230179136816	1.5038743476018175e-06
1359	10364.5273	822.081	215.0869987	52.9131234	-1	z7-8	nircam7	F277W	0.3928705	7.949316e-05	0.007983602772736815	1.5065531639642269e-06
1843	3334.6228	1008.3906	215.1482085	52.9586563	-1	z7-8	nircam7	F277W	0.2128343	4.85974e-05	0.006538862462678634	1.5038743476018175e-06
2308	2381.7744	1199.5356	215.1547713	52.9657245	-1	z7-8	nircam7	F277W	-0.02098998	3.436355e-05	-0.002137384525842681	1.5034910157998174e-06
2820	4191.3369	1370.4683	215.1366981	52.9551936	-1	z7-8	nircam7	F277W	0.09409838	4.189658e-05	0.003732486134401816	1.5050228409239537e-06
4316	2933.6445	1716.5439	215.1443719	52.965032	-1	z7-8	nircam7	F277W	0.1060576	6.539576e-05	0.0005674407190820452	1.5042570785702722e-06
6714	1988.8589	2385.3889	215.1458401	52.9746377	-1	z7-8	nircam7	F277W	0.5854656	9.091741e-05	0.00826250369620136	1.5027246526125902e-06
8044	4031.7251	2714.7156	215.1240019	52.963486	-1	z7-8	nircam7	F277W	0.08811274	5.733447e-05	0.003161378828608635	1.505788302860863e-06
8191	4029.9971	2761.7026	215.1235234	52.9637514	-1	z7-8	nircam7	F277W	0.08090118	2.396809e-05	0.0017843927149707266	1.5019576885918175e-06
8243	721.7584	2775.0002	215.1531463	52.9847709	-1	z7-8	nircam7	F277W	0.1468407	5.41865e-05	0.005855672663148633	1.5046401099554992e-06
9004	9744.3789	2976.4863	215.0699235	52.9287132	-1	z7-8	nircam7	F277W	1.042846	7.989363e-05	0.02468993872498999	1.5023413208105904e-06
9657	10838.999	3153.0935	215.0582419	52.9227316	-1	z7-8	nircam7	F277W	-0.04405409	3.994682e-05	-0.0023288987163724534	1.5015740563730448e-06
11711	4261.9868	3654.02	215.1120542	52.9671147	-1	z7-8	nircam7	F277W	0.077655	4.034431e-05	0.0015293394757588178	1.5031079844145905e-06
12315	3074.6379	3783.8662	215.1213662	52.975338	-1	z7-8	nircam7	F277W	0.04437604	2.58885e-05	0.0008529868615593178	1.5034910157998174e-06
12905	3169.3682	3929.7971	215.1189793	52.9755284	-1	z7-8	nircam7	F277W	0.05007324	3.789688e-05	0.0024078593596657716	1.5034910157998174e-06
13770	4689.7471	4225.3452	215.1021996	52.9674987	-1	z7-8	nircam7	F277W	0.08299705	3.747344e-05	0.003756258113627726	1.5046401099554992e-06
13889	10283.1572	4281.4468	215.0513666	52.9323593	-1	z7-8	nircam7	F277W	2.610997	0.0001367559	0.016986213230229082	1.5046401099554992e-06
14498	10104.6582	4501.1499	215.0506583	52.9346793	-1	z7-8	nircam7	F277W	0.07249006	4.726571e-05	0.0026908732891657264	1.5050228409239537e-06
14526	3957.8804	4510.4092	215.1057812	52.9736782	-1	z7-8	nircam7	F277W	0.05477947	3.436355e-05	0.002916096945346453	1.5027246526125902e-06
