NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	REDSHIFT	REDSHIFT_BIN	POINTING	FILTER	SEX_FLUX	SEX_FLUXERR	EAZY_FLUX	EAZY_FLUXERR
1015	7856.7808	705.0	215.0181751	52.8643672	-1	z7-8	nircam8	F814W	0.02565698	0.006565722	0.002723537560816696	0.0018959131866002645
1158	6842.792	745.2601	215.0268351	52.8710143	-1	z7-8	nircam8	F814W	0.03302917	0.00947168	0.005732466737892595	0.001897365013291876
1553	2210.7615	927.0323	215.0664514	52.9013595	-1	z7-8	nircam8	F814W	0.01676672	0.009222382	0.002626448759585993	0.0018992991282761218
2553	3757.6243	1295.8895	215.0487024	52.8935511	-1	z7-8	nircam8	F814W	0.03040285	0.007632497	0.006290904977899964	0.0018968811372188552
4012	7910.5786	1709.1863	215.0071444	52.8694551	-1	z7-8	nircam8	F814W	-0.008651266	0.008769072	-0.0020179081094582616	0.0018978488893648974
5038	9405.5947	1970.0823	214.9910175	52.8613833	-1	z7-8	nircam8	F814W	-0.02263173	0.01137216	-0.0020229671747172065	0.001896397261145834
6415	2803.5342	2359.9871	215.0460765	52.9053552	-1	z7-8	nircam8	F814W	0.002303857	0.00778365	0.0017445740974600002	0.0018968811372188552
7357	4055.9504	2577.4817	215.03256	52.898592	-1	z7-8	nircam8	F814W	0.02237505	0.008900945	0.0015595254383352134	0.0018988158476207458
8453	3366.2229	2850.3972	215.0358758	52.9044407	-1	z7-8	nircam8	F814W	0.01005741	0.004038738	0.000875752974842866	0.0018968811372188552
8818	7737.1235	2936.9644	214.9957966	52.877192	-1	z7-8	nircam8	F814W	0.06510716	0.02256433	0.00850717250641461	0.001897365013291876
10027	2985.5723	3245.4807	215.0351364	52.9089908	-1	z7-8	nircam8	F814W	-0.005751533	0.02322588	0.00014737358777579815	0.0018988158476207458
10189	3297.343	3290.1775	215.0318707	52.9072559	-1	z7-8	nircam8	F814W	0.009541123	0.005062826	0.0015442198308195582	0.0018988158476207458
10525	2561.6843	3375.4102	215.0375721	52.9123808	-1	z7-8	nircam8	F814W	-0.006980314	0.003891825	0.0009165700452584626	0.001897365013291876
11981	8660.168	3714.1143	214.9793633	52.8755367	-1	z7-8	nircam8	F814W	0.004703004	0.005812737	0.004084215734571537	0.0018978488893648974
12041	6965.2349	3732.842	214.9943448	52.8863896	-1	z7-8	nircam8	F814W	0.02534945	0.00947168	0.0015349737886793777	0.0018997824089314974
12777	3558.3484	3909.6753	215.0230176	52.9089512	-1	z7-8	nircam8	F814W	0.0001377218	0.003891825	0.0021297910544473696	0.0018988158476207458
12959	3470.7715	3964.9731	215.0232214	52.9098055	-1	z7-8	nircam8	F814W	0.00197035	0.008077475	-0.0008902061427631046	0.0018978488893648974
13112	2752.3569	4018.1973	215.0291041	52.9146483	-1	z7-8	nircam8	F814W	0.001984454	0.003739145	0.0014903744269087514	0.0018988158476207458
14215	969.6344	4403.7856	215.0410415	52.9280358	-1	z7-8	nircam8	F814W	-0.1570437	0.03703138	-0.002874785551057241	0.0018978488893648974
15599	4936.6572	4931.0156	214.999923	52.9057323	-1	z7-8	nircam8	F814W	-0.01431319	0.0095939	-0.001930555379089761	0.0018978488893648974
