NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	REDSHIFT	REDSHIFT_BIN	POINTING	FILTER	SEX_FLUX	SEX_FLUXERR	EAZY_FLUX	EAZY_FLUXERR
1213	4178.8394	664.3421	214.8309622	52.8482864	-1	z7-8	nircam3	F277W	1.024706	0.02818274	0.02344464290684036	0.0005909751931601495
2183	10253.3916	1100.3251	214.7722041	52.8120175	-1	z7-8	nircam3	F277W	0.2278333	0.03085666	0.005414586274363421	0.0005909751931601495
2241	2107.0117	1146.351	214.8443873	52.8640506	-1	z7-8	nircam3	F277W	0.6170823	0.03187894	0.007178084946850473	0.0005912761381630928
2321	2109.5361	1187.4635	214.843932	52.8642562	-1	z7-8	nircam3	F277W	2.644742	0.0601753	0.014021640389530948	0.0005914266106645645
3319	9540.7832	1539.5801	214.7739319	52.8189149	-1	z7-8	nircam3	F277W	8.096513	0.08630952	0.02047294315427328	0.0005909751931601495
3558	9395.3184	1613.4814	214.7744505	52.8202379	-1	z7-8	nircam3	F277W	5.666391	0.08413878	0.016571227232430725	0.0005924793174862376
3806	6533.7065	1702.5698	214.7990251	52.8389132	-1	z7-8	nircam3	F277W	0.04598316	0.01154123	0.0004060808305135053	0.0005905231749671059
4118	2183.6602	1784.8427	214.836982	52.8670059	-1	z7-8	nircam3	F277W	1.394047	0.04220111	0.028809287928619542	0.0005909751931601495
4584	7616.6738	1944.7245	214.7868191	52.8333322	-1	z7-8	nircam3	F277W	0.1057134	0.01706068	0.003109479703315811	0.0005918780281689795
5100	8559.4023	2108.8333	214.7766876	52.8282215	-1	z7-8	nircam3	F277W	0.46413	0.02979933	0.010549056423981237	0.0005908244203143635
6863	6400.9512	2679.47	214.7899263	52.84502	-1	z7-8	nircam3	F277W	0.08846221	0.01844993	0.0019287361004504285	0.0005911256656616213
7029	7797.252	2769.1973	214.7765308	52.8366246	-1	z7-8	nircam3	F277W	-0.04618556	0.01632177	-0.00060273367306557	0.0005911256656616213
7041	6793.6016	2731.1736	214.7858802	52.8428019	-1	z7-8	nircam3	F277W	0.06588572	0.01439444	0.0022378765986984643	0.0005906736474685776
7755	2097.5002	2969.2261	214.8252819	52.8739378	-1	z7-8	nircam3	F277W	0.1149613	0.01691548	0.003581041300891893	0.0005906736474685776
9528	2638.2485	3578.6418	214.8140359	52.8737852	-1	z7-8	nircam3	F277W	0.02581265	0.01790717	0.002058891810780276	0.0005911256656616213
9954	8276.7451	3715.5518	214.7622931	52.8386713	-1	z7-8	nircam3	F277W	0.1801896	0.01818058	0.0063555890386565225	0.0005914266106645645
10467	2746.4727	3821.4976	214.810512	52.874406	-1	z7-8	nircam3	F277W	0.09495115	0.01858315	0.0020162402150487595	0.0005921786728276086
11511	3299.1414	4188.0493	214.8017176	52.8728677	-1	z7-8	nircam3	F277W	0.1710372	0.01974167	0.007140208525372247	0.0005915770831660362
11872	3284.4456	4061.2224	214.8031846	52.8722778	-1	z7-8	nircam3	F277W	0.07778312	0.01196105	0.0014628783417474974	0.0005914266106645645
12086	4452.9634	4453.6621	214.7886223	52.8669629	-1	z7-8	nircam3	F277W	0.06619969	0.01295119	0.002725562180788531	0.0005912761381630928
