NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	REDSHIFT	REDSHIFT_BIN	POINTING	FILTER	SEX_FLUX	SEX_FLUXERR	EAZY_FLUX	EAZY_FLUXERR
837	4458.7729	635.9829	215.1420124	52.9495211	-1	z10-15	nircam7	F410M	-0.02875893	5.559409e-05	-0.004428672983811362	2.383068476054636e-06
2600	3808.4224	1287.2474	215.1410163	52.9571673	-1	z10-15	nircam7	F410M	0.3526613	7.37539e-05	0.00996805107167863	2.383068476054636e-06
2739	1875.9723	1330.6472	215.1579442	52.969637	-1	z10-15	nircam7	F410M	0.5424356	7.901405e-05	0.017598003830635447	2.383068476054636e-06
2903	2766.0532	1395.7858	215.1492512	52.9643551	-1	z10-15	nircam7	F410M	0.1459875	5.390048e-05	0.006691783407256817	2.383068476054636e-06
4009	4466.7314	1662.2167	215.1311552	52.9550302	-1	z10-15	nircam7	F410M	0.2062763	6.240421e-05	0.006176457111614998	2.3824614735762263e-06
5136	8615.2256	1920.8367	215.0911584	52.9301542	-1	z10-15	nircam7	F410M	0.6901169	6.140568e-05	0.025726963922828628	2.383068476054636e-06
6181	8043.0371	2236.9392	215.0929749	52.9354905	-1	z10-15	nircam7	F410M	0.3795763	0.0001025104	0.010621650822035906	2.383068476054636e-06
6382	4150.9917	2302.5107	215.1272633	52.960498	-1	z10-15	nircam7	F410M	0.1544793	6.671291e-05	0.006785388319025906	2.3794254352644992e-06
6647	916.0023	2359.8386	215.1557635	52.9812914	-1	z10-15	nircam7	F410M	0.1589931	0.0001179329	0.014535295026913175	2.383068476054636e-06
6657	4859.0439	2373.123	215.1201547	52.9563963	-1	z10-15	nircam7	F410M	0.2856295	8.790198e-05	0.010522290500851815	2.3818548130710444e-06
7326	3670.406	2544.8438	215.1290372	52.964854	-1	z10-15	nircam7	F410M	0.159873	4.516486e-05	0.01038642453765636	2.383068476054636e-06
7447	1544.8872	2575.9514	215.1478313	52.9784811	-1	z10-15	nircam7	F410M	0.09285113	8.929734e-05	0.006857308708453634	2.3824614735762263e-06
8564	1721.884	2869.2588	215.1431544	52.9789497	-1	z10-15	nircam7	F410M	0.1587617	4.717315e-05	0.004886226322437725	2.386100068714408e-06
9387	10016.3838	3097.1113	215.0662137	52.9276422	-1	z10-15	nircam7	F410M	0.1350545	0.0001106309	0.005914030276738179	2.3800331216893623e-06
10442	7426.4863	3342.5056	215.0868902	52.9453814	-1	z10-15	nircam7	F410M	0.08310375	6.435482e-05	0.005496036401042725	2.388522607056408e-06
12450	3956.7974	3811.5444	215.1131417	52.9699007	-1	z10-15	nircam7	F410M	0.2662433	6.899046e-05	0.010160732466853178	2.3806404661409994e-06
15129	9697.9971	4751.562	215.0516749	52.9386116	-1	z10-15	nircam7	F410M	0.3041814	9.661224e-05	0.012160263605645904	2.3836751365598174e-06
15421	6567.2085	4864.2954	215.0786055	52.9590628	-1	z10-15	nircam7	F410M	0.6642465	7.291097e-05	0.026843841643636807	2.3788177488396354e-06
15689	1338.7832	4935.418	215.1248689	52.9925683	-1	z10-15	nircam7	F410M	0.264006	5.614728e-05	0.009320634197270451	2.3818548130710444e-06
15859	10820.7266	5008.6558	215.0388945	52.9328854	-1	z10-15	nircam7	F410M	0.499603	7.205818e-05	0.020062977630407722	2.383068476054636e-06
