NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	REDSHIFT	REDSHIFT_BIN	POINTING	FILTER	SEX_FLUX	SEX_FLUXERR	EAZY_FLUX	EAZY_FLUXERR
2812	6480.645	1363.1951	215.1161951	52.9406565	-1	z8-10	nircam7	F606W	0.04038768	0.01381464	0.0052098539794279775	0.0018133218114290718
3680	3626.0867	1594.6432	215.1394251	52.9599872	-1	z8-10	nircam7	F606W	-0.00466111	0.01000575	0.0031180236916678906	0.0018128601932523832
4359	10550.9219	1729.957	215.0757858	52.9168563	-1	z8-10	nircam7	F606W	-0.05183021	0.01705754	-0.007095814129762799	0.0018128601932523832
5276	2561.3525	1957.9025	215.1451837	52.9686968	-1	z8-10	nircam7	F606W	0.003556909	0.01723997	-0.0021583923894127827	0.001814246204720235
6140	5037.3218	2221.8511	215.1201423	52.954448	-1	z8-10	nircam7	F606W	0.06771088	0.02868486	0.00015933092665054594	0.0018133218114290718
6737	9990.3877	2395.0469	215.0738271	52.9240077	-1	z8-10	nircam7	F606W	0.1254292	0.02745891	0.006817594887878334	0.0018133218114290718
6870	7911.1704	2435.6086	215.0920709	52.9374014	-1	z8-10	nircam7	F606W	-0.003915397	0.009019065	-0.0033647314190699824	0.0018128601932523832
8702	1208.3612	2901.5193	215.1474363	52.9823758	-1	z8-10	nircam7	F606W	-0.001208522	0.01846665	6.751689926888189e-05	0.0018123985750756943
9883	9984.9609	3188.5007	215.065535	52.9283358	-1	z8-10	nircam7	F606W	-0.05775799	0.03193623	0.0040230162930947454	0.00181378342960576
10370	4330.2544	3327.5481	215.1148737	52.9649143	-1	z8-10	nircam7	F606W	-0.001148162	0.01199648	-0.0044111168581601095	0.001814246204720235
10978	9488.8945	3474.4797	215.0669815	52.9330271	-1	z8-10	nircam7	F606W	0.06237563	0.01696558	0.006029538616252545	0.0018165519817281062
11155	7217.4946	3519.7585	215.0869038	52.947665	-1	z8-10	nircam7	F606W	0.04776588	0.02001151	-0.001075302520586979	0.00181378342960576
11187	4994.6606	3533.0457	215.1067395	52.9618188	-1	z8-10	nircam7	F606W	0.008619778	0.01630738	0.001505856339247583	0.00181378342960576
12460	8831.8926	3823.9404	215.0692058	52.9390817	-1	z8-10	nircam7	F606W	-0.08265625	0.02927859	-0.005035658484712942	0.0018151682841358258
13852	2850.2766	4261.1064	215.1183645	52.9793436	-1	z8-10	nircam7	F606W	0.004776444	0.02016724	0.0017814620586730535	0.0018170135999047942
14185	8507.8789	4375.8379	215.0663115	52.9441216	-1	z8-10	nircam7	F606W	-0.04622549	0.01921391	-0.0018759294997285818	0.0018128601932523832
14959	10285.9678	4684.9897	215.0470976	52.9345245	-1	z8-10	nircam7	F606W	0.00795719	0.02070309	0.003955775068961557	0.0018133218114290718
15040	6563.9771	4719.4883	215.0801577	52.9582996	-1	z8-10	nircam7	F606W	-0.01542152	0.02513914	-0.00035336535913555757	0.001811474181784531
15548	1180.8989	4917.8701	215.1264742	52.9934731	-1	z8-10	nircam7	F606W	0.01247428	0.01447812	0.0020833499337873347	0.0018165519817281062
15582	8583.3105	4915.812	215.059955	52.9465653	-1	z8-10	nircam7	F606W	-0.05415276	0.0174205	-0.0034695303145561604	0.0018119357999612196
