NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	REDSHIFT	REDSHIFT_BIN	POINTING	FILTER	SEX_FLUX	SEX_FLUXERR	EAZY_FLUX	EAZY_FLUXERR
114	3918.3921	1763.4038	214.9302198	52.9105973	-1	z8-10	nircam2	F277W	-0.06295309	0.02002862	0.0008800586980982491	0.0005605851540605309
904	10246.46	1958.4879	214.8715642	52.8714677	-1	z8-10	nircam2	F277W	0.3791012	0.02416381	0.010866562412415879	0.0005624466881206534
1401	4437.2632	2181.6448	214.9211723	52.9095615	-1	z8-10	nircam2	F277W	0.2394989	0.0155141	0.006988390481372453	0.0005620177964398119
1695	10096.1455	2292.9661	214.8693874	52.8742267	-1	z8-10	nircam2	F277W	0.8043087	0.02728274	0.013485654936534362	0.0005620177964398119
1703	10133.8125	2299.707	214.8689798	52.8740238	-1	z8-10	nircam2	F277W	1.742135	0.03927063	0.01720529612815306	0.0005614450398324138
1708	337.7458	2300.0093	214.9566448	52.9362203	-1	z8-10	nircam2	F277W	0.241057	0.02559697	0.005762754413846452	0.0005618745322018839
2717	10336.8486	2699.9954	214.8629525	52.874893	-1	z8-10	nircam2	F277W	-1.414842e-06	0.03000582	1.7535155278235468e-08	0.0005617312679639558
3123	6485.1489	2835.0723	214.8959679	52.9000856	-1	z8-10	nircam2	F277W	0.1901561	0.02331899	0.003148704670765311	0.0005618745322018839
4445	8176.9507	3332.6409	214.875599	52.8920255	-1	z8-10	nircam2	F277W	0.048994	0.0177893	0.0016221106854904651	0.0005620177964398119
4525	9600.5508	3362.1416	214.8625624	52.8831416	-1	z8-10	nircam2	F277W	0.03254566	0.01791414	0.0012288290279314806	0.0005623037242270396
5541	6886.3892	3714.9934	214.8831144	52.9022852	-1	z8-10	nircam2	F277W	0.03400827	0.03462629	0.00048665810419079613	0.0005608719828807014
6058	8983.5127	3879.0076	214.8626358	52.8898491	-1	z8-10	nircam2	F277W	0.2932986	0.01957848	0.006583655493731391	0.0005611585113565575
7232	3497.5911	4230.1987	214.9080142	52.926585	-1	z8-10	nircam2	F277W	0.05465494	0.02824596	0.0007311837280344239	0.0005604415894782885
8656	7870.3267	4780.4473	214.8630952	52.9017825	-1	z8-10	nircam2	F277W	0.1788655	0.02416381	0.005197452352329608	0.0005618745322018839
8746	622.021	4877.1577	214.9269548	52.9483332	-1	z8-10	nircam2	F277W	16.85802	0.1260195	0.018276804503902185	0.0005621607603334258
8831	6646.2759	4841.3608	214.8734002	52.9098866	-1	z8-10	nircam2	F277W	0.3478438	0.03215687	0.011126002834564061	0.000561588304070342
11539	2893.5154	5892.5518	214.8959104	52.939392	-1	z8-10	nircam2	F277W	0.2376335	0.0322261	0.005578898641838708	0.0005617315683082701
11651	7394.9893	6255.8594	214.8518035	52.9127589	-1	z8-10	nircam2	F277W	-0.0005789374	0.02283614	-1.1729397565465435e-05	0.000561588304070342
12075	2400.6907	6098.1201	214.8981573	52.9436308	-1	z8-10	nircam2	F277W	0.08126765	0.02800826	0.002896767149933026	0.0005627326159078809
13106	8888.2646	5718.0898	214.8441188	52.9003713	-1	z8-10	nircam2	F277W	0.2663336	0.02985691	0.009195810064189205	0.0005627326159078809
