NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	REDSHIFT	REDSHIFT_BIN	POINTING	FILTER	SEX_FLUX	SEX_FLUXERR	EAZY_FLUX	EAZY_FLUXERR
1015	7856.7808	705.0	215.0181751	52.8643672	-1	z7-8	nircam8	F410M	0.08896866	4.232013e-05	0.007590625837820453	2.105594135231363e-06
1158	6842.792	745.2601	215.0268351	52.8710143	-1	z7-8	nircam8	F410M	-0.05096719	6.105082e-05	-0.001150134617160454	2.1072061970247264e-06
1553	2210.7615	927.0323	215.0664514	52.9013595	-1	z7-8	nircam8	F410M	0.2997827	5.944394e-05	0.010233514628813632	2.1093544728384535e-06
2553	3757.6243	1295.8895	215.0487024	52.8935511	-1	z7-8	nircam8	F410M	0.2400122	4.919615e-05	0.00755862398321227	2.1066692990579085e-06
4012	7910.5786	1709.1863	215.0071444	52.8694551	-1	z7-8	nircam8	F410M	0.2917524	5.652208e-05	0.009352229103738178	2.107743436964772e-06
5038	9405.5947	1970.0823	214.9910175	52.8613833	-1	z7-8	nircam8	F410M	-0.0233515	7.330062e-05	-0.0011378406796399994	2.106131375171408e-06
6415	2803.5342	2359.9871	215.0460765	52.9053552	-1	z7-8	nircam8	F410M	0.2006191	5.017043e-05	0.009153631571731815	2.1066692990579085e-06
7357	4055.9504	2577.4817	215.03256	52.898592	-1	z7-8	nircam8	F410M	0.03237649	5.737208e-05	-0.001430097155185363	2.1088175748716355e-06
8453	3366.2229	2850.3972	215.0358758	52.9044407	-1	z7-8	nircam8	F410M	0.1811462	2.603216e-05	0.005186755814297271	2.1066692990579085e-06
8818	7737.1235	2936.9644	214.9957966	52.877192	-1	z7-8	nircam8	F410M	1.175416	0.000145441	0.02394084801597999	2.1072061970247264e-06
10027	2985.5723	3245.4807	215.0351364	52.9089908	-1	z7-8	nircam8	F410M	0.7971984	0.0001497051	0.010607373439797268	2.1088175748716355e-06
10189	3297.343	3290.1775	215.0318707	52.9072559	-1	z7-8	nircam8	F410M	0.5261326	3.263304e-05	0.01559566509164681	2.1088175748716355e-06
10525	2561.6843	3375.4102	215.0375721	52.9123808	-1	z7-8	nircam8	F410M	-0.02789403	2.508522e-05	-0.00613177147000727	2.1072061970247264e-06
11981	8660.168	3714.1143	214.9793633	52.8755367	-1	z7-8	nircam8	F410M	0.350397	3.746667e-05	0.014166323013347267	2.107743436964772e-06
12041	6965.2349	3732.842	214.9943448	52.8863896	-1	z7-8	nircam8	F410M	0.2931217	6.105082e-05	0.009377210247990451	2.1098910288320447e-06
12777	3558.3484	3909.6753	215.0230176	52.9089512	-1	z7-8	nircam8	F410M	-0.02626646	2.508522e-05	-0.006279469706866362	2.1088175748716355e-06
12959	3470.7715	3964.9731	215.0232214	52.9098055	-1	z7-8	nircam8	F410M	0.1930798	5.206432e-05	0.0070843720918981785	2.107743436964772e-06
13112	2752.3569	4018.1973	215.0291041	52.9146483	-1	z7-8	nircam8	F410M	0.113503	2.41011e-05	0.006087626146098634	2.1088175748716355e-06
14215	969.6344	4403.7856	215.0410415	52.9280358	-1	z7-8	nircam8	F410M	2.485286	0.0002386901	0.014748132324103177	2.107743436964772e-06
15599	4936.6572	4931.0156	214.999923	52.9057323	-1	z7-8	nircam8	F410M	0.392565	6.183861e-05	0.01726803386363999	2.107743436964772e-06
