source_number	filter	x_image	y_image	sex_flux_ujy	nmad_error_ujy	redshift_bin	pointing
689	F606W	10306.8223	306.6112	-0.0009038290690952857	0.0027636892328735045	z8-10	nircam1
1172	F606W	2871.3633	507.8744	-0.0027626910755207006	0.0028842158939949318	z8-10	nircam1
1961	F606W	1083.0402	832.3328	0.006566291803589508	0.0022075971548947246	z8-10	nircam1
2139	F606W	6017.1992	911.6215	0.0017390290514890728	0.0019571330654177704	z8-10	nircam1
3787	F606W	2404.2234	1581.7689	0.0030357353346875536	0.0021761241032230514	z8-10	nircam1
4051	F606W	6704.687	1668.6047	-0.0037037014641071292	0.002525591150756666	z8-10	nircam1
4069	F606W	189.9657	1668.652	0.0018170170707181529	0.00230142506183359	z8-10	nircam1
5412	F606W	3607.7297	2189.0105	0.0032270060741889216	0.0018500342389935497	z8-10	nircam1
5434	F606W	3618.6643	2203.2681	0.0016054837228295054	0.001952467957713841	z8-10	nircam1
5915	F606W	9999.5273	2387.4946	-0.0014457835016376084	0.0023829607583094217	z8-10	nircam1
6015	F606W	3036.3303	2418.105	0.0035411054276364064	0.002247850811337497	z8-10	nircam1
6273	F606W	10005.3359	2525.5527	0.0013420420472880052	0.0024687281297466777	z8-10	nircam1
7688	F606W	4231.7261	3134.229	0.008729429951801228	0.0025537618627108102	z8-10	nircam1
7948	F606W	8794.3799	3154.5437	0.003490616662647205	0.0023418708640100677	z8-10	nircam1
9169	F606W	10448.7686	4016.8145	0.01168413452088203	0.0038357710029994084	z8-10	nircam1
9212	F606W	8400.8086	3666.4292	0.0016937650175422917	0.002651362594440337	z8-10	nircam1
10116	F606W	4511.686	4540.793	-0.004479086953098598	0.0024732954319440486	z8-10	nircam1
10263	F606W	7263.0215	4577.7148	-0.004347008621551915	0.002769062263751133	z8-10	nircam1
10524	F606W	4575.8403	3950.3643	0.0005343001321489095	0.00223333567041635	z8-10	nircam1
11772	F606W	1458.6284	4475.437	0.00041191913743226854	0.0034798642073327825	z8-10	nircam1
689	F814W	10306.8223	306.6112	0.0014972151802347632	0.002332686476015388	z8-10	nircam1
1172	F814W	2871.3633	507.8744	-7.349400757800201e-05	0.003060168063225583	z8-10	nircam1
1961	F814W	1083.0402	832.3328	-0.000761719778264295	0.003054739251613665	z8-10	nircam1
2139	F814W	6017.1992	911.6215	-0.0015291460392404448	0.0031007909005323422	z8-10	nircam1
3787	F814W	2404.2234	1581.7689	0.005738657096677473	0.003588371165169714	z8-10	nircam1
4051	F814W	6704.687	1668.6047	0.00048695993947826333	0.0023979446862715725	z8-10	nircam1
4069	F814W	189.9657	1668.652	-0.0004736450116231504	0.00274834503194234	z8-10	nircam1
5412	F814W	3607.7297	2189.0105	0.001148594179503428	0.0022019148758243385	z8-10	nircam1
5434	F814W	3618.6643	2203.2681	0.001338856712474919	0.0027869759839430114	z8-10	nircam1
5915	F814W	9999.5273	2387.4946	0.00862632153140097	0.002685945823453387	z8-10	nircam1
6015	F814W	3036.3303	2418.105	0.0008977266645674174	0.003204264731394985	z8-10	nircam1
6273	F814W	10005.3359	2525.5527	0.0008098410354064387	0.0034773049112212053	z8-10	nircam1
7688	F814W	4231.7261	3134.229	0.012163554861459303	0.0038183823829725234	z8-10	nircam1
7948	F814W	8794.3799	3154.5437	-0.0025867562346296815	0.0035945604722344192	z8-10	nircam1
9169	F814W	10448.7686	4016.8145	0.009987603061702974	0.009688740808065154	z8-10	nircam1
9212	F814W	8400.8086	3666.4292	-0.0018654444748587122	0.0030216443083065617	z8-10	nircam1
10116	F814W	4511.686	4540.793	0.004204732235416435	0.004201680811908045	z8-10	nircam1
10263	F814W	7263.0215	4577.7148	0.00793494637846927	0.00539474956045063	z8-10	nircam1
10524	F814W	4575.8403	3950.3643	0.0014304793812498903	0.0028047895384238804	z8-10	nircam1
11772	F814W	1458.6284	4475.437	0.005225798077412224	0.004869786579574756	z8-10	nircam1
689	F115W	10306.8223	306.6112	-0.0010353313329899577	0.002365959726750889	z8-10	nircam1
1172	F115W	2871.3633	507.8744	0.009056252991067396	0.0031295504133533577	z8-10	nircam1
1961	F115W	1083.0402	832.3328	0.0013230843655852277	0.002319081500364836	z8-10	nircam1
2139	F115W	6017.1992	911.6215	-0.0011963703199609338	0.0020800377920229883	z8-10	nircam1
3787	F115W	2404.2234	1581.7689	0.006355624683548516	0.004241767171124785	z8-10	nircam1
4051	F115W	6704.687	1668.6047	0.0004984827097264685	0.0016595973943274208	z8-10	nircam1
4069	F115W	189.9657	1668.652	0.0005596479573182815	0.0025375735114702837	z8-10	nircam1
5412	F115W	3607.7297	2189.0105	0.003901976636699796	0.00265208381926533	z8-10	nircam1
5434	F115W	3618.6643	2203.2681	0.010663924520500337	0.002432134177738793	z8-10	nircam1
5915	F115W	9999.5273	2387.4946	0.0003870310175133844	0.0031264017783172054	z8-10	nircam1
6015	F115W	3036.3303	2418.105	0.004322479777842893	0.002064634861809153	z8-10	nircam1
6273	F115W	10005.3359	2525.5527	0.0020823066985822436	0.0015382922659816674	z8-10	nircam1
7688	F115W	4231.7261	3134.229	0.007183477204876546	0.0031683796496151085	z8-10	nircam1
7948	F115W	8794.3799	3154.5437	0.0012628084739352671	0.001918499562808259	z8-10	nircam1
9169	F115W	10448.7686	4016.8145	0.0003854243721638844	0.003333212187072012	z8-10	nircam1
9212	F115W	8400.8086	3666.4292	0.021299284441504647	0.0022208940818358794	z8-10	nircam1
10116	F115W	4511.686	4540.793	0.005272354422101984	0.006282693215341401	z8-10	nircam1
10263	F115W	7263.0215	4577.7148	0.000566935130523651	0.0021563590854735753	z8-10	nircam1
10524	F115W	4575.8403	3950.3643	0.0070472958719621495	0.005937544996592149	z8-10	nircam1
11772	F115W	1458.6284	4475.437	0.0024922005385553604	0.002685667923548312	z8-10	nircam1
689	F150W	10306.8223	306.6112	-0.0010132922430797968	0.0028003337341294624	z8-10	nircam1
1172	F150W	2871.3633	507.8744	0.01089144411453697	0.0040114591807492795	z8-10	nircam1
1961	F150W	1083.0402	832.3328	0.008958666081505175	0.0023217558941186632	z8-10	nircam1
2139	F150W	6017.1992	911.6215	0.007140426665714275	0.003736911207290321	z8-10	nircam1
3787	F150W	2404.2234	1581.7689	0.03164859678659643	0.00463665577850417	z8-10	nircam1
4051	F150W	6704.687	1668.6047	-0.0018628082661586557	0.0021641025661392906	z8-10	nircam1
4069	F150W	189.9657	1668.652	-0.006339377069843171	0.0037703678041110487	z8-10	nircam1
5412	F150W	3607.7297	2189.0105	0.006974806677194984	0.0020746147550777254	z8-10	nircam1
5434	F150W	3618.6643	2203.2681	0.013646291167872195	0.002149365772149257	z8-10	nircam1
5915	F150W	9999.5273	2387.4946	0.013143938249615501	0.0042134775238310985	z8-10	nircam1
6015	F150W	3036.3303	2418.105	0.03154370558581062	0.0030244525596326037	z8-10	nircam1
6273	F150W	10005.3359	2525.5527	0.009025688341285807	0.0020196943408131805	z8-10	nircam1
7688	F150W	4231.7261	3134.229	0.040885689160288084	0.0023221032548928927	z8-10	nircam1
7948	F150W	8794.3799	3154.5437	0.0105201472818756	0.002052352283889227	z8-10	nircam1
9169	F150W	10448.7686	4016.8145	0.21944021705618522	0.006040601400844202	z8-10	nircam1
9212	F150W	8400.8086	3666.4292	0.028119130145970932	0.002532590779957835	z8-10	nircam1
10116	F150W	4511.686	4540.793	0.017323439471169714	0.005072329695280496	z8-10	nircam1
10263	F150W	7263.0215	4577.7148	0.004449582549987376	0.00205085325583487	z8-10	nircam1
10524	F150W	4575.8403	3950.3643	0.008032665968830502	0.003364568769232206	z8-10	nircam1
11772	F150W	1458.6284	4475.437	-0.0001614891027605401	0.002412208030933827	z8-10	nircam1
689	F200W	10306.8223	306.6112	0.002880794529645701	0.002122556029295958	z8-10	nircam1
1172	F200W	2871.3633	507.8744	0.009954555992887944	0.003481261865837112	z8-10	nircam1
1961	F200W	1083.0402	832.3328	0.007743442328159989	0.001848311476865012	z8-10	nircam1
2139	F200W	6017.1992	911.6215	0.0023469471347663307	0.0021103814032524247	z8-10	nircam1
3787	F200W	2404.2234	1581.7689	2.849218659184994e-05	0.0028165987733296135	z8-10	nircam1
4051	F200W	6704.687	1668.6047	-0.00044499086526660916	0.0016523212387036651	z8-10	nircam1
4069	F200W	189.9657	1668.652	0.003022083214240381	0.0020341981057335258	z8-10	nircam1
5412	F200W	3607.7297	2189.0105	0.008600457648422972	0.002074696913259669	z8-10	nircam1
5434	F200W	3618.6643	2203.2681	0.012680627721492341	0.0019224356311344682	z8-10	nircam1
5915	F200W	9999.5273	2387.4946	0.0065247727211966535	0.002843475752571793	z8-10	nircam1
6015	F200W	3036.3303	2418.105	0.03210730525606905	0.002721103146355585	z8-10	nircam1
6273	F200W	10005.3359	2525.5527	0.01182645562787901	0.002120926177450675	z8-10	nircam1
7688	F200W	4231.7261	3134.229	0.037477948061573695	0.0026289088483725815	z8-10	nircam1
7948	F200W	8794.3799	3154.5437	0.005724104042005097	0.0018627355259100255	z8-10	nircam1
9169	F200W	10448.7686	4016.8145	0.20989452660476557	0.005283576797463615	z8-10	nircam1
9212	F200W	8400.8086	3666.4292	0.0205242407051306	0.0023486858162092635	z8-10	nircam1
10116	F200W	4511.686	4540.793	0.014468924063577521	0.00528599188026877	z8-10	nircam1
10263	F200W	7263.0215	4577.7148	0.003305199191028217	0.001653756799929982	z8-10	nircam1
10524	F200W	4575.8403	3950.3643	0.005986685604101004	0.0022650694276332034	z8-10	nircam1
11772	F200W	1458.6284	4475.437	0.00040290670877042665	0.002340011896472457	z8-10	nircam1
689	F277W	10306.8223	306.6112	0.001812034614024623	0.002378073864444891	z8-10	nircam1
1172	F277W	2871.3633	507.8744	0.0066061572897598494	0.0025964993221342567	z8-10	nircam1
1961	F277W	1083.0402	832.3328	0.004999723676443668	0.0015739808166905982	z8-10	nircam1
2139	F277W	6017.1992	911.6215	-3.571048845554644e-05	0.0020784442710422065	z8-10	nircam1
3787	F277W	2404.2234	1581.7689	0.020071944449902294	0.0016734657016268884	z8-10	nircam1
4051	F277W	6704.687	1668.6047	0.0022584658021333657	0.0018031837320943997	z8-10	nircam1
4069	F277W	189.9657	1668.652	0.0015066619351996656	0.0017507648512841878	z8-10	nircam1
5412	F277W	3607.7297	2189.0105	0.0033272533587391144	0.0013780151820633956	z8-10	nircam1
5434	F277W	3618.6643	2203.2681	0.00832206940908688	0.0015397176524379567	z8-10	nircam1
5915	F277W	9999.5273	2387.4946	0.011021410930547109	0.0017976517970087799	z8-10	nircam1
6015	F277W	3036.3303	2418.105	0.00611054712293659	0.0012730302055277798	z8-10	nircam1
6273	F277W	10005.3359	2525.5527	0.013663963349056715	0.0015852281979108886	z8-10	nircam1
7688	F277W	4231.7261	3134.229	0.048188953751242165	0.0019334799212779132	z8-10	nircam1
7948	F277W	8794.3799	3154.5437	0.005513780991052137	0.0016324766415391065	z8-10	nircam1
9169	F277W	10448.7686	4016.8145	-3.3862800268313825e-08	0.0027133808211525466	z8-10	nircam1
9212	F277W	8400.8086	3666.4292	0.013868876260941063	0.001981542565010347	z8-10	nircam1
10116	F277W	4511.686	4540.793	8.848753198669139e-07	0.0023710289798344704	z8-10	nircam1
10263	F277W	7263.0215	4577.7148	0.005520577782885079	0.0020983247971978966	z8-10	nircam1
10524	F277W	4575.8403	3950.3643	8.256942747970881e-06	0.003652645868581634	z8-10	nircam1
11772	F277W	1458.6284	4475.437	-0.004926800076928059	0.0025285970615994127	z8-10	nircam1
689	F356W	10306.8223	306.6112	0.0035175832570009708	0.003426067043716007	z8-10	nircam1
1172	F356W	2871.3633	507.8744	0.0115116541234363	0.0019247577524344822	z8-10	nircam1
1961	F356W	1083.0402	832.3328	0.010328199234514309	0.001641855992319474	z8-10	nircam1
2139	F356W	6017.1992	911.6215	0.0033287207116387612	0.0020373266430211826	z8-10	nircam1
3787	F356W	2404.2234	1581.7689	0.01888785625501837	0.0013694888841240074	z8-10	nircam1
4051	F356W	6704.687	1668.6047	0.0050448368099824375	0.0018440397557736255	z8-10	nircam1
4069	F356W	189.9657	1668.652	0.0031018775316251452	0.0019043686216079412	z8-10	nircam1
5412	F356W	3607.7297	2189.0105	0.005967224583561268	0.0017389905154183848	z8-10	nircam1
5434	F356W	3618.6643	2203.2681	0.008003332128483576	0.0015147800949525277	z8-10	nircam1
5915	F356W	9999.5273	2387.4946	0.010314168699794509	0.00169124849945627	z8-10	nircam1
6015	F356W	3036.3303	2418.105	0.0022512891682011323	0.0012563029088433631	z8-10	nircam1
6273	F356W	10005.3359	2525.5527	0.011678542783220138	0.00147608908038607	z8-10	nircam1
7688	F356W	4231.7261	3134.229	0.052215576091862906	0.0018146948616573938	z8-10	nircam1
7948	F356W	8794.3799	3154.5437	0.005343151227216016	0.00164669287484792	z8-10	nircam1
9169	F356W	10448.7686	4016.8145	-1.385401943645076e-05	0.0034786762245906464	z8-10	nircam1
9212	F356W	8400.8086	3666.4292	0.009359045186640417	0.0017262076495522527	z8-10	nircam1
10116	F356W	4511.686	4540.793	2.949598439323899e-07	0.0023614042840544363	z8-10	nircam1
10263	F356W	7263.0215	4577.7148	0.0068225750429127315	0.0017842103178741932	z8-10	nircam1
10524	F356W	4575.8403	3950.3643	5.529423620388615e-06	0.004421982173382631	z8-10	nircam1
11772	F356W	1458.6284	4475.437	0.005561696133753643	0.0028353571643549218	z8-10	nircam1
689	F410M	10306.8223	306.6112	0.011205065760404653	0.007050795650789287	z8-10	nircam1
1172	F410M	2871.3633	507.8744	0.022183803266039786	0.0033325903613044363	z8-10	nircam1
1961	F410M	1083.0402	832.3328	-0.003832366192896547	0.002945368704836078	z8-10	nircam1
2139	F410M	6017.1992	911.6215	0.027481417465750356	0.00435154192731514	z8-10	nircam1
3787	F410M	2404.2234	1581.7689	0.018824162569456956	0.002657361657471026	z8-10	nircam1
4051	F410M	6704.687	1668.6047	0.011504466324260242	0.002889362695402016	z8-10	nircam1
4069	F410M	189.9657	1668.652	0.00389630660016402	0.004746374691656344	z8-10	nircam1
5412	F410M	3607.7297	2189.0105	0.012859762267245686	0.002848002328967375	z8-10	nircam1
5434	F410M	3618.6643	2203.2681	0.010224892343640317	0.0026824966214623654	z8-10	nircam1
5915	F410M	9999.5273	2387.4946	0.014523272717511786	0.0033105572806012423	z8-10	nircam1
6015	F410M	3036.3303	2418.105	0.002846549527483099	0.0031528029424922263	z8-10	nircam1
6273	F410M	10005.3359	2525.5527	0.023805934679349508	0.0025227234297619926	z8-10	nircam1
7688	F410M	4231.7261	3134.229	0.059305086725864965	0.003322539742555426	z8-10	nircam1
7948	F410M	8794.3799	3154.5437	0.008282518706614969	0.0029758092796248314	z8-10	nircam1
9169	F410M	10448.7686	4016.8145	3.281485155889164e-05	0.005906787752380973	z8-10	nircam1
9212	F410M	8400.8086	3666.4292	0.009567183440438895	0.002972633229622078	z8-10	nircam1
10116	F410M	4511.686	4540.793	0.029651904027237958	0.005219932475807636	z8-10	nircam1
10263	F410M	7263.0215	4577.7148	0.02691839178567295	0.004471351911298181	z8-10	nircam1
10524	F410M	4575.8403	3950.3643	0.01627675513642567	0.006306408464781951	z8-10	nircam1
11772	F410M	1458.6284	4475.437	0.02298378316526417	0.005059866271186616	z8-10	nircam1
689	F444W	10306.8223	306.6112	0.03553747522751698	0.005189441133207474	z8-10	nircam1
1172	F444W	2871.3633	507.8744	0.016164742024788622	0.0021302466227885453	z8-10	nircam1
1961	F444W	1083.0402	832.3328	0.005697617042043509	0.0021342043283736636	z8-10	nircam1
2139	F444W	6017.1992	911.6215	-1.729297126834018e-05	0.0029133809651179644	z8-10	nircam1
3787	F444W	2404.2234	1581.7689	0.017074089208069236	0.0023014390407699414	z8-10	nircam1
4051	F444W	6704.687	1668.6047	0.009902406264221782	0.0029901434656618648	z8-10	nircam1
4069	F444W	189.9657	1668.652	4.6439640657606935e-05	0.002760669008529904	z8-10	nircam1
5412	F444W	3607.7297	2189.0105	0.012452784008174856	0.0024751549042235717	z8-10	nircam1
5434	F444W	3618.6643	2203.2681	0.010814906623011301	0.002299062256962822	z8-10	nircam1
5915	F444W	9999.5273	2387.4946	0.010820015256200145	0.0027207757788689285	z8-10	nircam1
6015	F444W	3036.3303	2418.105	-0.002065885168638028	0.0019205244745476079	z8-10	nircam1
6273	F444W	10005.3359	2525.5527	0.018382988773692467	0.002197662059335192	z8-10	nircam1
7688	F444W	4231.7261	3134.229	0.053815906377440756	0.0020635765793501314	z8-10	nircam1
7948	F444W	8794.3799	3154.5437	0.008489996641444114	0.002719952802809258	z8-10	nircam1
9169	F444W	10448.7686	4016.8145	0.00010995737571963825	0.003544746781219755	z8-10	nircam1
9212	F444W	8400.8086	3666.4292	0.014046139812232619	0.002765056017162859	z8-10	nircam1
10116	F444W	4511.686	4540.793	0.0061031161108663756	0.003754473829655054	z8-10	nircam1
10263	F444W	7263.0215	4577.7148	0.004810230346886373	0.002677265204806831	z8-10	nircam1
10524	F444W	4575.8403	3950.3643	-0.010649666957167589	0.00353612267172439	z8-10	nircam1
11772	F444W	1458.6284	4475.437	0.002820955819881969	0.0026905250259383457	z8-10	nircam1
