NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,CLASS_STAR,FILTER,SEX_FLUX,SEX_FLUXERR,SEX_SNR,NMAD_FLUX,NMAD_FLUXERR,NMAD_SNR,SNR_DIFF,SNR_RATIO
1398,842.7944,841.1067,215.0796287,52.9095632,0.997,F606W,-0.1415083,0.03221574,-4.392520550513507,-0.0007570536940755558,0.003687624689273317,-0.205295754819545,-4.187224795693962,
1398,842.7944,841.1067,215.0796287,52.9095632,0.997,F814W,-0.01646656,0.01951891,-0.8436208784199528,-0.004144995967796301,0.003328790387254681,-1.245195847616816,0.4015749691968631,
1398,842.7944,841.1067,215.0796287,52.9095632,0.997,F115W,0.4022804,0.04302568,9.349774367308083,0.00877022301256278,0.0014564030388664671,6.021837896870038,3.3279364704380443,1.552644645610238
1398,842.7944,841.1067,215.0796287,52.9095632,0.997,F150W,1.275553,0.0001840091,6932.010427745148,0.028103969097790883,0.0016679376161598566,16.849532515787672,6915.160895229361,411.40669162482664
1398,842.7944,841.1067,215.0796287,52.9095632,0.997,F200W,0.9653043,0.0001409529,6848.41745008439,0.021512009596613903,0.0013885020400789055,15.49296218202994,6832.92448790236,442.0340906807201
1398,842.7944,841.1067,215.0796287,52.9095632,0.997,F277W,1.244758,9.111038e-05,13662.087678703569,0.026384415498216355,0.001521460157724391,17.34150931541898,13644.74616938815,787.8257555445938
1398,842.7944,841.1067,215.0796287,52.9095632,0.997,F356W,1.17123,0.03846565,30.448725031294156,0.02489652250977976,0.0012072248336224734,20.622937680194763,9.825787351099393,1.4764494517449658
1398,842.7944,841.1067,215.0796287,52.9095632,0.997,F410M,1.280562,0.0001258114,10178.425802431257,0.02662729051719863,0.0029249074333650383,9.103635285498436,10169.322167145758,1118.0616845058478
1398,842.7944,841.1067,215.0796287,52.9095632,0.997,F444W,1.806852,7.607669e-05,23750.40239000934,0.04100595585142953,0.0021044755129829467,19.485119022984712,23730.917270986356,1218.8995285065125
2080,9812.8047,1110.6442,214.9964008,52.8541553,0.997,F606W,0.01767584,0.03895007,0.4538076568283446,0.0018197867797782846,0.003752000098792287,0.48501778567757686,-0.031210128849232244,0.9356515786207072
2080,9812.8047,1110.6442,214.9964008,52.8541553,0.997,F814W,0.108056,0.02359911,4.578816743512785,0.0044459537860272215,0.003040306277193939,1.4623374688850854,3.1164792746277,3.1311628409574737
2080,9812.8047,1110.6442,214.9964008,52.8541553,0.997,F115W,0.154092,0.0520197,2.962185479731717,0.007864843319095446,0.0017080769909028279,4.604501647749715,-1.6423161680179983,0.6433237962200271
2080,9812.8047,1110.6442,214.9964008,52.8541553,0.997,F150W,1.479581,0.0002224741,6650.576404174689,0.025241306763352175,0.002390364059390748,10.559607715063136,6640.016796459626,629.8128286231441
