NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,CLASS_STAR,FILTER,SEX_FLUX,SEX_FLUXERR,SEX_SNR,NMAD_FLUX,NMAD_FLUXERR,NMAD_SNR,SNR_DIFF,SNR_RATIO
315,3596.1318,286.2253,214.7955491,52.7672869,0.0,F606W,0.03223004,0.02788549,1.1557996649870597,0.0010316174753307863,0.0034951674534267835,0.29515537927069924,0.8606442857163604,3.9159024234724447
315,3596.1318,286.2253,214.7955491,52.7672869,0.0,F814W,0.06926516,0.01959637,3.534591355439809,0.00638806324452261,0.004544867993660527,1.4055552886097218,2.1290360668300874,2.5147295051879337
315,3596.1318,286.2253,214.7955491,52.7672869,0.0,F115W,0.387162,0.03390141,11.420232963761684,0.009869419560301467,0.0014791077622684512,6.672549365277561,4.747683598484123,1.7115246869794618
315,3596.1318,286.2253,214.7955491,52.7672869,0.0,F150W,1.295898,0.04078567,31.773365498225232,0.025973205310946462,0.0022840948048175216,11.371334174117823,20.40203132410741,2.794163377112271
315,3596.1318,286.2253,214.7955491,52.7672869,0.0,F200W,0.9164376,0.0344472,26.604124573259945,0.01861715651754787,0.0015153750958727468,12.285510411417794,14.31861416184215,2.1654879351642444
315,3596.1318,286.2253,214.7955491,52.7672869,0.0,F277W,0.7138224,0.02884504,24.746798756389314,0.01704437992576454,0.0016153702744137678,10.551376483605344,14.19542227278397,2.3453621235902937
315,3596.1318,286.2253,214.7955491,52.7672869,0.0,F356W,0.6119959,0.0309191,19.79345776558826,0.016935981470545446,0.0014296877508370826,11.845930316343148,7.947527449245113,1.670907833914941
315,3596.1318,286.2253,214.7955491,52.7672869,0.0,F410M,0.6406401,0.06962787,9.200914806097042,0.019942572276817266,0.0030603958321627042,6.516337549291575,2.6845772568054675,1.4119763957128528
315,3596.1318,286.2253,214.7955491,52.7672869,0.0,F444W,0.492253,0.05760682,8.545047270444714,0.016338217376865676,0.0024424751191430443,6.689205244636444,1.8558420258082702,1.2774383440090027
1669,8624.748,880.4338,214.744565,52.7385064,0.009,F606W,0.1267079,0.03298053,3.8419000543654094,0.006124936235288167,0.003715983225836754,1.6482679988171829,2.1936320555482265,2.3308709852538563
1669,8624.748,880.4338,214.744565,52.7385064,0.009,F814W,0.1058024,0.02317687,4.564999501658335,0.004729533347919451,0.006698820772363401,0.7060247629600085,3.8589747386983264,6.465778172594933
1669,8624.748,880.4338,214.744565,52.7385064,0.009,F115W,0.3526058,0.04009563,8.794120456518579,0.01000334313316579,0.0017500157443551417,5.716144649231081,3.0779758072874976,1.5384705944594208
1669,8624.748,880.4338,214.744565,52.7385064,0.009,F150W,1.259617,0.04823774,26.11268687131694,0.023715782355042056,0.0020697039726581537,11.458538355407175,14.654148515909764,2.2788846239707885
1669,8624.748,880.4338,214.744565,52.7385064,0.009,F200W,0.7861818,0.04074115,19.296995789269573,0.017950193594915936,0.0015103911812055714,11.8844666324047,7.412529156864872,1.6237157616020856
1669,8624.748,880.4338,214.744565,52.7385064,0.009,F277W,0.4819096,0.0341154,14.125866910544799,0.010238795435587722,0.0015448025628293316,6.627899048040934,7.497967862503865,2.131273697465278
1669,8624.748,880.4338,214.744565,52.7385064,0.009,F356W,0.5557275,0.03656841,15.196928168328894,0.012861674553349994,0.0014114492438817325,9.112388992450155,6.084539175878739,1.667721623925398
1669,8624.748,880.4338,214.744565,52.7385064,0.009,F410M,0.4005262,0.08234976,4.863720307138721,0.010528199798219085,0.002578140092690445,4.083641470092601,0.78007883704612,1.1910253000316482
1669,8624.748,880.4338,214.744565,52.7385064,0.009,F444W,0.8376691,0.06813232,12.294739119407648,0.015308623107026131,0.002073892478682032,7.381589578238324,4.913149541169324,1.6655950576897134
1843,617.067,934.1207,214.8152765,52.7897159,0.0,F606W,0.03271673,0.01850715,1.767788665461727,0.004105946750546417,0.0028142835001949587,1.4589669982650926,0.3088216671966344,1.2116714549156113
1843,617.067,934.1207,214.8152765,52.7897159,0.0,F814W,0.004699924,0.01300579,0.3613716660041413,-0.0010659837522066114,0.0030471728303775214,-0.34982713864462495,0.7111988046487663,
1843,617.067,934.1207,214.8152765,52.7897159,0.0,F115W,0.262045,0.02249982,11.646537616745377,0.006727103999999973,0.0015099370898121766,4.455221376697732,7.1913162400476445,2.6141321905260613
1843,617.067,934.1207,214.8152765,52.7897159,0.0,F150W,0.6902984,0.02706879,25.501634908690047,0.01736254989640358,0.0019460420840683348,8.921980690215074,16.57965421847497,2.858292995036207
1843,617.067,934.1207,214.8152765,52.7897159,0.0,F200W,0.406193,0.02286205,17.767129369413507,0.010745211902581228,0.0019310111806590863,5.5645518835958825,12.202577485817624,3.1929128779965956
