pointing,source_id,filter,x_image,y_image,flux_ujy,sex_snr,nmad_snr,local_rms_snr,weighted_rms_snr,global_stats_snr,sex_flux,nmad_flux,nmad_error,local_rms_error,weighted_rms_error,global_stats_error
nircam1,2858,F606W,3125.9597,1226.3113,-0.0004485033248969989,-0.36357758381505456,0,-0.3592749384589761,-0.1986852877692368,-0.008894256797498607,-0.004914031,,,0.013677633683767535,0.024732735008001328,0.5524948415456147
nircam1,2858,F814W,3125.9597,1226.3113,0.006177350957786467,3.719238833482661,0,4.640407587632002,2.3485398407091806,0.030547460898641313,0.04051471,,,0.008730851597601718,0.017251020297408104,1.3262873184265869
nircam1,2858,F115W,3125.9597,1226.3113,0.00864749835149382,15.918781476821493,0,16.428518409854902,4.056840384883317,10.851593109614846,0.4087881,,,0.024882834215578565,0.10076514631509781,0.03767079136406258
nircam1,2858,F150W,3125.9597,1226.3113,0.022735015355843574,35.31607015113363,0,26.31004088264772,9.782592212449414,2.444853711820073,1.074739,,,0.04084900532058175,0.10986240208148956,0.4395923546689057
nircam1,2858,F200W,3125.9597,1226.3113,0.01881311049946342,36.81821757223787,0,28.76292257818299,11.334414007475031,16.631666161719693,0.8893411,,,0.030919705658651517,0.07846379280090332,0.05347276041693007
nircam1,2858,F277W,3125.9597,1226.3113,0.016499695620292007,38.87221882220197,0,36.203474476027814,10.252045971840747,14.576394033303552,0.7799804,,,0.02154435206257524,0.07608046382665634,0.053509832282108476
nircam1,2858,F356W,3125.9597,1226.3113,0.0165767617120993,37.10552882316119,0,32.98590190505307,10.205695938952653,35.98563131557245,0.7836235,,,0.023756315721049234,0.0767829567193985,0.021776010906355676
nircam1,2858,F410M,3125.9597,1226.3113,0.010194497917880622,10.332341732460725,0,10.706415646159726,3.3713373766586887,4.962023631336066,0.4819185,,,0.045012123191094204,0.142945796251297,0.09712136333986776
nircam1,2858,F444W,3125.9597,1226.3113,0.019672247970193103,24.904650701916946,0,21.96605212057668,7.310980954510461,24.64683195695714,0.9299546,,,0.04233599168823175,0.1271997094154358,0.037731202193614935
nircam1,4010,F606W,2997.0005,1676.2458,-0.002073118242879607,-1.6801381145791803,0,-1.6739858372496843,-0.8956900483173924,-0.04111194945541349,-0.02271414,,,0.013568896160626273,0.025359373539686203,0.5524948415456147
nircam1,4010,F814W,2997.0005,1676.2458,-0.0013309895081024792,-0.8011532609034825,0,-0.8919829400561768,-0.4991152313656995,-0.006581842319321848,-0.008729414,,,0.009786525737196525,0.017489776015281677,1.3262873184265869
nircam1,4010,F115W,2997.0005,1676.2458,0.014034221648279568,25.828374435250122,0,25.3085600894192,6.830527533914479,17.611297134386845,0.6634315,,,0.026213719692309248,0.09712742269039154,0.03767079136406258
nircam1,4010,F150W,2997.0005,1676.2458,0.057933198594410505,89.9692080459215,0,56.949634588771715,24.81963342246224,6.2299582122230115,2.738642,,,0.04808884235650487,0.11034176498651505,0.4395923546689057
nircam1,4010,F200W,2997.0005,1676.2458,0.055236932503535924,108.07398016726908,0,59.7619051118668,30.93365203517357,48.83202175538465,2.611183,,,0.04369310173616776,0.08441237360239029,0.05347276041693007
nircam1,4010,F277W,2997.0005,1676.2458,0.03712966921988952,87.45283465410418,0,59.486457056568824,23.68612585653855,32.80161654677566,1.755209,,,0.029506026864751393,0.07410283386707306,0.053509832282108476
nircam1,4010,F356W,2997.0005,1676.2458,0.03291716992202659,73.66323678669353,0,54.87855063434883,22.335842863457884,71.45817508503521,1.556074,,,0.02835486692001016,0.06966712325811386,0.021776010906355676
nircam1,4010,F410M,2997.0005,1676.2458,0.02862297392449586,29.002603012326585,0,31.398043275331798,9.223264006338358,13.931816373551358,1.353077,,,0.04309430967193612,0.1467026174068451,0.09712136333986776
nircam1,4010,F444W,2997.0005,1676.2458,0.04001050385157238,50.639542791294915,0,44.69398104454211,16.291268763386544,50.12808736637793,1.891393,,,0.042318740819150436,0.1160985678434372,0.037731202193614935
nircam1,6802,F606W,3709.8647,2711.4863,0.00046264176908938275,0.37446673492696,0,0.37330036776036557,0.2061581989757909,0.009174635885865553,0.005068939,,,0.013578714187750083,0.024587616324424744,0.5524948415456147
nircam1,6802,F814W,3709.8647,2711.4863,0.0014658858880317051,0.8812295598867819,0,0.8672629031034313,0.46757326176603287,0.007248914972213967,0.009614144,,,0.011085616559403785,0.020561790093779564,1.3262873184265869
nircam1,6802,F115W,3709.8647,2711.4863,0.011996722458674964,22.050519366145842,0,23.175071410670945,6.244193201794514,15.054475349860025,0.567114,,,0.024470863107626615,0.09082262963056564,0.03767079136406258
nircam1,6802,F150W,3709.8647,2711.4863,0.03647939564459484,56.57983280678747,0,56.0858834282917,16.86832331297504,3.922882146799036,1.724469,,,0.030746934782703576,0.10223119705915451,0.4395923546689057
nircam1,6802,F200W,3709.8647,2711.4863,0.03389562645916648,66.23428911094742,0,58.437235707405065,19.50775839793602,29.965312946377935,1.602328,,,0.027419640587088137,0.08213798701763153,0.05347276041693007
nircam1,6802,F277W,3709.8647,2711.4863,0.02536504831190204,59.667275248819536,0,60.21017307230568,13.742299646253997,22.40834906150359,1.199067,,,0.019914691136330976,0.08725373446941376,0.053509832282108476
nircam1,6802,F356W,3709.8647,2711.4863,0.02630834692184155,58.79892487606998,0,50.866955153347625,16.830443713464362,57.11142437189992,1.243659,,,0.024449251901372225,0.07389342039823532,0.021776010906355676
nircam1,6802,F410M,3709.8647,2711.4863,0.0268979720150162,27.220082799203052,0,28.794307209387355,8.499077974699306,13.092196776010905,1.271532,,,0.04415914544335564,0.14960822463035583,0.09712136333986776
nircam1,6802,F444W,3709.8647,2711.4863,0.0264308073553933,33.40979981362465,0,31.548316575052457,10.352661878837566,33.114449775242996,1.249448,,,0.03960426848854526,0.12068857252597809,0.037731202193614935
nircam1,8216,F606W,4045.8096,3306.4631,-0.0013025005660606507,-1.0561369180125988,0,-0.9555209723692552,-0.5655639065936503,-0.025829852021924764,-0.01427086,,,0.014935161459214015,0.02523297443985939,0.5524948415456147
nircam1,8216,F814W,4045.8096,3306.4631,-0.002114774785341937,-1.273581561911758,0,-1.3343492719858552,-0.69408992647501,-0.01045771893261734,-0.01386994,,,0.010394534842708731,0.01998291350901127,1.3262873184265869
