NUMBER	REDSHIFT	REDSHIFT_BIN	POINTING	SEX_FLUX_F606W	SEX_FLUXERR_F606W	EAZY_FLUX_F606W	EAZY_FLUXERR_F606W	SEX_FLUX_F814W	SEX_FLUXERR_F814W	EAZY_FLUX_F814W	EAZY_FLUXERR_F814W	SEX_FLUX_F115W	SEX_FLUXERR_F115W	EAZY_FLUX_F115W	EAZY_FLUXERR_F115W	SEX_FLUX_F150W	SEX_FLUXERR_F150W	EAZY_FLUX_F150W	EAZY_FLUXERR_F150W	SEX_FLUX_F200W	SEX_FLUXERR_F200W	EAZY_FLUX_F200W	EAZY_FLUXERR_F200W	SEX_FLUX_F277W	SEX_FLUXERR_F277W	EAZY_FLUX_F277W	EAZY_FLUXERR_F277W	SEX_FLUX_F356W	SEX_FLUXERR_F356W	EAZY_FLUX_F356W	EAZY_FLUXERR_F356W	SEX_FLUX_F410M	SEX_FLUXERR_F410M	EAZY_FLUX_F410M	EAZY_FLUXERR_F410M	SEX_FLUX_F444W	SEX_FLUXERR_F444W	EAZY_FLUX_F444W	EAZY_FLUXERR_F444W
849	-1	z7-8	nircam6	0.00559905	0.01235107	0.0004554336500587773	0.001722651440187809	-0.000458576	0.007939057	0.0003522947276023855	0.001899555554808666	0.2128364	0.01929254	0.007993672175540877	0.0006026987968671751	0.3211544	0.02309627	0.00748491768328403	0.0007166975079086172	0.05764372	0.01992579	-0.000400063223174814	0.0006220241913450145	0.2016457	0.01648165	0.006184678106595743	0.0005967643298185653	0.1209606	0.0173678	0.004785961863746858	0.0006830182391661063	0.1219605	0.03778762	0.007323169855173389	0.0015574696165687424	0.0257214	0.03074815	0.0	0.0
932	-1	z7-8	nircam6	-0.007557004	0.01697492	0.0019332754349765135	0.0017252834736513844	0.009282004	0.01091119	0.0015381318838696614	0.001902458017356599	0.3859688	0.02651506	0.010109142107227574	0.0006036197674433241	0.345185	0.03174279	0.009268647250512099	0.0007177927522260247	0.2973892	0.02738538	0.007684529532616974	0.0006229745230211732	0.09506905	0.02265186	0.0029566909464921517	0.0005976758748125105	0.1987312	0.02386976	0.006847840444308886	0.0006840618030016945	0.2160853	0.05193412	0.006627104229207889	0.001559849176159062	0.2211478	0.04225928	0.0	0.0
1318	-1	z7-8	nircam6	0.01494729	0.01223618	0.0018090469263091107	0.001724406514809455	0.02453497	0.007865204	0.0012402319321920788	0.0019014910591007505	0.005377553	0.01911307	8.43798217285471e-05	0.0006033129500088387	-0.003192218	0.02288142	1.4674454023103641e-05	0.0007174277565874621	-0.03011843	0.01974043	-0.0004238150414297614	0.0006226578321111072	0.1103981	0.01632833	0.004524726139911826	0.0005973722267107383	0.03807782	0.01720624	0.002347722100055469	0.0006837140571283786	0.2705218	0.0374361	0.017656424470674607	0.0015590563315197013	0.111701	0.03046211	0.0	0.0
1824	-1	z7-8	nircam6	-0.01121789	0.03739473	0.0012678557256243356	0.0017230899196087742	0.0764945	0.02403669	-0.007386090393099085	0.0019000396293542355	4.858133	0.05841107	0.027771953238764243	0.0006028524647207642	6.133707	0.06992743	0.0324471084015111	0.0007168802631296182	3.898219	0.06032832	0.02467875416354742	0.0006221826662730278	2.467973	0.04990068	0.015717366367492887	0.0005969163040416087	0.9676791	0.05258363	0.005603663775969463	0.0006831921121027641	0.4827341	0.1144077	0.0026174187942707874	0.001557866209833796	0.3107544	0.09309463	0.0	0.0
2724	-1	z7-8	nircam6	0.02449733	0.01176538	0.00404201205460615	0.001722211803829058	-0.02191525	0.007562582	-0.005303077333586227	0.0018990714802630964	0.08307965	0.01837767	0.003398531725070493	0.0006025451290135857	0.1287917	0.02200103	0.0037510998173730077	0.0007165150100893358	0.04467186	0.01898089	0.0028745513425306635	0.000621865716417001	0.1051765	0.01570008	0.0028838250130848904	0.0005966120552512079	0.07003105	0.01654421	0.00361127565125519	0.0006828440400138074	0.1869477	0.03599571	0.008868994672942375	0.0015570726814129433	0.2872093	0.02929005	0.0	0.0
2910	-1	z7-8	nircam6	-0.07410663	0.02906319	0.0007552376488325781	0.001721333688049342	0.0221777	0.01868133	0.002024481520261567	0.0018981027357543125	0.8385832	0.0453971	0.011464787991320235	0.0006022377933064073	0.7640173	0.05434763	0.013588828807961952	0.0007161494996473338	0.8717624	0.04688719	0.013288306565554653	0.0006215485076150135	0.7811956	0.03878283	0.010301975170367104	0.000596307806460807	0.6905548	0.04086801	0.012366414132477539	0.0006824956417092098	0.6563768	0.08891771	0.00983265476668768	0.0015562781273198536	0.8594154	0.07235318	0.0	0.0
4174	-1	z7-8	nircam6	0.01947073	0.02229791	0.0030237483022848696	0.001726597754976493	-0.01838831	0.01433271	-0.0017892534436676356	0.0019039074623776297	0.536378	0.03482963	0.0064817359780304	0.0006040794753223583	0.6367362	0.04169666	0.008820294639035416	0.0007183394734787097	0.3572723	0.03597286	0.004110373529937802	0.000623449170967331	0.3094814	0.02975502	0.0060772119074908	0.0005981314971373259	0.3185777	0.03135482	0.01078200433703487	0.0006845827693803858	0.4865939	0.06821958	0.018502364742848228	0.0015610375883912389	0.5335526	0.05551091	0.0	0.0
4249	-1	z7-8	nircam6	-0.04258026	0.01280035	-0.002186766288619019	0.0017230899196087742	0.006959743	0.008227845	-0.0006259320056546159	0.0019000396293542355	0.1158849	0.01999431	0.00466285277786141	0.0006028524647207642	0.07477141	0.02393641	-0.0005594598063920007	0.0007168802631296182	0.0006268968	0.0206506	0.0007667428741365333	0.0006221826662730278	0.003856675	0.01708118	0.00037102434180237906	0.0005969163040416087	0.1355076	0.01799956	0.0028292118191659056	0.0006831921121027641	0.2568419	0.03916216	0.007714251841405439	0.001557866209833796	0.2344955	0.03186662	0.0	0.0
4337	-1	z7-8	nircam6	-0.1326932	0.04002205	-0.007785133859902027	0.001721333688049342	-0.0696361	0.02572549	-0.002504902186214851	0.0018981027357543125	3.443209	0.06251498	0.014986811142407543	0.0006022377933064073	3.944197	0.07484047	0.02107476065402168	0.0007161494996473338	2.446614	0.06456693	0.011678133970988833	0.0006215485076150135	2.139255	0.05340666	0.01254722912645808	0.000596307806460807	1.918549	0.05627811	0.011328745013522507	0.0006824956417092098	1.878542	0.1224459	0.014392571304324522	0.0015562781273198536	1.644367	0.09963538	0.0	0.0
4659	-1	z7-8	nircam6	0.009998628	0.009051213	0.004092092420556827	0.0017235283990297392	0.003414451	0.005817965	-0.002304022165793674	0.0019005237038998049	0.05386754	0.01413812	0.0022678016782724233	0.0006030058734380069	0.0106286	0.0169256	-0.0004374073755507581	0.0007170627609488996	0.01696324	0.01460218	0.00152145149369056	0.0006223411412010413	0.09944239	0.01207822	0.0014928728273851635	0.000597068278264652	0.07973506	0.01272761	0.0004940072656872369	0.000683365985039422	0.1948397	0.02769183	0.008782086045376385	0.0015582631449895948	0.2610708	0.02253311	0.0	0.0
5157	-1	z7-8	nircam6	0.003603027	0.01334068	0.00041717776675182443	0.001719575142614338	0.01058705	0.008575162	0.002948668941927966	0.0018961640559014537	-0.1469197	0.02083832	-0.0038410692297729428	0.0006016226036193568	-0.06027421	0.02494682	-0.000746314921984733	0.0007154179639598901	-0.1321911	0.02152231	-0.003387764110631271	0.0006209135721191167	0.02094064	0.01780222	0.0008056090491216067	0.0005956987081913767	0.1498204	0.01875937	0.006585155299386318	0.0006817985188843732	0.3380773	0.0408153	0.011303366187618555	0.001554688677242929	0.3207465	0.03321179	0.0	0.0
5283	-1	z7-8	nircam6	-0.002360439	0.01908986	0.002340222516578865	0.001724406514809455	0.004477866	0.01227063	0.001381874843452371	0.0019014910591007505	-0.03804068	0.02981861	-0.0008704216264084203	0.0006033129500088387	-0.06858915	0.03569767	-5.070911691132939e-05	0.0007174277565874621	0.2906825	0.03079736	0.004602679001162917	0.0006226578321111072	0.1569911	0.02547409	0.005320281163111748	0.0005973722267107383	0.2025528	0.02684373	0.0058608163036205155	0.0006837140571283786	0.3694987	0.05840467	0.012068873242950416	0.0015590563315197013	0.3184253	0.04752443	0.0	0.0
5451	-1	z7-8	nircam6	-0.005100432	0.03071716	-0.0038536267179435325	0.0017230899196087742	-0.04698141	0.01974446	-0.004787858475720398	0.0019000396293542355	1.677804	0.04798061	0.0358325966117446	0.0006028524647207642	2.105798	0.0574405	0.045249034412117736	0.0007168802631296182	3.142806	0.0495555	0.05546117535844965	0.0006221826662730278	2.801209	0.04098992	0.0657472025038053	0.0005969163040416087	9.262688	0.04319378	0.218703349474465	0.0006831921121027641	8.378954	0.09397794	0.2176877183306896	0.001557866209833796	8.557294	0.07647074	0.0	0.0
7573	-1	z7-8	nircam6	0.01437469	0.023829	0.0011191914182810978	0.0017239668784507038	0.002137961	0.01531687	0.005137352755664731	0.0019010073815002777	1.323262	0.03722122	0.010847859499383423	0.0006031595412915963	1.506207	0.04455978	0.01583455070379465	0.0007172452587681809	0.7454775	0.03844295	0.008024323601306069	0.0006224996161290547	0.9519069	0.03179815	0.011832977309143148	0.0005972202524876951	0.3280828	0.03350781	0.006213742481315424	0.0006835401841917209	0.2548627	0.07290389	0.006179993187564688	0.001558659738254648	0.1272135	0.05932258	0.0	0.0
7622	-1	z7-8	nircam6	0.01127517	0.01474868	0.0021175200913023683	0.00172045441533184	0.0144607	0.009480199	0.00041841168918131953	0.0018971335943004312	0.9809716	0.02303763	0.02622698233977727	0.0006019304575992287	1.1425	0.02757975	0.02912533920852748	0.0007157837318036121	1.157554	0.02379381	0.02911098975438849	0.0006212310398670651	0.35427	0.01968109	0.010291541208887813	0.000596003257326092	-0.05591937	0.02073926	-0.001727595300535146	0.0006821472434046121	0.06486141	0.04512301	0.003694960302185405	0.0015554835732267639	-0.009283135	0.03671702	0.0	0.0
7625	-1	z7-8	nircam6	-0.02434173	0.02254987	0.0021401486374624	0.001722651440187809	0.02502045	0.01449467	-0.0005435688751531169	0.001899555554808666	0.9296619	0.0352232	0.014001460732286102	0.0006026987968671751	0.8423925	0.04216783	0.011782684698980687	0.0007166975079086172	0.6572152	0.03637934	0.009232249540355557	0.0006220241913450145	0.2612379	0.03009124	0.005328726845230278	0.0005967643298185653	0.1918209	0.03170912	0.0048065101869740195	0.0006830182391661063	0.3711028	0.06899045	0.012534049791598285	0.0015574696165687424	0.1555875	0.05613818	0.0	0.0
7863	-1	z7-8	nircam6	0.04244769	0.02279905	0.0022790158799384274	0.001722651440187809	-0.001042918	0.01465484	-0.004483062198403248	0.001899555554808666	0.1093354	0.03561242	0.0009829951198663406	0.0006026987968671751	0.3954174	0.04263379	0.008482200054200697	0.0007166975079086172	0.1096536	0.03678134	0.00229571907850216	0.0006220241913450145	0.3366407	0.03042375	0.005327065941172117	0.0005967643298185653	0.6746588	0.03205951	0.015597465881198178	0.0006830182391661063	0.7153307	0.06975279	0.01507041073463486	0.0015574696165687424	0.9794785	0.0567585	0.0	0.0
8017	-1	z7-8	nircam6	0.02231853	0.01455588	0.0026010159615277827	0.0017235283990297392	-0.01976225	0.009356269	0.0002059319406683795	0.0019005237038998049	0.9300838	0.02273647	0.025508850739002758	0.0006030058734380069	0.6222141	0.02721922	0.016106722134191943	0.0007170627609488996	0.7095177	0.02348277	0.01960753834090179	0.0006223411412010413	0.2885748	0.01942381	0.009899123341576797	0.000597068278264652	0.09243078	0.02046815	0.003732621345397751	0.000683365985039422	-0.05912039	0.04453314	-0.004030659406515743	0.0015582631449895948	0.04035496	0.03623703	0.0	0.0
