NUMBER	REDSHIFT	REDSHIFT_BIN	POINTING	SEX_FLUX_F606W	SEX_FLUXERR_F606W	EAZY_FLUX_F606W	EAZY_FLUXERR_F606W	SEX_FLUX_F814W	SEX_FLUXERR_F814W	EAZY_FLUX_F814W	EAZY_FLUXERR_F814W	SEX_FLUX_F115W	SEX_FLUXERR_F115W	EAZY_FLUX_F115W	EAZY_FLUXERR_F115W	SEX_FLUX_F150W	SEX_FLUXERR_F150W	EAZY_FLUX_F150W	EAZY_FLUXERR_F150W	SEX_FLUX_F200W	SEX_FLUXERR_F200W	EAZY_FLUX_F200W	EAZY_FLUXERR_F200W	SEX_FLUX_F277W	SEX_FLUXERR_F277W	EAZY_FLUX_F277W	EAZY_FLUXERR_F277W	SEX_FLUX_F356W	SEX_FLUXERR_F356W	EAZY_FLUX_F356W	EAZY_FLUXERR_F356W	SEX_FLUX_F410M	SEX_FLUXERR_F410M	EAZY_FLUX_F410M	EAZY_FLUXERR_F410M	SEX_FLUX_F444W	SEX_FLUXERR_F444W	EAZY_FLUX_F444W	EAZY_FLUXERR_F444W
788	-1	z10-15	nircam2	0.006564681	0.01200351	-0.002376328231010189	0.0015604418209376727	-0.002780873	0.008948561	0.0010797476249662255	0.001995645443703227	-0.04931311	0.02162416	-0.0005006265447226642	0.0006296469038325313	-0.002298327	0.02562532	0.00017948297589892635	0.000741157363726708	0.05948901	0.02045975	0.0012990562731440875	0.0005953043344873065	0.0378199	0.01662362	0.0011392327148396335	0.0005610152471186295	0.06294902	0.01791715	0.0011685540108719785	0.0006567546179084648	0.2355815	0.03970866	0.009021286486722846	0.0015254645400789404	0.1989387	0.03170771	0.0	0.0
1455	-1	z10-15	nircam2	0.03036999	0.02429568	0.0011931696068370327	0.0015636280276008316	0.04639844	0.01811233	0.005363688865144845	0.0019997200851220634	-0.2432966	0.04376836	0.00032231145579032257	0.0006309327383848246	0.05726158	0.05186691	0.00428838472301287	0.0007426706284369406	0.754979	0.04141153	0.00723052734791431	0.0005965198268273307	0.479436	0.03364702	0.0090201987436094	0.0005621607603334258	0.4155511	0.03626518	0.00839913282787631	0.0006580956904086531	0.7362822	0.08037227	0.012950076126639206	0.0015285795066633378	0.3704352	0.06417796	0.0	0.0
2259	-1	z10-15	nircam2	-0.004483944	0.01771247	-0.0001171599658751362	0.0015640260141992803	-0.001360918	0.01320457	-0.0007229830971011215	0.0020002281748459903	0.07610891	0.03190878	0.001243945161850403	0.0006310931437834279	0.1085221	0.03781293	0.0009190821840554825	0.0007428595612992148	0.4816735	0.03019057	0.010806275868252443	0.0005966715691603632	0.4031709	0.02452995	0.007866164760616023	0.0005623037242270396	0.3334778	0.02643869	0.007833138904256317	0.0006582630390324907	0.1706112	0.05859442	0.005419053792595854	0.0015289682364412389	0.09450924	0.04678816	0.0	0.0
3260	-1	z10-15	nircam2	0.001749101	0.01784319	-0.0018471495153593938	0.0015624340678054866	0.03339447	0.01330202	0.00567829167107888	0.001998191846499314	0.02210214	0.03214428	0.0014568935643819918	0.0006304507447799745	0.5763039	0.038092	0.008486987726187485	0.0007421033150466781	1.009342	0.03041338	0.01604128795840603	0.0005960643408822726	-0.0001760998	0.02471099	-1.6003669585113379e-06	0.0005617312679639558	-0.0001588087	0.02663381	-5.697506229418547e-06	0.0006575929921058582	0.2422369	0.05902686	0.01707265286014597	0.0015274119497666503	0.5147451	0.04713346	0.0	0.0
3478	-1	z10-15	nircam2	0.1377278	0.02395856	0.008776120490038378	0.001562832054403935	0.0696957	0.017861	0.003083870426629645	0.001998701920948725	-0.1459945	0.04316104	0.0022313163172033574	0.0006306114093149246	0.00520242	0.05114721	0.000608931644716981	0.0007422925053106721	0.5178372	0.04083692	0.011931225163621193	0.000596216083215305	0.4130248	0.03318015	0.010338157649912597	0.0005618745322018839	0.2665265	0.03576197	0.007695717303324829	0.0006577606669453368	1.046369	0.07925704	0.016940177033988334	0.0015278013633260432	0.4375129	0.06328744	0.0	0.0
4954	-1	z10-15	nircam2	0.03537651	0.0228667	0.0003015252908120899	0.0015636280276008316	0.03117356	0.01704703	0.0003939676116467215	0.0019997200851220634	0.03422166	0.04119407	0.000661236661039862	0.0006309327383848246	0.06852838	0.04881629	0.000752934779412486	0.0007426706284369406	0.6818358	0.03897586	0.008765672939796144	0.0005965198268273307	0.5739961	0.03166803	0.011766853504903623	0.0005621607603334258	0.3192998	0.0341322	0.008809078237463198	0.0006580956904086531	0.3733657	0.07564507	0.009235829767486856	0.0015285795066633378	0.4674879	0.06040325	0.0	0.0
5581	-1	z10-15	nircam2	-0.004954324	0.01180831	-0.003272442491865844	0.0015632300410023832	-0.001689037	0.008803046	0.0019548575487522463	0.0019992100106726524	-0.04819743	0.02127252	-0.0026807214533658814	0.0006307720738498746	-0.01714068	0.02520862	0.0006520822116090835	0.0007424816955746662	0.3119611	0.02012705	0.009127733771654965	0.0005963680844942982	0.08972516	0.0163533	0.0032020247968856	0.0005620177964398119	0.09240835	0.01762579	0.003260957567610149	0.0006579283417848155	-0.09690153	0.03906295	-0.004947627481115936	0.0015281904349946905	0.1275286	0.0311921	0.0	0.0
6534	-1	z10-15	nircam2	-0.03227039	0.04221919	-0.002663716204850188	0.001562832054403935	0.02821343	0.03147423	0.00596132741818847	0.001998701920948725	0.0371886	0.07605733	0.00012479234230448424	0.0006306114093149246	1.758702	0.09013037	0.002971334769705532	0.0007422925053106721	2.823315	0.07196182	0.015688782232500954	0.000596216083215305	2.425392	0.05846925	0.012678410512621313	0.0005618745322018839	2.253802	0.06301888	0.01719460134879661	0.0006577606669453368	3.262132	0.1396648	0.015372166925728563	0.0015278013633260432	2.27348	0.1115236	0.0	0.0
6620	-1	z10-15	nircam2	0.01326188	0.009520167	-0.0002741766698719723	0.001562832054403935	0.002608502	0.007097243	0.00030289868128181114	0.001998701920948725	0.0004239345	0.01715046	2.2952333336607096e-05	0.0006306114093149246	0.07522118	0.02032384	0.005457269098415115	0.0007422925053106721	0.230421	0.01622694	0.010214615421325597	0.000596216083215305	0.08395263	0.01318445	0.005275466787972851	0.0005618745322018839	0.1224464	0.01421037	0.00668071690926352	0.0006577606669453368	-0.06464205	0.03149356	-0.0018644728049372538	0.0015278013633260432	0.1015265	0.02514788	0.0	0.0
7476	-1	z10-15	nircam2	0.02443966	0.01509125	0.002825727987738887	0.001565218817056839	0.002558581	0.01125046	0.0012651281301919522	0.002001754428743255	-0.03322472	0.0271867	-0.0011306157676691775	0.0006315746191155846	-0.1206693	0.03221711	-0.00018027157754763176	0.000743426102484318	0.1423119	0.02572276	0.002150264730235991	0.0005971265372134995	-0.009414239	0.02089983	0.0009604050069978319	0.0005627326159078809	0.1720065	0.0225261	0.0010638006228780637	0.0006587650849040038	0.7144137	0.0499232	0.01930851235112568	0.0015301344257749431	0.4117704	0.03986411	0.0	0.0
