NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	CLASS_STAR	REDSHIFT	REDSHIFT_BIN	POINTING	SEX_FLUX_F606W	SEX_FLUXERR_F606W	SEX_MAG_F606W	SEX_MAGERR_F606W	SEX_FLUX_F814W	SEX_FLUXERR_F814W	SEX_MAG_F814W	SEX_MAGERR_F814W	SEX_FLUX_F115W	SEX_FLUXERR_F115W	SEX_MAG_F115W	SEX_MAGERR_F115W	SEX_FLUX_F150W	SEX_FLUXERR_F150W	SEX_MAG_F150W	SEX_MAGERR_F150W	SEX_FLUX_F200W	SEX_FLUXERR_F200W	SEX_MAG_F200W	SEX_MAGERR_F200W	SEX_FLUX_F277W	SEX_FLUXERR_F277W	SEX_MAG_F277W	SEX_MAGERR_F277W	SEX_FLUX_F356W	SEX_FLUXERR_F356W	SEX_MAG_F356W	SEX_MAGERR_F356W	SEX_FLUX_F410M	SEX_FLUXERR_F410M	SEX_MAG_F410M	SEX_MAGERR_F410M	SEX_FLUX_F444W	SEX_FLUXERR_F444W	SEX_MAG_F444W	SEX_MAGERR_F444W	EAZY_FLUX_F606W	EAZY_FLUXERR_F606W	EAZY_FLUX_F814W	EAZY_FLUXERR_F814W	EAZY_FLUX_F115W	EAZY_FLUXERR_F115W	EAZY_FLUX_F150W	EAZY_FLUXERR_F150W	EAZY_FLUX_F200W	EAZY_FLUXERR_F200W	EAZY_FLUX_F277W	EAZY_FLUXERR_F277W	EAZY_FLUX_F356W	EAZY_FLUXERR_F356W	EAZY_FLUX_F410M	EAZY_FLUXERR_F410M	EAZY_FLUX_F444W	EAZY_FLUXERR_F444W
1105	8930.3066	738.8773	214.9357294	52.86205	0.996	-1	z7-8	nircam5	0.01043758	0.02121411	33.04	2.2073	0.02296774	0.01438175	32.1837	0.68	0.1719447	0.0326819	29.998	0.2064	0.08031514	0.0001256028	30.8245	0.0017	0.1959826	9.54804e-05	29.856	0.0005	0.2010933	6.09511e-05	29.828	0.0003	0.290625	0.02933403	29.4282	0.1096	0.6755012	8.888431e-05	28.5125	0.0001	0.550554	4.89088e-05	28.7345	0.0001	-0.002879529065609941	0.0015768541403725217	-0.0034133547042433867	0.0018338706679676187	0.0017189514169597925	0.000543661765326631	-0.0002088562581246797	2.0754105820033963e-06	0.0020429514367130874	1.587144798459454e-06	0.002028314311085999	1.1764197649123178e-06	0.00893758049893545	0.0006149473666509088	0.020418048432284994	1.9528723116636355e-06	0.0	0.0
1369	7808.0391	838.7515	214.9447183	52.8697123	0.914	-1	z7-8	nircam5	-0.003340967	0.02261195	99.0	99.0	0.0134866	0.01532939	32.7618	1.2344	0.1109789	0.03483537	30.4734	0.3409	0.7097586	0.000133879	28.4587	0.0002	0.2184846	0.0001017718	29.738	0.0005	0.3658039	6.496729e-05	29.1784	0.0002	0.3438261	0.03126691	29.2457	0.0988	1.02059	9.474107e-05	28.0644	0.0001	1.063962	5.21315e-05	28.0192	0.0001	-0.001160100854094449	0.0015744523375283976	-0.0019800844020177693	0.0018310771668487622	0.005131040743718572	0.0005428337404522591	0.011579579462920268	2.072249246505335e-06	0.006275734456793944	1.5847274899429634e-06	0.00811768478674045	1.1746277788629994e-06	0.010309974496799088	0.000614010575598159	0.032964338256340896	1.94989748655959e-06	0.0	0.0
1632	2629.4114	963.8215	214.9897696	52.9032457	0.999	-1	z7-8	nircam5	-0.0792149	0.01320456	99.0	99.0	0.01706622	0.008951809	32.5062	0.5696	0.004018432	0.0203426	34.0764	5.4977	0.1517525	7.818051e-05	30.1337	0.0006	0.0913627	5.943105e-05	30.6846	0.0007	0.1093774	3.793855e-05	30.4892	0.0004	0.09363779	0.01825875	30.6579	0.2118	0.3243242	5.532536e-05	29.3091	0.0002	0.2927013	3.044291e-05	29.4205	0.0001	-0.007632777879776847	0.001573249122230763	0.002977945627543774	0.0018296791262177694	-0.0005960191918341684	0.0005424192101758772	0.003665580340577977	2.0706667784513507e-06	0.0028373142541722788	1.5835171539438046e-06	0.003263466456316817	1.173730734379636e-06	0.0037947575035649985	0.0006135416906302725	0.012885937633383178	1.9484085351280447e-06	0.0	0.0
1756	10587.7959	995.2697	214.9182133	52.8529127	0.995	-1	z7-8	nircam5	0.01446634	0.03069998	32.6856	2.3047	-0.007097649	0.02081253	99.0	99.0	4.636478	0.04729558	26.421	0.0111	6.951354	0.000181766	25.9813	0.0	5.134017	0.0001381744	26.3104	0.0	1.48466	8.820534e-05	27.6575	0.0001	1.921857	0.04245073	27.3772	0.024	0.7415779	0.0001286288	28.4111	0.0002	-0.03680052	7.077833e-05	99.0	99.0	0.0026563071752674465	0.0015728488217567423	0.004187133674549011	0.0018292127157290082	0.036225156143215934	0.0005422809471105506	0.053194253422335955	2.0701390319136005e-06	0.038272335272938	1.5831135361245038e-06	0.016687196399662717	1.173431819690772e-06	0.011095671692047723	0.000613385395640977	0.009637739131455905	1.947911990002045e-06	0.0	0.0
2274	1591.4785	1218.8788	214.9963886	52.9112078	1.0	-1	z7-8	nircam5	0.006866381	0.01006566	33.4947	1.592	0.02491444	0.006823845	32.0954	0.2974	0.1850053	0.01550689	29.9186	0.091	0.07261761	5.959597e-05	30.9339	0.0009	0.107106	4.53035e-05	30.512	0.0005	0.03486549	2.892005e-05	31.7305	0.0009	0.06247307	0.0139184	31.0973	0.242	0.204785	4.217379e-05	29.8083	0.0002	0.09290883	2.320623e-05	30.6664	0.0003	0.0011223697577673107	0.0015764538398985008	0.006262686150967176	0.001833405448314148	0.005696337312814048	0.0005435237611809023	0.0024418845161012313	2.0748841213977562e-06	0.0003652811121600539	1.586742215557639e-06	0.0008330488011869541	1.1761214510569994e-06	0.0025595050171854537	0.0006147913979559543	0.01003990990592545	1.9523767924573176e-06	0.0	0.0
4460	3162.6689	1857.1541	214.9755963	52.9046903	0.93	-1	z7-8	nircam5	0.02038446	0.01284272	32.3133	0.6842	-0.01017715	0.008706507	99.0	99.0	-0.0854412	0.01978516	99.0	99.0	-0.09264799	7.603818e-05	99.0	99.0	0.09825555	5.780249e-05	30.6056	0.0006	0.05656894	3.689894e-05	31.2051	0.0007	0.1195611	0.01775841	30.3925	0.1613	0.2451717	5.380931e-05	29.6128	0.0002	0.3030979	2.96087e-05	29.3826	0.0001	0.0036158158421172194	0.001573249122230763	-0.0010305953029350972	0.0018296791262177694	-0.0019346821903266254	0.0005424192101758772	-0.001174389072414722	2.0706667784513507e-06	0.0020469488055003915	1.5835171539438046e-06	0.0016283946965630902	1.173730734379636e-06	0.0038332243434147715	0.0006135416906302725	0.007512638843340906	1.9484085351280447e-06	0.0	0.0
6490	711.873	2478.8657	214.9910187	52.923597	1.0	-1	z7-8	nircam5	-0.0825714	0.02976474	99.0	99.0	0.03182895	0.0201785	31.8295	0.6885	0.1840654	0.04585477	29.9241	0.2705	-0.1338455	0.0001762287	99.0	99.0	0.1803627	0.000133965	29.9462	0.0008	0.2944664	8.551824e-05	29.4139	0.0003	0.0190212	0.04115751	32.3884	2.3499	1.609435	0.0001247103	27.5698	0.0001	2.109998	6.862214e-05	27.2758	0.0	0.0009379168526399427	0.0015744523375283976	0.0034754309632092626	0.0018310771668487622	0.0021492175319095387	0.0005428337404522591	-0.000989091656346709	2.072249246505335e-06	0.0021488066780589493	1.5847274899429634e-06	0.003922719047395907	1.1746277788629994e-06	-0.0020229123420887492	0.000614010575598159	0.01973673517158954	1.94989748655959e-06	0.0	0.0
8190	3573.3699	2964.1152	214.9602721	52.9080649	0.927	-1	z7-8	nircam5	-0.006827947	0.009337035	99.0	99.0	0.001850186	0.006329885	34.9185	3.7154	0.05326908	0.01438439	31.2703	0.2933	-0.03453973	5.528197e-05	99.0	99.0	-0.06501026	4.20241e-05	99.0	99.0	0.01226507	2.68266e-05	32.8648	0.0024	0.05684986	0.01291088	31.1997	0.2466	0.2088307	3.912094e-05	29.787	0.0002	0.139949	2.152639e-05	30.2216	0.0002	0.0016726740417001024	0.0015736505796425698	0.00038947081911741934	0.001830145338233982	0.002254373066080393	0.0005425574732412039	8.458745682580215e-06	2.0711945249891005e-06	-0.004685218932084587	1.583920771763105e-06	0.0017875921536002718	1.1740299494852722e-06	0.0033042685873670434	0.0006136983119139089	0.00537362366460818	1.9489050802540445e-06	0.0	0.0
8697	6857.9888	3092.4556	214.9295162	52.887912	0.99	-1	z7-8	nircam5	0.05939272	0.02573127	31.1522	0.4705	-0.002406214	0.01744408	99.0	99.0	0.249089	0.03964092	29.5956	0.1728	0.2789889	0.0001523477	29.4726	0.0006	0.3228357	0.0001158112	29.3141	0.0004	0.528927	7.392954e-05	28.778	0.0002	2.276649	0.03558019	27.1933	0.017	5.231347	0.0001078106	26.29	0.0	5.066759	5.932305e-05	26.3247	0.0	-0.0011172763391636225	0.0015736505796425698	0.0012273939338707923	0.001830145338233982	0.0067030736721105265	0.0005425574732412039	0.004648343667827281	2.0711945249891005e-06	0.004639535086985932	1.583920771763105e-06	0.012608236597106812	1.1740299494852722e-06	0.0583684779554068	0.0006136983119139089	0.14180388372184996	1.9489050802540445e-06	0.0	0.0
9131	9115.0576	3245.9485	214.9077115	52.8744115	1.0	-1	z7-8	nircam5	-0.0300717	0.0209908	99.0	99.0	0.02425693	0.01423036	32.1244	0.6371	0.1353371	0.03233787	30.258	0.2595	0.5491551	0.0001242806	28.7373	0.0002	0.151688	9.447531e-05	30.1341	0.0007	0.2091944	6.030949e-05	29.7851	0.0003	0.2933975	0.02902525	29.4179	0.1074	0.71107	8.794865e-05	28.4567	0.0001	0.3490439	4.839396e-05	29.2293	0.0002	-0.0016539397481283762	0.0015748526380024177	-0.00010931550410288971	0.0018315431803924266	0.005493616213567818	0.0005429717445979878	0.006672858600054122	2.072776478670241e-06	0.0043687127048226675	1.5851303315741502e-06	0.005477276708724544	1.1749266935518633e-06	0.009760618818557724	0.0006141668705874543	0.01370776085370045	1.9503936897123626e-06	0.0	0.0
