source_number	filter	x_image	y_image	sex_flux_ujy	nmad_error_ujy	redshift_bin	pointing
231	F606W	1319.3601	233.6761	0.003486716625369969	0.0030177090201831502	z10-15	nircam3
524	F606W	8638.9395	337.2325	0.00015603423242880606	0.002913316489936286	z10-15	nircam3
1065	F606W	10265.5479	581.2538	-0.0032661950278204343	0.0026901670052997518	z10-15	nircam3
1531	F606W	1121.3978	793.7682	0.0037104799625963985	0.0024583871854493007	z10-15	nircam3
1748	F606W	8713.2812	892.587	0.00011635647258262932	0.0028562761231864403	z10-15	nircam3
3571	F606W	7526.1724	1645.5884	0.000586013747172347	0.002525288176295031	z10-15	nircam3
5264	F606W	3121.657	2155.1516	-0.00042830866519272964	0.0018571194107405912	z10-15	nircam3
6622	F606W	7332.8413	2600.4233	0.0007767363295506196	0.0029222294276242886	z10-15	nircam3
7035	F606W	7883.5815	2729.7466	0.00229755696489986	0.002649696475603513	z10-15	nircam3
7565	F606W	7932.2598	2900.3538	-0.0033649142152401995	0.0026349902572359693	z10-15	nircam3
7878	F606W	8353.832	3010.7944	-0.007745523780916344	0.0027037003701579523	z10-15	nircam3
9153	F606W	7933.3662	3481.4534	0.0073276505788612434	0.0023409921212129885	z10-15	nircam3
9544	F606W	6659.4204	3583.4431	0.0028770740436276526	0.0024794859516711473	z10-15	nircam3
10413	F606W	9450.9424	3920.8472	-0.00459699511064006	0.002231493931252282	z10-15	nircam3
10519	F606W	2281.1663	4386.8423	0.003785260950282169	0.0030184057771692942	z10-15	nircam3
10967	F606W	3091.5708	4550.2607	-0.002452482503848163	0.0035020744577392406	z10-15	nircam3
11733	F606W	1220.1353	4204.6147	-0.0008949123181895852	0.0030228319651735515	z10-15	nircam3
11782	F606W	9995.2969	3915.064	-0.0014600034239676332	0.003491256787913421	z10-15	nircam3
11938	F606W	7384.7383	4258.1709	0.002480444533202517	0.0031431532747002483	z10-15	nircam3
11961	F606W	766.3229	3824.823	0.0035657586149222655	0.0024109662291303445	z10-15	nircam3
231	F814W	1319.3601	233.6761	0.003544499410055586	0.003055585106040866	z10-15	nircam3
524	F814W	8638.9395	337.2325	0.005423034141844612	0.0028437936572783375	z10-15	nircam3
1065	F814W	10265.5479	581.2538	0.002639762298133267	0.003036655425137924	z10-15	nircam3
1531	F814W	1121.3978	793.7682	0.0002482764558165314	0.00249649411424675	z10-15	nircam3
1748	F814W	8713.2812	892.587	0.005654274507995912	0.0031117420131122164	z10-15	nircam3
3571	F814W	7526.1724	1645.5884	0.00023069932998433565	0.002678663534767597	z10-15	nircam3
5264	F814W	3121.657	2155.1516	0.004044005196263877	0.0031086719298328816	z10-15	nircam3
6622	F814W	7332.8413	2600.4233	-0.0016974045161874778	0.0026920847783627865	z10-15	nircam3
7035	F814W	7883.5815	2729.7466	0.0009710027294400116	0.0030899254449363585	z10-15	nircam3
7565	F814W	7932.2598	2900.3538	0.0016061027775232833	0.0029956695144596553	z10-15	nircam3
7878	F814W	8353.832	3010.7944	0.001342917659287915	0.0031494643250210264	z10-15	nircam3
9153	F814W	7933.3662	3481.4534	-0.002600480611352162	0.00289418619616894	z10-15	nircam3
9544	F814W	6659.4204	3583.4431	-0.0008857436859846771	0.003438279684541234	z10-15	nircam3
10413	F814W	9450.9424	3920.8472	0.005946926250075914	0.0029754364675391113	z10-15	nircam3
10519	F814W	2281.1663	4386.8423	0.003921110994289039	0.003807541725585561	z10-15	nircam3
10967	F814W	3091.5708	4550.2607	0.006128693364085309	0.004070085922335651	z10-15	nircam3
11733	F814W	1220.1353	4204.6147	0.0027060263278705717	0.003543845185029076	z10-15	nircam3
11782	F814W	9995.2969	3915.064	0.004406483550325128	0.003902560165411152	z10-15	nircam3
