Method,N,Mean Ratio,Median Ratio,Std Ratio,Min Ratio,Max Ratio
Local RMS SNR,171,0.9214906123171634,0.9354341378587443,0.1545033976241471,0.5369085072156989,1.4293195045958291
Weighted RMS SNR,171,0.39386394089140503,0.3295767572419123,0.1257329516571077,0.2079211831692442,0.6362076378361586
Global Stats SNR,171,0.2811873586305634,0.04308693312125187,0.36113620154770293,0.002478115551961722,1.0985633233415537
