NUMBER,FILTER,REDSHIFT_BIN,SEX_SNR,NMAD_SNR,SNR_RATIO
377,F606W,z10-15,0.8620580250615039,0.0,
377,F814W,z10-15,-5.254367945025903,0.0,
377,F115W,z10-15,2.8983498704760864,0.0,
377,F150W,z10-15,3.1930194098584033,0.0,
377,F200W,z10-15,5.098561471615371,0.0,
377,F277W,z10-15,7.1185059770324814,0.0,
377,F356W,z10-15,28.28729363454549,0.0,
377,F410M,z10-15,15.854447916534943,0.0,
377,F444W,z10-15,0.0025600809751507225,0.0,
538,F606W,z10-15,3.9343237901644925,0.0,
538,F814W,z10-15,1.299785522061556,0.0,
538,F115W,z10-15,8.739975250145987,0.0,
538,F150W,z10-15,7.128824274782771,0.0,
538,F200W,z10-15,31.641643895542863,0.0,
538,F277W,z10-15,14.381254895977778,0.0,
538,F356W,z10-15,11.900696523123745,0.0,
538,F410M,z10-15,-3.2069194943446444,0.0,
538,F444W,z10-15,9.928797728452151,0.0,
611,F606W,z10-15,-2.012098953617836,0.0,
611,F814W,z10-15,0.11264457786296254,0.0,
611,F115W,z10-15,-2.957085098720067,0.0,
611,F150W,z10-15,-1.3757767581149105,0.0,
611,F200W,z10-15,-0.6739369222853094,0.0,
611,F277W,z10-15,4.4115378210294,0.0,
611,F356W,z10-15,1.2149393199248524,0.0,
611,F410M,z10-15,8.868801479350948,0.0,
611,F444W,z10-15,11.102827532393903,0.0,
1597,F606W,z10-15,2.5908490410647325,0.0,
1597,F814W,z10-15,-0.09374237173706806,0.0,
1597,F115W,z10-15,6.87481537187799,0.0,
1597,F150W,z10-15,3.5666230571426296,0.0,
1597,F200W,z10-15,29.323906888334786,0.0,
1597,F277W,z10-15,68.61390035876896,0.0,
1597,F356W,z10-15,54.37851035111829,0.0,
1597,F410M,z10-15,18.5080786889409,0.0,
1597,F444W,z10-15,25.209202336341473,0.0,
4164,F606W,z10-15,1.0191724105052193,0.0,
4164,F814W,z10-15,0.7931302260045532,0.0,
4164,F115W,z10-15,-0.730035868813434,0.0,
4164,F150W,z10-15,6.474623992286298,0.0,
4164,F200W,z10-15,14.085908130824246,0.0,
4164,F277W,z10-15,11.048139442872419,0.0,
4164,F356W,z10-15,12.279171743684126,0.0,
4164,F410M,z10-15,0.7567663305493191,0.0,
4164,F444W,z10-15,8.843015065060104,0.0,
4257,F606W,z10-15,1.0456237496803036,0.0,
4257,F814W,z10-15,0.8213577157880277,0.0,
4257,F115W,z10-15,-1.3238970559423053,0.0,
4257,F150W,z10-15,1.0060198477980193,0.0,
4257,F200W,z10-15,0.70511590249468,0.0,
4257,F277W,z10-15,10.421526917792015,0.0,
4257,F356W,z10-15,2.6867724019480344,0.0,
4257,F410M,z10-15,0.2646608308711535,0.0,
4257,F444W,z10-15,9.660784440538603,0.0,
4929,F606W,z10-15,2.801680898095758,0.0,
4929,F814W,z10-15,-0.028832333195793456,0.0,
4929,F115W,z10-15,2.967890762788973,0.0,
4929,F150W,z10-15,-0.06403927873037683,0.0,
4929,F200W,z10-15,9.395136760000788,0.0,
4929,F277W,z10-15,10.402955651975235,0.0,
4929,F356W,z10-15,11.635954643770072,0.0,
4929,F410M,z10-15,1.7019000610165789,0.0,
4929,F444W,z10-15,-3.3296352675077614,0.0,
5596,F606W,z10-15,-0.8855545797729987,0.0,
5596,F814W,z10-15,3.159588073852064,0.0,
5596,F115W,z10-15,-2.5165566395673453,0.0,
5596,F150W,z10-15,-0.8013175475086824,0.0,
